latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.2758,14.3401,315.1,1,1,2016-01-08,1015,Terra,MODIS,71,6.2,277.4,18.5,D,2
48.2743,14.3344,330.2,1,1,2016-01-08,1159,Aqua,MODIS,82,6.2,280.2,33.2,D,2
48.279,14.3369,302.2,1,1,2016-02-06,2054,Terra,MODIS,48,6.2,270.9,10.2,N,2
48.2766,14.3429,303.1,1.2,1.1,2016-02-07,1027,Terra,MODIS,0,6.2,269,12.1,D,2
48.2739,14.3401,321.5,1,1,2016-02-09,1015,Terra,MODIS,76,6.2,280.6,22.3,D,2
48.2778,14.334,301,1,1,2016-02-09,1159,Aqua,MODIS,18,6.2,277.3,5.8,D,2
48.267,14.3237,300.6,1,1,2016-02-09,1159,Aqua,MODIS,35,6.2,275.6,5.7,D,2
48.2788,14.3412,305.1,1,1,2016-02-12,0120,Aqua,MODIS,63,6.2,273.1,12.2,N,2
48.2684,14.3298,315.9,1.7,1.3,2016-02-12,1230,Aqua,MODIS,72,6.2,281.8,37.1,D,2
48.2797,14.3371,312,1,1,2016-02-13,2100,Terra,MODIS,84,6.2,275.7,16,N,2
48.2649,14.3179,301.3,1.8,1.3,2016-02-22,1129,Aqua,MODIS,46,6.2,289.9,11.1,D,2
48.27,14.341,305.5,1.8,1.3,2016-02-22,1129,Aqua,MODIS,58,6.2,288.9,17.1,D,2
48.2673,14.3168,301.7,2.4,1.5,2016-02-26,1242,Aqua,MODIS,46,6.2,286.8,22.5,D,2
48.2756,14.3376,314.7,1,1,2016-03-05,1153,Aqua,MODIS,65,6.2,286.6,14.4,D,2
48.2733,14.3238,306,1,1,2016-03-05,1153,Aqua,MODIS,60,6.2,288.2,7.6,D,2
48.2717,14.3232,301.5,1.5,1.2,2016-03-09,0944,Terra,MODIS,45,6.2,282.9,11.7,D,2
48.2665,14.3237,305.1,1.8,1.3,2016-03-09,1129,Aqua,MODIS,53,6.2,285.9,19.9,D,2
48.2751,14.3426,305.8,1,1,2016-03-09,2053,Terra,MODIS,66,6.2,274.3,11.8,N,2
48.2731,14.3293,307.4,1,1,2016-03-09,2053,Terra,MODIS,71,6.2,274.5,12.9,N,2
48.2745,14.3242,303.6,1.1,1,2016-03-10,1212,Aqua,MODIS,17,6.2,288.6,6.6,D,2
48.2814,14.3364,309,1.2,1.1,2016-03-14,2112,Terra,MODIS,76,6.2,273.6,17.9,N,2
48.2704,14.3418,309.1,1.5,1.2,2016-03-16,1135,Aqua,MODIS,56,6.2,280,19.5,D,2
48.2663,14.3222,303.2,1.5,1.2,2016-03-16,1135,Aqua,MODIS,54,6.2,280.8,12.8,D,2
48.2793,14.3418,300.8,1,1,2016-03-16,2059,Terra,MODIS,33,6.2,275.9,8.5,N,2
48.2805,14.3403,302.9,1,1,2016-03-17,0108,Aqua,MODIS,52,6.2,275.4,10.4,N,2
48.2734,14.3505,304.9,1.4,1.2,2016-03-17,1033,Terra,MODIS,41,6.2,287.5,11.2,D,2
48.2772,14.332,308.5,1.4,1.2,2016-03-17,1033,Terra,MODIS,58,6.2,289.7,15.1,D,2
48.3127,14.2947,308.9,1.4,1.2,2016-03-17,1033,Terra,MODIS,59,6.2,285.5,16.4,D,0
48.2669,14.3274,306.8,1.4,1.2,2016-03-17,1033,Terra,MODIS,44,6.2,288.9,12.5,D,2
48.2732,14.3332,311.7,1.2,1.1,2016-03-17,1218,Aqua,MODIS,62,6.2,293.2,13,D,2
48.2793,14.3301,304,1.8,1.3,2016-03-18,0938,Terra,MODIS,50,6.2,287.3,14.8,D,2
48.2674,14.3282,302.1,1.8,1.3,2016-03-18,0938,Terra,MODIS,40,6.2,287.2,11.8,D,2
