latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.5962,23.215,334.2,1,1,2016-01-01,0849,Terra,MODIS,47,6.2,314.7,14.3,D,0
-18.7179,22.2384,330.8,1,1,2016-01-01,0849,Terra,MODIS,45,6.2,315.7,12,D,0
-19.5798,23.0994,340.6,1,1,2016-01-01,0849,Terra,MODIS,81,6.2,319.5,20.7,D,0
-19.6039,23.204,385.8,1,1,2016-01-01,0849,Terra,MODIS,100,6.2,320.7,159.2,D,0
-19.6053,23.2136,353.6,1,1,2016-01-01,0849,Terra,MODIS,95,6.2,316.7,50.1,D,0
-19.6026,23.1943,370.8,1,1,2016-01-01,0849,Terra,MODIS,100,6.2,317.9,96.4,D,0
-19.6465,23.1776,351.7,1,1,2016-01-01,0849,Terra,MODIS,93,6.2,319.7,43.7,D,0
-18.6577,22.2057,332.1,1,1,2016-01-01,0849,Terra,MODIS,43,6.2,311.7,15.8,D,0
-18.6591,22.2151,331.4,1,1,2016-01-01,0849,Terra,MODIS,35,6.2,315,14.8,D,0
-19.5949,23.2054,337.9,1,1,2016-01-01,0849,Terra,MODIS,72,6.2,320.1,18.8,D,0
-19.6023,23.1703,329,3.9,1.8,2016-01-01,1134,Aqua,MODIS,34,6.2,308.6,64.4,D,0
-19.652,23.1753,330,3.9,1.8,2016-01-01,1134,Aqua,MODIS,49,6.2,307.5,77.4,D,0
-18.6592,22.2066,324.1,4.4,1.9,2016-01-01,1135,Aqua,MODIS,38,6.2,303.4,69.2,D,0
-18.683,22.1486,307.4,1.2,1.1,2016-01-01,2100,Terra,MODIS,71,6.2,291.5,9.9,N,0
-18.673,22.1472,303,1.2,1.1,2016-01-01,2100,Terra,MODIS,42,6.2,291.3,6.2,N,0
-18.6637,22.1303,325.2,4.2,1.9,2016-01-02,0932,Terra,MODIS,34,6.2,299,75.7,D,0
-18.6669,22.1249,326,4.2,1.9,2016-01-02,0932,Terra,MODIS,49,6.2,299.7,86.9,D,0
