latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
5.7927,-69.1432,314.5,1,1,2016-01-01,0259,Terra,MODIS,89,6.2,293,11.7,N,0
6.1544,-67.8179,318.8,1.3,1.1,2016-01-01,1517,Terra,MODIS,36,6.2,299.8,8.5,D,0
5.073,-68.5222,325.3,1.2,1.1,2016-01-01,1517,Terra,MODIS,79,6.2,298.6,18.8,D,0
5.0746,-68.5329,349.5,1.2,1.1,2016-01-01,1517,Terra,MODIS,95,6.2,299.2,68.7,D,0
5.0762,-68.5263,352.8,1.2,1.1,2016-01-01,1517,Terra,MODIS,96,6.2,299.7,77.5,D,0
5.0859,-68.5248,325,1.2,1.1,2016-01-01,1517,Terra,MODIS,78,6.2,299.2,18.6,D,0
6.2707,-67.7764,320.5,1.3,1.1,2016-01-01,1517,Terra,MODIS,42,6.2,299.1,13.2,D,0
5.0162,-68.4757,315.9,1.2,1.1,2016-01-01,1517,Terra,MODIS,65,6.2,297.4,8.1,D,0
5.6582,-70.4148,313.5,1,1,2016-01-01,1517,Terra,MODIS,61,6.2,286.3,7.4,D,0
6.1131,-75.6153,311.6,1.6,1.3,2016-01-01,1517,Terra,MODIS,36,6.2,290.7,12.1,D,0
6.1159,-69.7789,321.4,1,1,2016-01-01,1517,Terra,MODIS,51,6.2,298.4,11.5,D,0
6.174,-67.6798,329.8,1.3,1.1,2016-01-01,1517,Terra,MODIS,69,6.2,300.4,25.3,D,0
6.1123,-75.6078,309.9,1.6,1.3,2016-01-01,1517,Terra,MODIS,44,6.2,290.5,11,D,0
6.0473,-67.5245,321.6,1.3,1.1,2016-01-01,1517,Terra,MODIS,75,6.2,302.1,10.4,D,0
6.0453,-68.1709,317.7,1.2,1.1,2016-01-01,1517,Terra,MODIS,67,6.2,299,8.9,D,0
5.0778,-68.5369,336.7,1.2,1.1,2016-01-01,1517,Terra,MODIS,88,6.2,298.1,38.2,D,0
6.1443,-67.8194,320.6,1.3,1.1,2016-01-01,1517,Terra,MODIS,48,6.2,301.5,11.4,D,0
4.4093,-69.4009,319.7,1.1,1,2016-01-01,1518,Terra,MODIS,74,6.2,296.4,13.9,D,0
4.7463,-69.4229,326.5,1.1,1,2016-01-01,1518,Terra,MODIS,81,6.2,298.1,18.8,D,0
3.4171,-76.0883,331.4,1.6,1.2,2016-01-01,1518,Terra,MODIS,74,6.2,294.9,51.8,D,0
4.7421,-68.4905,311.4,1.2,1.1,2016-01-01,1518,Terra,MODIS,45,6.2,295.9,5.8,D,0
4.9186,-68.3069,319.2,1.2,1.1,2016-01-01,1518,Terra,MODIS,71,6.2,298.1,11.5,D,0
3.417,-76.0943,320.1,1.6,1.2,2016-01-01,1518,Terra,MODIS,31,6.2,293,27,D,0
4.7532,-69.4259,323.3,1.1,1,2016-01-01,1518,Terra,MODIS,78,6.2,298.6,14,D,0
4.5768,-69.7994,317.1,1,1,2016-01-01,1816,Aqua,MODIS,40,6.2,296.5,6.6,D,0
5.6154,-70.3307,320.9,1,1,2016-01-01,1816,Aqua,MODIS,71,6.2,297.1,10.6,D,0
5.9924,-67.4695,325.6,1.4,1.2,2016-01-01,1816,Aqua,MODIS,61,6.2,303.4,12.9,D,0
3.4162,-76.0927,325.2,1.9,1.3,2016-01-01,1816,Aqua,MODIS,78,6.2,289.3,53.1,D,0
