latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.944,15.5081,301.9,1.1,1,2016-01-22,1210,Aqua,MODIS,37,6.2,281.2,7.7,D,0
43.9457,15.5213,325.9,1.1,1,2016-01-22,1210,Aqua,MODIS,64,6.2,282.4,29.5,D,0
43.6442,16.6759,319.2,1.2,1.1,2016-01-22,1210,Aqua,MODIS,79,6.2,280.2,25,D,0
43.6859,16.7148,312.7,1.4,1.2,2016-01-24,1016,Terra,MODIS,73,6.2,282.9,23.6,D,0
43.9089,16.4306,305.5,1,1,2016-01-24,1158,Aqua,MODIS,58,6.2,282.5,9,D,0
44.9229,15.1512,302.4,1,1,2016-01-24,1158,Aqua,MODIS,52,6.2,278.7,8.7,D,0
43.688,16.6946,303.6,1,1,2016-01-24,1158,Aqua,MODIS,56,6.2,284.5,7.6,D,0
43.9071,16.4184,300.4,1,1,2016-01-24,1158,Aqua,MODIS,36,6.2,282.5,6.2,D,0
43.8489,16.5912,300,1.1,1,2016-01-26,1004,Terra,MODIS,12,6.2,286.8,5.8,D,0
43.8727,16.605,300.1,1.1,1,2016-01-26,1004,Terra,MODIS,18,6.2,284.5,5.1,D,0
44.4002,15.9475,304.2,1,1,2016-01-26,1004,Terra,MODIS,58,6.2,287.5,8.5,D,0
44.4014,15.9539,302.4,1.2,1.1,2016-01-26,1146,Aqua,MODIS,48,6.2,286.5,7.2,D,0
43.8728,16.6134,300.7,1.1,1.1,2016-01-26,1146,Aqua,MODIS,30,6.2,285.7,6.1,D,0
45.3382,17.421,303.8,1,1,2016-01-26,1146,Aqua,MODIS,57,6.2,283.4,7.1,D,0
44.6469,15.6961,303,1.2,1.1,2016-01-26,1146,Aqua,MODIS,55,6.2,283.4,8.9,D,0
43.8972,16.5984,301.2,3.6,1.8,2016-01-27,1047,Terra,MODIS,39,6.2,281.7,39.9,D,0
43.89,16.6005,309.6,3.6,1.8,2016-01-27,1047,Terra,MODIS,65,6.2,283,73,D,0
43.891,16.6039,314.1,2,1.4,2016-01-27,1228,Aqua,MODIS,70,6.2,284,38.7,D,0
43.8948,16.5961,309.5,2,1.4,2016-01-27,1228,Aqua,MODIS,69,6.2,283.5,28.9,D,0
44.422,15.6188,316.8,1.8,1.3,2016-01-27,1229,Aqua,MODIS,77,6.2,285.8,37.6,D,0
44.4238,15.6408,300.2,1.8,1.3,2016-01-27,1229,Aqua,MODIS,32,6.2,283.9,11.9,D,0
45.1843,15.5306,307.1,1.1,1,2016-01-28,0951,Terra,MODIS,55,6.2,284.4,9.6,D,0
45.186,15.517,323.2,1.1,1,2016-01-28,0951,Terra,MODIS,72,6.2,285.9,24.7,D,0
44.8497,15.7609,301.6,2.1,1.4,2016-01-29,1034,Terra,MODIS,48,6.2,283.8,17.9,D,0
44.8555,15.7565,343,1.3,1.1,2016-01-29,1216,Aqua,MODIS,93,6.2,287.7,68.6,D,0
44.8455,15.7585,315.8,1.3,1.1,2016-01-29,1216,Aqua,MODIS,76,6.2,284.7,22.1,D,0
45.3374,15.5092,305.6,1.3,1.1,2016-01-29,1217,Aqua,MODIS,62,6.2,286.4,10.1,D,0
43.3892,16.2725,310.6,1.1,1,2016-02-06,0946,Terra,MODIS,61,6.2,282.4,14.6,D,0
43.0693,17.5171,300.5,1,1,2016-03-09,0945,Terra,MODIS,37,6.2,288.1,5,D,0
43.9754,16.1891,301.9,1,1,2016-03-12,1158,Aqua,MODIS,50,6.2,290,3.8,D,0
44.1907,15.3724,302.5,1.2,1.1,2016-03-17,1217,Aqua,MODIS,53,6.2,292.2,4,D,0
45.5158,15.7,300,1.3,1.1,2016-03-17,1217,Aqua,MODIS,10,6.2,288.5,5.4,D,0
43.609,16.5709,304.5,1.3,1.1,2016-03-17,1217,Aqua,MODIS,57,6.2,291.6,6.6,D,0
44.3198,16.0431,308.1,1.9,1.4,2016-03-20,0927,Terra,MODIS,66,6.2,290.9,19.4,D,0
44.4096,15.8998,304.3,3.4,1.7,2016-03-20,1248,Aqua,MODIS,43,6.2,285.3,29.4,D,0
44.408,15.8574,316,3.4,1.7,2016-03-20,1248,Aqua,MODIS,69,6.2,289.2,77.2,D,0
45.2301,15.6619,307.4,3.3,1.7,2016-03-20,1248,Aqua,MODIS,65,6.2,291.1,36.3,D,0
44.4589,15.6393,304.9,3.3,1.7,2016-03-20,1248,Aqua,MODIS,24,6.2,286.9,25.2,D,0
44.4281,15.6415,315.8,3.3,1.7,2016-03-20,1248,Aqua,MODIS,65,6.2,289.7,64.3,D,0
45.2358,15.6662,309,3.3,1.7,2016-03-20,1248,Aqua,MODIS,68,6.2,291.3,45,D,0
44.4136,15.6104,306.7,3.2,1.7,2016-03-20,1248,Aqua,MODIS,50,6.2,291.2,32.8,D,0
44.4153,15.6516,305.8,3.3,1.7,2016-03-20,1248,Aqua,MODIS,36,6.2,290.1,28.5,D,0
43.7118,15.988,303.5,1.1,1.1,2016-03-25,0945,Terra,MODIS,56,6.2,289.1,6.5,D,0
43.7135,15.9739,304.8,1.1,1.1,2016-03-25,0945,Terra,MODIS,60,6.2,289,7.5,D,0
43.4338,16.7952,301.2,1.1,1,2016-03-30,1146,Aqua,MODIS,21,6.2,285.9,4.5,D,0
45.8488,15.721,305.3,2.8,1.6,2016-03-31,1046,Terra,MODIS,61,6.2,288.8,21.9,D,0
44.4502,15.5439,305.8,4.7,2,2016-03-31,2154,Terra,MODIS,38,6.2,275.6,97.4,N,0
44.4487,15.5396,305.1,4.7,2,2016-03-31,2154,Terra,MODIS,19,6.2,275.3,93.7,N,0
45.1614,16.3689,308.7,1.4,1.2,2016-04-02,1217,Aqua,MODIS,61,6.2,283.4,13.8,D,0
45.3784,15.701,308,1.4,1.2,2016-04-04,1022,Terra,MODIS,64,6.2,290.2,10.8,D,0
45.3395,16.3462,308.2,1.1,1,2016-04-04,1205,Aqua,MODIS,61,6.2,291,5.6,D,0
44.8815,18.888,322.1,2.2,1.5,2016-04-05,1110,Aqua,MODIS,75,6.2,285.8,55.1,D,0
44.8794,18.8819,324.4,2.2,1.5,2016-04-05,1110,Aqua,MODIS,77,6.2,285.9,63.2,D,0
44.8753,18.8609,308.1,2.3,1.5,2016-04-05,1110,Aqua,MODIS,52,6.2,286.1,17.4,D,0
43.9213,16.5403,313.4,3.7,1.8,2016-04-05,1248,Aqua,MODIS,73,6.2,285.3,61.9,D,0
43.931,16.5401,311.3,3.7,1.8,2016-04-05,1248,Aqua,MODIS,67,6.2,284.4,53,D,0
43.9378,16.5414,303.2,1.3,1.1,2016-04-05,2034,Terra,MODIS,54,6.2,278.2,13,N,0
45.3678,18.0901,310.8,1.3,1.1,2016-04-06,1009,Terra,MODIS,65,6.2,295.9,9.5,D,0
43.9437,16.5473,319.7,1.2,1.1,2016-04-06,1010,Terra,MODIS,55,6.2,291.9,17.1,D,0
44.434,16.0816,310.1,1.1,1.1,2016-04-06,1010,Terra,MODIS,69,6.2,297,6.5,D,0
44.2796,16.1766,309.6,1.1,1.1,2016-04-06,1010,Terra,MODIS,67,6.2,296.5,7.3,D,0
