latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.804,32.6687,322.5,1.1,1,2016-02-03,1054,Aqua,MODIS,82,6.2,292.2,20.8,D,0
34.8022,32.657,324.4,1.1,1,2016-02-03,1054,Aqua,MODIS,83,6.2,290.9,23.1,D,0
34.9078,33.1499,328.9,1,1,2016-02-18,0834,Terra,MODIS,82,6.2,281,31.1,D,0
34.8672,32.6978,318,3.3,1.7,2016-02-27,1143,Aqua,MODIS,69,6.2,293.6,77.3,D,0
34.6984,32.6847,305.6,1.1,1,2016-03-06,1054,Aqua,MODIS,61,6.2,290.5,6,D,0
34.8972,33.1532,307.6,1.8,1.3,2016-03-09,1125,Aqua,MODIS,30,6.2,295.3,8.2,D,0
34.8991,33.1734,323.7,1.8,1.3,2016-03-09,1125,Aqua,MODIS,79,6.2,295.6,40.8,D,0
34.738,32.498,303.1,1.1,1,2016-04-20,1948,Terra,MODIS,53,6.2,287.1,7.2,N,0
34.7446,33.0393,320.6,1.1,1,2016-04-22,0834,Terra,MODIS,64,6.2,306.5,8.3,D,0
34.7461,33.0278,323,1.1,1,2016-04-22,0834,Terra,MODIS,69,6.2,305.9,11.1,D,0
34.8499,32.6895,314.1,3.8,1.8,2016-05-30,0757,Terra,MODIS,51,6.2,299.6,34.4,D,0
34.7011,32.8958,324.5,1.2,1.1,2016-06-02,0828,Terra,MODIS,50,6.2,307.9,9.5,D,0
35.0201,32.9083,309.6,1.4,1.2,2016-06-19,2013,Terra,MODIS,13,6.2,296.5,10.6,N,0
34.9954,32.9321,315.3,1.4,1.2,2016-06-19,2013,Terra,MODIS,52,6.2,296,18.3,N,0
35.0112,32.925,311.7,1.4,1.2,2016-06-19,2013,Terra,MODIS,19,6.2,297,13,N,0
35.0217,32.9233,316.5,1.4,1.2,2016-06-19,2013,Terra,MODIS,90,6.2,297.3,19.5,N,0
34.9833,32.9183,306.6,1.4,1.2,2016-06-19,2013,Terra,MODIS,24,6.2,295.2,9.2,N,0
34.9827,32.9334,333,1.8,1.3,2016-06-20,0816,Terra,MODIS,82,6.2,307.2,49,D,0
34.9926,32.9554,354,1.8,1.3,2016-06-20,0816,Terra,MODIS,97,6.2,311.7,132,D,0
35.0065,32.9347,370.2,1.8,1.3,2016-06-20,0816,Terra,MODIS,100,6.2,314,239.7,D,0
35.0184,32.9352,336.9,1.8,1.3,2016-06-20,0816,Terra,MODIS,88,6.2,313.2,50.3,D,0
34.9946,32.9344,379.5,1.8,1.3,2016-06-20,0816,Terra,MODIS,100,6.2,313.6,324.9,D,0
35.0044,32.9561,350.4,1.8,1.3,2016-06-20,0816,Terra,MODIS,95,6.2,310.9,108.4,D,0
35.0178,32.9194,332.4,2.1,1.4,2016-06-20,1130,Aqua,MODIS,61,6.2,313.3,45.1,D,0
35.0067,32.9429,340.5,2.2,1.4,2016-06-20,1130,Aqua,MODIS,83,6.2,311.8,78.5,D,0
34.9953,32.9477,338.4,2.2,1.4,2016-06-20,1130,Aqua,MODIS,68,6.2,308.7,77.4,D,0
34.9805,32.9262,327.2,2.1,1.4,2016-06-20,1130,Aqua,MODIS,33,6.2,304.8,44.1,D,0
35.0063,32.9257,340.2,2.1,1.4,2016-06-20,1130,Aqua,MODIS,56,6.2,311.7,78.9,D,0
35.0192,32.9247,331.8,2.1,1.4,2016-06-20,1130,Aqua,MODIS,11,6.2,312.6,39.8,D,0
34.9938,32.9426,335.8,2.2,1.4,2016-06-20,1130,Aqua,MODIS,57,6.2,308.7,59.4,D,0
34.9744,32.9484,345,1.4,1.2,2016-06-21,0859,Terra,MODIS,89,6.2,304.7,65.4,D,0
34.9832,32.9414,366.9,1.4,1.2,2016-06-21,0859,Terra,MODIS,100,6.2,309.7,145.1,D,0
34.9806,32.9553,360.9,1.4,1.2,2016-06-21,0859,Terra,MODIS,100,6.2,307.8,118.8,D,0
34.977,32.934,324.1,1.4,1.2,2016-06-21,0859,Terra,MODIS,32,6.2,307.1,16,D,0
35.0124,32.9333,330.9,1.8,1.3,2016-06-21,1035,Aqua,MODIS,56,6.2,311.2,30,D,0
34.9789,32.947,340.4,1.8,1.3,2016-06-21,1035,Aqua,MODIS,81,6.2,306.7,71.6,D,0
35.0015,32.9661,308.1,1,1,2016-06-21,2001,Terra,MODIS,66,6.2,296.2,6.1,N,0
35.0231,32.9448,332,1.4,1.2,2016-06-22,1118,Aqua,MODIS,44,6.2,313.1,12.8,D,0
35.008,33.3123,346.2,1.2,1.1,2016-07-05,1047,Aqua,MODIS,90,6.2,320.7,33.7,D,0
34.754,32.5328,338.9,1,1,2016-07-26,1105,Aqua,MODIS,59,6.2,320.7,17.7,D,0
34.8851,33.2714,311.6,2.2,1.4,2016-08-09,0015,Aqua,MODIS,83,6.2,297.7,26.4,N,0
34.7159,32.597,316.4,3.2,1.7,2016-09-06,1142,Aqua,MODIS,39,6.2,294.3,30.8,D,0
34.712,32.556,328.5,3.2,1.7,2016-09-06,1142,Aqua,MODIS,62,6.2,299.2,97.2,D,0
34.7139,32.5893,325.6,3.2,1.7,2016-09-06,1142,Aqua,MODIS,74,6.2,295.5,81.5,D,0
34.7138,32.564,336.3,3.2,1.7,2016-09-06,1142,Aqua,MODIS,62,6.2,298.7,154.2,D,0
34.7325,32.9413,323.9,2.7,1.6,2016-09-15,1136,Aqua,MODIS,77,6.2,304.1,47.9,D,0
34.7565,32.8368,320.1,2.1,1.4,2016-09-24,1130,Aqua,MODIS,63,6.2,299.8,26.4,D,0
34.7546,32.8147,328.5,2.1,1.4,2016-09-24,1130,Aqua,MODIS,78,6.2,302.4,52.6,D,0
34.8699,32.3701,311.2,3.7,1.8,2016-09-28,0929,Terra,MODIS,0,6.2,298.3,33.8,D,0
34.8607,32.4072,314.1,3.8,1.8,2016-09-28,0929,Terra,MODIS,52,6.2,298,48.4,D,0
34.7034,32.9915,321.4,1.7,1.3,2016-10-02,0904,Terra,MODIS,74,6.2,309.8,14.4,D,0
34.8534,32.7036,323.8,1.2,1.1,2016-11-10,1047,Aqua,MODIS,79,6.2,299.3,24.5,D,0
35.1302,33.0405,308.5,1,1,2016-11-23,0840,Terra,MODIS,62,6.2,297.1,4.3,D,0
34.8582,33.5427,310,1,1,2016-12-09,0840,Terra,MODIS,69,6.2,290.6,8.8,D,0
