latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
56.2227,10.1882,301.9,1.1,1,2016-03-22,1049,Terra,MODIS,50,6.2,284.7,5.8,D,0
57.1943,9.5293,313.4,1.2,1.1,2016-04-11,1025,Terra,MODIS,58,6.2,288,15.7,D,0
57.1964,9.51,317.9,1.2,1.1,2016-04-11,1025,Terra,MODIS,60,6.2,288.9,20.6,D,0
57.1908,9.5098,311.4,4.3,1.9,2016-04-12,0929,Terra,MODIS,0,6.2,283.9,101,D,0
57.1922,9.5151,312.9,4.3,1.9,2016-04-12,0929,Terra,MODIS,0,6.2,284,110.7,D,0
54.8957,11.1175,314.6,1,1,2016-04-22,1156,Aqua,MODIS,75,6.2,293.7,11.2,D,0
54.9085,11.1957,322.1,1,1,2016-04-22,1156,Aqua,MODIS,81,6.2,294.8,18,D,0
54.9111,11.2113,337.8,1,1,2016-04-22,1156,Aqua,MODIS,91,6.2,293.3,39.3,D,0
55.3352,10.2947,303.8,1,1,2016-05-04,1032,Terra,MODIS,23,6.2,291.4,3.7,D,0
56.4482,9.3794,302.7,1.5,1.2,2016-05-05,1114,Terra,MODIS,30,6.2,290.7,6.1,D,0
56.8431,9.7015,305.4,1,1,2016-05-06,1208,Aqua,MODIS,57,6.2,292.7,4.3,D,0
57.0613,9.9851,310.4,1,1,2016-05-09,1050,Terra,MODIS,0,6.2,300.1,6.6,D,0
56.3176,9.0908,310.6,1.5,1.2,2016-05-09,1239,Aqua,MODIS,57,6.2,299.9,7,D,0
56.6468,9.3417,309.7,2.3,1.5,2016-05-10,0955,Terra,MODIS,0,6.2,294.5,16.7,D,0
55.5894,8.1529,313,2.2,1.4,2016-05-10,1133,Terra,MODIS,52,6.2,296.7,24.4,D,0
55.5883,8.1195,316,1.5,1.2,2016-05-10,1143,Aqua,MODIS,52,6.2,299.4,17.1,D,0
55.5931,8.1421,309.3,1.5,1.2,2016-05-10,1143,Aqua,MODIS,49,6.2,298.4,8,D,0
55.5919,8.1329,311.9,1,1,2016-05-11,1038,Terra,MODIS,60,6.2,299.9,5.5,D,0
54.8287,11.1747,322.4,1,1,2016-05-27,1038,Terra,MODIS,76,6.2,297.8,17.1,D,0
55.8131,12.3473,312.9,1,1,2016-06-02,1149,Aqua,MODIS,41,6.2,300.5,7.4,D,0
55.0794,10.43,314,1,1,2016-06-05,1032,Terra,MODIS,61,6.2,299.6,7.4,D,0
56.3805,9.6732,312.5,1,1,2016-06-05,1032,Terra,MODIS,45,6.2,301,7,D,0
55.2217,12.078,300.9,1.4,1.2,2016-06-10,2026,Terra,MODIS,35,6.2,279.6,12.8,N,0
55.2261,12.0992,320.3,1.4,1.2,2016-06-10,2026,Terra,MODIS,100,6.2,280.5,36.8,N,0
55.2287,12.0955,305.1,1.6,1.2,2016-06-11,0207,Aqua,MODIS,63,6.2,278,22.6,N,0
55.227,12.0978,303.7,1.1,1.1,2016-06-11,2108,Terra,MODIS,56,6.2,279.4,11.2,N,0
56.1184,8.9483,302.4,1,1,2016-07-02,1201,Aqua,MODIS,19,6.2,290.1,4.2,D,0
55.8156,12.3478,308.6,1,1,2016-07-04,1149,Aqua,MODIS,38,6.2,292.7,7.6,D,0
55.6483,11.0871,343.3,1.1,1.1,2016-07-12,1050,Terra,MODIS,87,6.2,292.4,55.7,D,0
54.8974,11.0364,313.7,1.1,1.1,2016-07-20,1148,Aqua,MODIS,12,6.2,298.1,7.9,D,0
54.9065,11.0314,317.1,1.1,1.1,2016-07-20,1148,Aqua,MODIS,0,6.2,296.5,11.7,D,0
54.797,11.1704,311.7,1.1,1.1,2016-07-20,1148,Aqua,MODIS,62,6.2,298.4,6.5,D,0
54.794,11.1535,318.9,1.1,1.1,2016-07-20,1148,Aqua,MODIS,74,6.2,298.6,13.9,D,0
55.3664,11.3521,322,1.5,1.2,2016-07-26,1103,Terra,MODIS,81,6.2,293.4,29.8,D,0
55.3391,12.2797,309.9,1,1,2016-08-10,1207,Aqua,MODIS,69,6.2,292.4,7.9,D,0
55.3412,12.2959,317.3,1,1,2016-08-10,1207,Aqua,MODIS,77,6.2,288.2,14.4,D,0
54.7726,11.3618,310,1,1,2016-08-17,1026,Terra,MODIS,47,6.2,293.1,5.5,D,0
54.8724,11.3102,312.4,1,1,2016-08-17,1026,Terra,MODIS,57,6.2,296.8,6.2,D,0
54.8633,11.3163,326,1,1,2016-08-17,1026,Terra,MODIS,62,6.2,296.9,20.1,D,0
54.8598,11.3141,316.7,1.1,1,2016-08-17,1213,Aqua,MODIS,72,6.2,298.2,10,D,0
55.4483,10.3942,319.6,1,1,2016-08-24,1032,Terra,MODIS,78,6.2,294,13.9,D,0
55.5197,12.1733,324.5,2.1,1.4,2016-08-25,1114,Terra,MODIS,61,6.2,295.2,53.9,D,0
55.5274,12.1426,319.2,2.1,1.4,2016-08-25,1114,Terra,MODIS,76,6.2,295.9,38,D,0
55.5098,12.1569,307.3,1.6,1.3,2016-08-25,1124,Aqua,MODIS,35,6.2,292.5,10.2,D,0
55.5204,12.1496,314.7,1.6,1.3,2016-08-25,1124,Aqua,MODIS,71,6.2,293,21.4,D,0
55.5257,12.0759,311.7,1.1,1,2016-08-26,1019,Terra,MODIS,56,6.2,299.8,4.6,D,0
54.7809,11.3784,316.2,1.1,1,2016-08-26,1020,Terra,MODIS,42,6.2,299.9,7.7,D,0
54.7788,11.3949,316.6,1.1,1,2016-08-26,1020,Terra,MODIS,44,6.2,301.4,7.7,D,0
56.2356,9.9555,308.8,1,1,2016-08-26,1207,Aqua,MODIS,44,6.2,293.3,5.4,D,0
55.708,9.8216,303.7,1.2,1.1,2016-09-05,1056,Terra,MODIS,53,6.2,293.6,4.4,D,0
56.5198,9.0607,306.1,1.5,1.2,2016-09-10,1114,Terra,MODIS,44,6.2,290.4,9.6,D,0
55.5854,8.1512,308.6,1.9,1.3,2016-09-13,1007,Terra,MODIS,50,6.2,294.7,12.4,D,0
55.4536,12.0473,307.3,1,1,2016-09-13,1154,Aqua,MODIS,44,6.2,296.3,4.2,D,0
56.2131,9.995,333.3,1.1,1,2016-09-13,1155,Aqua,MODIS,82,6.2,295.8,31.6,D,0
55.5894,8.1618,308.9,1,1,2016-09-14,1050,Terra,MODIS,50,6.2,298.2,4.6,D,0
55.5918,12.0951,311,1.1,1.1,2016-09-15,1142,Aqua,MODIS,62,6.2,297.3,7.3,D,0
56.2404,9.2817,301.5,1,1,2016-09-20,1201,Aqua,MODIS,40,6.2,279.3,5.9,D,0
55.193,9.3514,304.4,1.2,1.1,2016-09-27,1019,Terra,MODIS,57,6.2,292.1,6.4,D,0
56.0313,9.2851,315.7,1.3,1.1,2016-10-06,2126,Terra,MODIS,92,6.2,271.9,26.7,N,0
56.98,8.7372,304.9,1.1,1,2016-10-12,2050,Terra,MODIS,62,6.2,275.8,12.7,N,0
56.1004,10.1477,369.3,1,1,2016-10-20,1213,Aqua,MODIS,100,6.2,289.2,122.6,D,0
55.5205,12.1127,313.2,1.1,1,2016-10-29,1019,Terra,MODIS,73,6.2,281.1,16.4,D,0
56.4397,10.5147,314.3,1,1,2016-11-27,2102,Terra,MODIS,89,6.2,273.9,18.4,N,0
