latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.6378,42.1902,330.4,2.6,1.5,2016-02-25,1010,Aqua,MODIS,76,6.2,303.6,43.6,D,0
11.7178,42.1229,328.2,2.6,1.6,2016-02-25,1010,Aqua,MODIS,42,6.2,302.4,39.4,D,0
11.704,42.1257,328.7,2.6,1.6,2016-02-25,1010,Aqua,MODIS,48,6.2,302.6,43.3,D,0
11.5917,42.0031,331.4,2.7,1.6,2016-02-25,1010,Aqua,MODIS,75,6.2,303.4,49.5,D,0
11.5876,41.979,334,2.7,1.6,2016-02-25,1010,Aqua,MODIS,80,6.2,304.5,60.8,D,0
12.3201,42.4219,332.7,2.4,1.5,2016-02-25,1011,Aqua,MODIS,76,6.2,305.9,39.1,D,0
12.1056,42.4043,332.7,2.4,1.5,2016-02-25,1011,Aqua,MODIS,76,6.2,305.2,41.9,D,0
12.3164,42.4002,332.7,2.4,1.5,2016-02-25,1011,Aqua,MODIS,66,6.2,305.5,39,D,0
11.861,42.0969,335.5,1.7,1.3,2016-03-18,0809,Terra,MODIS,50,6.2,313.6,31.6,D,0
12.3223,42.4087,332.8,3.2,1.7,2016-05-03,0821,Terra,MODIS,63,6.2,303.9,67.9,D,0
11.4344,42.3245,331.6,1.9,1.3,2016-05-05,0809,Terra,MODIS,74,6.2,303,26.6,D,0
11.4197,42.3391,332.2,1.9,1.3,2016-05-05,0809,Terra,MODIS,75,6.2,302.4,28.5,D,0
11.4226,42.3224,333.3,1.9,1.3,2016-05-05,0809,Terra,MODIS,77,6.2,302.9,31.5,D,0
11.4254,42.3057,333.3,1.9,1.3,2016-05-05,0809,Terra,MODIS,77,6.2,303.1,32.2,D,0
11.4373,42.3078,332,1.9,1.3,2016-05-05,0809,Terra,MODIS,63,6.2,303.3,30,D,0
11.0492,42.0275,331.6,2,1.4,2016-05-06,1017,Aqua,MODIS,81,6.2,305.6,30,D,0
11.5911,42.4271,332.1,3,1.7,2016-07-08,1111,Aqua,MODIS,48,6.2,306.5,47.6,D,0
12.0719,42.3536,338.2,1.2,1.1,2016-07-23,1028,Aqua,MODIS,75,6.2,312.8,10.5,D,0
11.4158,42.3507,332,2.4,1.5,2016-09-17,0815,Terra,MODIS,69,6.2,304.4,36.5,D,0
11.4195,42.3291,333.8,2.4,1.5,2016-09-17,0815,Terra,MODIS,73,6.2,305.8,44.3,D,0
11.4328,42.3316,333.6,2.4,1.5,2016-09-17,0815,Terra,MODIS,73,6.2,305.1,45.1,D,0
11.4618,42.299,336,2.4,1.5,2016-09-17,0815,Terra,MODIS,55,6.2,306.7,65.7,D,0
11.458,42.3206,335.8,2.4,1.5,2016-09-17,0815,Terra,MODIS,56,6.2,306.8,62.6,D,0
11.4542,42.3423,333.6,2.4,1.5,2016-09-17,0815,Terra,MODIS,68,6.2,305.7,49.5,D,0
11.4485,42.2966,334.8,2.4,1.5,2016-09-17,0815,Terra,MODIS,49,6.2,306.5,57,D,0
11.4447,42.3182,334.8,2.4,1.5,2016-09-17,0815,Terra,MODIS,58,6.2,306.2,54.9,D,0
11.4409,42.3398,334.1,2.4,1.5,2016-09-17,0815,Terra,MODIS,73,6.2,305.4,50.3,D,0
11.4667,42.2931,333.4,2.4,1.5,2016-09-17,0815,Terra,MODIS,34,6.2,306.4,52.3,D,0
11.4631,42.3148,335,2.4,1.5,2016-09-17,0815,Terra,MODIS,55,6.2,307,57,D,0
11.4595,42.3365,333.2,2.4,1.5,2016-09-17,0815,Terra,MODIS,72,6.2,306.1,46.5,D,0
11.4462,42.334,334.2,2.4,1.5,2016-09-17,0815,Terra,MODIS,74,6.2,306.1,49,D,0
11.4498,42.3124,334.4,2.4,1.5,2016-09-17,0815,Terra,MODIS,74,6.2,306.6,49.4,D,0
11.8662,42.1046,330.4,2.3,1.5,2016-09-17,0815,Terra,MODIS,59,6.2,301.8,35,D,0
11.4461,42.3106,334.1,1.8,1.3,2016-09-26,0809,Terra,MODIS,74,6.2,307.7,31.5,D,0
11.4493,42.334,336.3,1.8,1.3,2016-09-26,0809,Terra,MODIS,77,6.2,307.7,39.2,D,0
11.4465,42.3505,333.5,1.9,1.3,2016-09-26,0809,Terra,MODIS,71,6.2,306.7,29.7,D,0
11.4375,42.3319,334.8,1.8,1.3,2016-09-26,0809,Terra,MODIS,74,6.2,308.1,32.9,D,0
11.4347,42.3484,334.1,1.9,1.3,2016-09-26,0809,Terra,MODIS,72,6.2,308.1,31.9,D,0
11.4549,42.301,337.5,1.8,1.3,2016-09-26,0809,Terra,MODIS,78,6.2,308.2,47.1,D,0
11.4521,42.3175,337,1.8,1.3,2016-09-26,0809,Terra,MODIS,74,6.2,308,43.8,D,0
11.8639,42.1032,331.1,1.7,1.3,2016-10-12,0809,Terra,MODIS,39,6.2,308.9,23.9,D,0
11.5212,43.1651,326.3,1.1,1,2016-10-27,1028,Aqua,MODIS,68,6.2,306.8,7.9,D,0
11.5218,43.1708,308.3,1,1,2016-11-03,2249,Aqua,MODIS,74,6.2,295.2,7.3,N,0
11.5381,41.8985,317.6,3,1.6,2016-11-27,0821,Terra,MODIS,9,6.2,294.1,34.1,D,0
