latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.5399,-89.7566,317,1.3,1.1,2016-01-01,0728,Aqua,MODIS,94,6.2,294.1,20.6,N,0
13.7235,-89.6949,322.8,1.5,1.2,2016-01-01,1654,Terra,MODIS,74,6.2,302.4,21.7,D,0
13.2875,-88.5266,331.3,1.7,1.3,2016-01-02,1902,Aqua,MODIS,73,6.2,304.3,38.9,D,0
13.2867,-88.5332,328.6,1.7,1.3,2016-01-02,1902,Aqua,MODIS,57,6.2,303.1,29.7,D,0
13.3061,-88.6021,317.7,1.2,1.1,2016-01-03,1642,Terra,MODIS,63,6.2,305.2,10.7,D,0
13.8514,-89.2741,320.1,1.1,1,2016-01-03,1642,Terra,MODIS,71,6.2,299.8,11.1,D,0
13.4476,-89.1091,324.5,1.1,1,2016-01-03,1642,Terra,MODIS,75,6.2,303.2,14.5,D,0
13.7621,-89.3982,318.4,1.7,1.3,2016-01-03,1945,Aqua,MODIS,63,6.2,300.5,13.8,D,0
13.8144,-89.278,313.6,3.2,1.7,2016-01-04,1850,Aqua,MODIS,53,6.2,296.7,29.3,D,0
13.5493,-88.8212,320.5,1,1,2016-01-05,1629,Terra,MODIS,46,6.2,301.9,10.5,D,0
13.3975,-88.79,326.2,1,1,2016-01-05,1630,Terra,MODIS,77,6.2,299.5,17.3,D,0
13.4775,-88.9631,318.8,1,1,2016-01-05,1630,Terra,MODIS,51,6.2,301.9,6.6,D,0
13.3014,-88.5084,354.9,1,1,2016-01-05,1630,Terra,MODIS,97,6.2,306.2,63.7,D,0
13.3785,-88.406,317.4,1,1,2016-01-05,1630,Terra,MODIS,43,6.2,301.4,6.6,D,0
13.2883,-88.7525,321.2,1.4,1.2,2016-01-07,1617,Terra,MODIS,66,6.2,301.2,19,D,0
13.3248,-88.7591,324.9,1,1,2016-01-07,1920,Aqua,MODIS,54,6.2,304,13.1,D,0
