latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.5255,-1.8835,304.6,1.4,1.2,2016-01-06,0241,Aqua,MODIS,61,6.2,276.7,17.1,N,0
43.4508,4.8969,300.6,1.1,1.1,2016-01-09,0134,Aqua,MODIS,30,6.2,279,9.5,N,2
43.4482,4.9002,302.5,1.3,1.1,2016-01-12,0205,Aqua,MODIS,49,6.2,279.6,12.7,N,2
43.5309,4.7555,304,1.7,1.3,2016-01-12,1312,Aqua,MODIS,58,6.2,281.5,16.8,D,0
43.5436,4.7893,301.2,1.7,1.3,2016-01-12,1312,Aqua,MODIS,38,6.2,283,12.7,D,0
43.6008,4.3983,302.5,1.6,1.3,2016-01-12,1312,Aqua,MODIS,52,6.2,283.6,13.6,D,0
43.5327,4.7766,338.3,1.7,1.3,2016-01-12,1312,Aqua,MODIS,91,6.2,284.3,93.5,D,0
43.5418,4.7682,324.9,1.7,1.3,2016-01-12,1312,Aqua,MODIS,83,6.2,284.8,53.7,D,0
43.6029,4.4036,301.6,1.6,1.3,2016-01-12,1312,Aqua,MODIS,48,6.2,283.6,13.5,D,0
42.4015,9.4426,306.4,1.5,1.2,2016-01-12,2059,Terra,MODIS,68,6.2,278.3,20,N,0
42.4029,9.4364,303.1,1.5,1.2,2016-01-12,2059,Terra,MODIS,53,6.2,278.2,15.5,N,0
43.4417,4.8963,311.6,1,1,2016-01-13,1035,Terra,MODIS,0,6.2,282.7,13.8,D,2
43.1244,3.0308,303,1.2,1.1,2016-01-16,0140,Aqua,MODIS,6,6.2,274.6,11.1,N,0
43.4427,4.894,303.3,1.5,1.2,2016-01-16,1106,Terra,MODIS,0,6.2,280.3,16.7,D,2
42.5089,9.336,326.9,2.3,1.5,2016-01-17,1152,Aqua,MODIS,85,6.2,282.2,95.9,D,0
51.0434,2.2911,302.5,1.3,1.1,2016-01-17,2120,Terra,MODIS,49,6.2,274.6,14,N,2
51.0447,2.3022,304.2,1.1,1,2016-01-20,2150,Terra,MODIS,59,6.2,274.9,11.9,N,2
