latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.7545,-0.4307,326.8,1.4,1.2,2016-01-01,1020,Terra,MODIS,76,6.2,301.9,26.4,D,0
8.3709,-1.2623,341.4,1.7,1.3,2016-01-01,1020,Terra,MODIS,89,6.2,305.9,73.6,D,0
8.8345,-1.5724,319.2,1.8,1.3,2016-01-01,1020,Terra,MODIS,50,6.2,305.2,13.3,D,0
7.1735,-0.3321,317,1.4,1.2,2016-01-01,1020,Terra,MODIS,53,6.2,298.6,11,D,0
7.1718,-0.3196,319.3,1.4,1.2,2016-01-01,1020,Terra,MODIS,66,6.2,297.7,14.2,D,0
7.6717,-0.684,320.5,1.5,1.2,2016-01-01,1020,Terra,MODIS,69,6.2,303,15.3,D,0
9.8713,-1.6218,336.4,1.9,1.3,2016-01-01,1020,Terra,MODIS,86,6.2,304.6,73.9,D,0
7.4008,-0.7945,326.6,1.5,1.2,2016-01-01,1020,Terra,MODIS,79,6.2,300.8,31.4,D,0
8.7516,-0.5118,322.4,1.5,1.2,2016-01-01,1020,Terra,MODIS,65,6.2,307.6,14.1,D,0
7.3452,-0.2771,322.8,1.4,1.2,2016-01-01,1020,Terra,MODIS,32,6.2,298.6,15.1,D,0
8.0307,-1.8588,325,1.9,1.3,2016-01-01,1020,Terra,MODIS,75,6.2,305.8,29.1,D,0
8.373,-1.2776,334.4,1.7,1.3,2016-01-01,1020,Terra,MODIS,84,6.2,302.9,50,D,0
9.1175,-0.5074,325.4,1.5,1.2,2016-01-01,1020,Terra,MODIS,72,6.2,306,21.2,D,0
10.69,-1.905,325.3,2.1,1.4,2016-01-01,1020,Terra,MODIS,74,6.2,305.4,34.6,D,0
7.2379,-1.1864,321.8,1.6,1.2,2016-01-01,1020,Terra,MODIS,73,6.2,302.8,22.4,D,0
7.7527,-0.4177,318.6,1.4,1.2,2016-01-01,1020,Terra,MODIS,61,6.2,302,12.3,D,0
7.8017,0.3446,322.6,1.3,1.1,2016-01-01,1020,Terra,MODIS,69,6.2,304.6,13.8,D,0
7.2916,-1.158,320.7,1.6,1.2,2016-01-01,1020,Terra,MODIS,72,6.2,302.7,19.3,D,0
8.321,-1.4812,329.3,1.8,1.3,2016-01-01,1020,Terra,MODIS,79,6.2,304.9,39.9,D,0
9.248,-2.1542,322.9,2.1,1.4,2016-01-01,1020,Terra,MODIS,71,6.2,307.1,24.7,D,0
9.1319,-0.3658,322.1,1.5,1.2,2016-01-01,1020,Terra,MODIS,65,6.2,307.6,13.5,D,0
8.036,-1.8512,334.1,1.9,1.3,2016-01-01,1020,Terra,MODIS,84,6.2,306.6,58.9,D,0
8.8359,-0.6413,334.5,1.6,1.2,2016-01-01,1020,Terra,MODIS,83,6.2,308.4,41.9,D,0
10.5271,-0.7792,318.9,1.7,1.3,2016-01-01,1020,Terra,MODIS,50,6.2,305.8,10.9,D,0
8.848,0.0152,325.5,1.4,1.2,2016-01-01,1020,Terra,MODIS,72,6.2,307.4,18.6,D,0
8.39,0.5879,319.4,1.3,1.1,2016-01-01,1020,Terra,MODIS,45,6.2,299.2,15.3,D,0
7.7604,-1.2343,319.2,1.7,1.3,2016-01-01,1020,Terra,MODIS,43,6.2,303.5,12.6,D,0
8.3312,-1.6434,319.6,1.8,1.3,2016-01-01,1020,Terra,MODIS,63,6.2,305.9,13.6,D,0
8.9105,-1.6396,318.7,1.9,1.3,2016-01-01,1020,Terra,MODIS,56,6.2,303.3,12.3,D,0
8.8268,-0.6568,340.9,1.6,1.2,2016-01-01,1020,Terra,MODIS,88,6.2,306,59.3,D,0
9.0696,-1.4558,319.5,1.8,1.3,2016-01-01,1020,Terra,MODIS,49,6.2,305.4,12.9,D,0
7.5041,-0.1479,321.7,1.4,1.2,2016-01-01,1020,Terra,MODIS,61,6.2,303.5,14.1,D,0
8.3327,-1.4797,319.2,1.8,1.3,2016-01-01,1020,Terra,MODIS,32,6.2,304.3,16,D,0
8.9147,-1.6292,328.2,1.8,1.3,2016-01-01,1020,Terra,MODIS,77,6.2,304,35.1,D,0
