latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.4265,144.7532,313.8,1.2,1.1,2016-01-18,0109,Terra,MODIS,59,6.2,298.7,8.6,D,0
13.4248,144.7639,319.7,1.2,1.1,2016-01-18,0109,Terra,MODIS,71,6.2,298.5,15.1,D,0
13.3188,144.6709,309.9,1.2,1.1,2016-02-05,1614,Aqua,MODIS,68,6.2,293.6,11.1,N,0
13.2659,144.6967,337.8,1,1,2016-03-26,0348,Aqua,MODIS,73,6.2,298.9,32.3,D,0
13.2646,144.6875,323.2,1,1,2016-03-26,0348,Aqua,MODIS,0,6.2,298.1,13.4,D,0
13.3682,144.7437,325.2,1.1,1,2016-04-02,0354,Aqua,MODIS,78,6.2,301.9,14.3,D,0
13.4606,144.8113,317.1,2,1.4,2016-04-04,1306,Terra,MODIS,93,6.2,293.9,37.4,N,0
13.4636,144.8053,314.5,2,1.4,2016-04-04,1306,Terra,MODIS,85,6.2,293.7,30.7,N,0
13.3678,144.7244,312,1.6,1.3,2016-05-08,0330,Aqua,MODIS,44,6.2,294.5,9.7,D,0
13.4475,144.7212,310.8,1.6,1.3,2016-05-08,0330,Aqua,MODIS,43,6.2,289.8,12.6,D,0
13.4451,144.7064,324.6,1.6,1.3,2016-05-08,0330,Aqua,MODIS,73,6.2,289.1,38.4,D,0
13.3963,144.7381,306.1,2,1.4,2016-05-22,1307,Terra,MODIS,42,6.2,294.4,14.5,N,0
13.394,144.7193,306.7,2,1.4,2016-05-22,1307,Terra,MODIS,48,6.2,294.4,15.6,N,0
13.4726,144.8394,336,1,1,2016-05-29,0347,Aqua,MODIS,76,6.2,305.2,24.2,D,0
13.4815,144.838,343.4,1,1,2016-05-29,0347,Aqua,MODIS,92,6.2,303.7,35.3,D,0
13.55,144.8684,321.4,1,1,2016-05-29,0347,Aqua,MODIS,63,6.2,299.6,7.3,D,0
13.3124,144.7433,306.1,1.1,1,2016-06-20,1236,Terra,MODIS,41,6.2,293.4,5.5,N,0
