latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.5981,-59.9542,303.5,1.2,1.1,2016-01-05,0527,Aqua,MODIS,56,6.2,290.7,7.3,N,0
4.6054,-59.9784,319,1.8,1.3,2016-01-05,1453,Terra,MODIS,74,6.2,294,26.8,D,0
4.6031,-59.9642,319.1,1.8,1.3,2016-01-05,1453,Terra,MODIS,75,6.2,292.9,26.8,D,0
6.5134,-58.1124,304.9,1,1,2016-01-07,0222,Terra,MODIS,62,6.2,292,5.9,N,0
6.796,-58.3264,309.7,1,1,2016-01-07,0222,Terra,MODIS,78,6.2,292.7,8.7,N,0
6.7947,-58.3355,317.3,1,1,2016-01-07,0222,Terra,MODIS,95,6.2,292.8,14.9,N,0
6.7971,-58.3376,313.4,1.6,1.2,2016-01-07,0514,Aqua,MODIS,87,6.2,290.8,24,N,0
6.7951,-58.3235,303.9,1.6,1.2,2016-01-07,0514,Aqua,MODIS,58,6.2,290.3,11.2,N,0
6.7983,-58.3316,317.4,1.6,1.2,2016-01-07,0514,Aqua,MODIS,95,6.2,291,30.5,N,0
2.7947,-59.9711,326.5,1.2,1.1,2016-01-07,1441,Terra,MODIS,67,6.2,303.5,14.2,D,0
2.7932,-59.9607,328.7,1.2,1.1,2016-01-07,1441,Terra,MODIS,73,6.2,301.7,16.6,D,0
2.3495,-59.6734,324.3,1.1,1,2016-01-07,1738,Aqua,MODIS,77,6.2,297,13.1,D,0
3.386,-59.8174,328.9,1.1,1,2016-01-07,1739,Aqua,MODIS,74,6.2,301.8,14.9,D,0
3.7457,-59.4188,351.8,1.1,1.1,2016-01-07,1739,Aqua,MODIS,95,6.2,302.2,58.7,D,0
4.0491,-59.5015,324.7,1.1,1.1,2016-01-07,1739,Aqua,MODIS,59,6.2,301.7,11.4,D,0
6.4908,-57.9143,300.2,2.4,1.5,2016-01-08,0557,Aqua,MODIS,20,6.2,287.7,14.1,N,0
6.4859,-57.9083,302.3,2.4,1.5,2016-01-08,0557,Aqua,MODIS,48,6.2,287.6,17.9,N,0
6.4875,-57.8931,306.8,2.4,1.5,2016-01-08,0557,Aqua,MODIS,69,6.2,286.9,27.5,N,0
6.7237,-58.4269,303,1.2,1.1,2016-01-09,0210,Terra,MODIS,53,6.2,291.5,5.6,N,0
6.1607,-57.2338,320.4,1.1,1,2016-01-09,1428,Terra,MODIS,75,6.2,298.2,10.9,D,0
4.7637,-57.9996,313.3,1,1,2016-01-09,1428,Terra,MODIS,66,6.2,299.6,7.2,D,0
5.5291,-57.7547,314.2,1,1,2016-01-09,1428,Terra,MODIS,56,6.2,299.3,5.9,D,0
6.271,-61.0633,313.7,1.2,1.1,2016-01-09,1428,Terra,MODIS,53,6.2,296.3,9.1,D,0
3.6421,-59.3245,322.4,1,1,2016-01-09,1429,Terra,MODIS,63,6.2,294.4,12.5,D,0
3.8577,-59.5365,324.5,1,1,2016-01-09,1429,Terra,MODIS,55,6.2,301.5,8,D,0
3.3758,-59.5528,322.3,1,1,2016-01-09,1726,Aqua,MODIS,73,6.2,294.5,14.5,D,0
2.8051,-59.6142,326.9,1.1,1,2016-01-09,1726,Aqua,MODIS,62,6.2,300,13.3,D,0
2.606,-59.7176,325.9,1.1,1,2016-01-09,1726,Aqua,MODIS,74,6.2,301.9,9.1,D,0
2.7817,-59.582,326.7,1.1,1,2016-01-09,1726,Aqua,MODIS,70,6.2,298.6,12.6,D,0
3.6676,-59.3131,368.9,1,1,2016-01-09,1727,Aqua,MODIS,87,6.2,300,105.1,D,0
3.6663,-59.3223,353.8,1,1,2016-01-09,1727,Aqua,MODIS,84,6.2,298,62.5,D,0
6.6114,-58.6304,315,1,1,2016-01-09,1727,Aqua,MODIS,42,6.2,294.7,8.4,D,0
6.507,-58.0668,314.2,1,1,2016-01-09,1727,Aqua,MODIS,56,6.2,295.8,7,D,0
7.2552,-58.8857,310.3,1,1,2016-01-09,1727,Aqua,MODIS,56,6.2,294.7,4.9,D,0
7.2565,-58.8767,329.4,1,1,2016-01-09,1727,Aqua,MODIS,84,6.2,294.9,23.5,D,0
6.5977,-57.9485,323,1,1,2016-01-09,1727,Aqua,MODIS,77,6.2,301,12.2,D,0
5.5205,-57.7577,334.3,1,1,2016-01-09,1727,Aqua,MODIS,87,6.2,301.2,28.2,D,0
5.5289,-57.7553,320.8,1,1,2016-01-09,1727,Aqua,MODIS,65,6.2,298.8,13.2,D,0
3.8816,-59.1711,324.6,1,1,2016-01-09,1727,Aqua,MODIS,57,6.2,297.2,12.7,D,0
6.3128,-58.0733,322.5,1,1,2016-01-09,1727,Aqua,MODIS,61,6.2,301.3,12.9,D,0
6.3219,-58.0746,326.6,1,1,2016-01-09,1727,Aqua,MODIS,71,6.2,300.8,17.2,D,0
3.6778,-59.3705,327.3,1,1,2016-01-09,1727,Aqua,MODIS,70,6.2,301.8,13.1,D,0
3.8012,-59.4136,333.2,1,1,2016-01-09,1727,Aqua,MODIS,83,6.2,304.7,13.4,D,0
3.8025,-59.4044,343.2,1,1,2016-01-09,1727,Aqua,MODIS,91,6.2,304.8,30.4,D,0
3.7934,-59.4031,336.7,1,1,2016-01-09,1727,Aqua,MODIS,86,6.2,303.5,19.6,D,0
3.7857,-59.3927,328.2,1,1,2016-01-09,1727,Aqua,MODIS,64,6.2,301.4,9,D,0
6.4813,-57.896,325.7,1.2,1.1,2016-01-11,1416,Terra,MODIS,80,6.2,297.8,23.6,D,0
6.4798,-57.8856,316.9,1.2,1.1,2016-01-11,1416,Terra,MODIS,70,6.2,296.2,12.5,D,0
6.4853,-57.8996,317,1.2,1.1,2016-01-11,1416,Terra,MODIS,57,6.2,296,10.8,D,0
6.4838,-57.8891,329.8,1.2,1.1,2016-01-11,1416,Terra,MODIS,84,6.2,297.8,28.1,D,0
2.9938,-59.6417,328.8,1.3,1.1,2016-01-11,1417,Terra,MODIS,79,6.2,303,19,D,0
2.1759,-59.2857,316.4,1.2,1.1,2016-01-11,1417,Terra,MODIS,46,6.2,295.7,10.9,D,0
2.4423,-59.6596,324.7,1.6,1.3,2016-01-11,1714,Aqua,MODIS,78,6.2,301.5,17.9,D,0
2.45,-59.8397,327.5,1.7,1.3,2016-01-11,1714,Aqua,MODIS,80,6.2,300.8,23.4,D,0
2.1629,-59.2931,322.7,1.5,1.2,2016-01-11,1714,Aqua,MODIS,76,6.2,296.4,27.7,D,0
3.8465,-59.3147,327.9,1.5,1.2,2016-01-11,1714,Aqua,MODIS,53,6.2,300.4,27.2,D,0
2.4444,-59.6452,324.7,1.6,1.2,2016-01-11,1714,Aqua,MODIS,76,6.2,301.1,17.9,D,0
4.7629,-58.0038,316,1.2,1.1,2016-01-11,1715,Aqua,MODIS,71,6.2,302,11.2,D,0
6.5906,-57.9615,325.7,1.1,1.1,2016-01-11,1715,Aqua,MODIS,81,6.2,301,16,D,0
6.481,-57.8888,343.1,1.1,1.1,2016-01-11,1715,Aqua,MODIS,92,6.2,298.5,47.1,D,0
6.4796,-57.8987,336.2,1.1,1.1,2016-01-11,1715,Aqua,MODIS,88,6.2,299.6,34.6,D,0
5.7933,-57.246,315.4,1.1,1,2016-01-11,1715,Aqua,MODIS,53,6.2,294,9,D,0
6.5921,-57.9515,345.9,1.1,1.1,2016-01-11,1715,Aqua,MODIS,93,6.2,302.4,51.2,D,0
7.6554,-58.9919,319.1,1.2,1.1,2016-01-11,1715,Aqua,MODIS,76,6.2,294.1,17.7,D,0
7.7531,-59.098,322.3,1.2,1.1,2016-01-11,1715,Aqua,MODIS,79,6.2,295.5,21.6,D,0
6.2519,-61.0668,321.4,1.8,1.3,2016-01-11,1715,Aqua,MODIS,76,6.2,294.9,27.9,D,0
6.2614,-61.0556,313.4,1.8,1.3,2016-01-11,1715,Aqua,MODIS,10,6.2,296.7,11.4,D,0
