latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.2593,21.4207,302.1,1.3,1.1,2016-03-13,0919,Terra,MODIS,51,6.2,284.7,8.5,D,0
48.2177,20.6464,310.5,1.2,1.1,2016-03-14,1002,Terra,MODIS,70,6.2,284.4,16.3,D,0
46.3941,16.897,305.5,1,1,2016-03-14,1003,Terra,MODIS,61,6.2,282,8.9,D,0
47.4712,20.1158,301,1,1,2016-03-14,1147,Aqua,MODIS,42,6.2,287.5,4.5,D,0
46.5488,17.9268,310,1,1,2016-03-14,1147,Aqua,MODIS,69,6.2,286.7,10.4,D,0
47.62,22.1171,302.9,2.9,1.6,2016-03-17,1218,Aqua,MODIS,54,6.2,288.7,21.2,D,0
47.6213,22.1089,300.6,2.9,1.6,2016-03-17,1218,Aqua,MODIS,40,6.2,288.6,16.5,D,0
47.8414,22.3798,301.4,1,1,2016-03-18,0938,Terra,MODIS,46,6.2,285.5,5.2,D,0
46.132,18.1077,301.2,1.2,1.1,2016-03-18,0938,Terra,MODIS,45,6.2,285.2,6.3,D,0
48.0499,20.1645,309.3,1.1,1,2016-03-18,0938,Terra,MODIS,68,6.2,287.2,10.4,D,0
47.8461,22.4906,300.7,1.1,1,2016-03-20,0925,Terra,MODIS,40,6.2,287.9,3.7,D,0
48.2916,21.8322,300.1,1.2,1.1,2016-03-20,0925,Terra,MODIS,24,6.2,284.1,5.5,D,0
47.8443,22.5051,310.3,1.1,1,2016-03-20,0925,Terra,MODIS,70,6.2,287.6,10.7,D,0
47.8509,22.479,309.4,1.3,1.1,2016-03-20,1110,Aqua,MODIS,68,6.2,290.1,11.1,D,0
48.0404,21.9378,302,1.7,1.3,2016-03-21,1008,Terra,MODIS,47,6.2,288,8.7,D,0
48.043,21.9327,306.2,1.7,1.3,2016-03-21,1008,Terra,MODIS,55,6.2,288.1,13.2,D,0
47.9945,19.821,328.6,1.1,1.1,2016-03-21,1153,Aqua,MODIS,75,6.2,283.1,33.5,D,0
48.3383,20.6797,304,1,1,2016-03-25,0944,Terra,MODIS,58,6.2,286.9,6.2,D,0
46.6388,20.3803,303,1,1,2016-03-25,0944,Terra,MODIS,53,6.2,291,5.2,D,0
48.0952,21.3697,301.3,1,1,2016-03-25,0944,Terra,MODIS,46,6.2,287.3,3.9,D,0
46.2971,20.1909,307,1.1,1.1,2016-03-25,1128,Aqua,MODIS,65,6.2,289.7,8.4,D,0
48.2224,22.0397,302.5,1,1,2016-03-25,1129,Aqua,MODIS,45,6.2,290.6,3,D,0
48.2243,22.0529,303.8,1,1,2016-03-25,1129,Aqua,MODIS,50,6.2,290.8,4,D,0
46.9012,19.1332,300.3,3.8,1.8,2016-03-31,1045,Terra,MODIS,16,6.2,286.3,13.4,D,0
48.2285,20.2155,309.6,3.7,1.8,2016-04-02,1040,Aqua,MODIS,69,6.2,281.1,69.8,D,0
48.2204,20.2186,308.9,3.7,1.8,2016-04-02,1040,Aqua,MODIS,68,6.2,280.8,66.3,D,0
46.5468,18.7173,311.8,1.1,1.1,2016-04-03,0938,Terra,MODIS,40,6.2,298.9,6.5,D,0
47.2472,20.7825,306.5,1,1,2016-04-03,0938,Terra,MODIS,42,6.2,294.6,4.3,D,0
47.2362,20.8618,308.3,1,1,2016-04-03,0938,Terra,MODIS,60,6.2,293.2,5.7,D,0
46.545,18.7316,359.1,1.1,1.1,2016-04-03,0938,Terra,MODIS,99,6.2,301.7,91.9,D,0
46.5433,18.746,311.6,1.1,1,2016-04-03,0938,Terra,MODIS,47,6.2,298.3,6.6,D,0
48.3151,21.7411,313.3,1,1,2016-04-03,0938,Terra,MODIS,72,6.2,293.3,9.1,D,0
48.3132,21.7544,308.6,1,1,2016-04-03,0938,Terra,MODIS,65,6.2,294.8,5.5,D,0
48.0724,21.8183,311.8,1,1,2016-04-03,0938,Terra,MODIS,69,6.2,294.3,7,D,0
46.6142,17.4214,304.4,1.2,1.1,2016-04-03,0938,Terra,MODIS,0,6.2,291.6,4.7,D,0
47.2457,20.7683,317.5,1.2,1.1,2016-04-03,1123,Aqua,MODIS,72,6.2,296.7,13.7,D,0
47.2484,20.7831,310.6,1.2,1.1,2016-04-03,1123,Aqua,MODIS,44,6.2,296.1,7.3,D,0
48.5474,20.7936,306.6,1.1,1,2016-04-03,1123,Aqua,MODIS,60,6.2,293.2,5,D,0
48.2461,22.0185,317.2,1,1,2016-04-03,1123,Aqua,MODIS,76,6.2,297.4,11.1,D,0
48.1653,20.7502,325.2,1.1,1.1,2016-04-03,1123,Aqua,MODIS,82,6.2,292.9,24.4,D,0
48.1721,21.9652,313.3,1,1,2016-04-03,1123,Aqua,MODIS,53,6.2,299.6,6.4,D,0
48.4752,20.8587,304.8,1.1,1,2016-04-03,1123,Aqua,MODIS,47,6.2,293,4.1,D,0
48.5499,20.8082,306.1,1.1,1,2016-04-03,1123,Aqua,MODIS,58,6.2,294.4,4.6,D,0
47.2427,20.7761,322.5,1.2,1.1,2016-04-03,1123,Aqua,MODIS,78,6.2,297.1,18.6,D,0
47.1681,17.1909,303,1.6,1.3,2016-04-03,1123,Aqua,MODIS,33,6.2,287.6,8.2,D,0
48.181,21.9619,315.7,1,1,2016-04-03,1123,Aqua,MODIS,73,6.2,300,9,D,0
47.1488,18.2055,320.2,1.3,1.1,2016-04-04,1206,Aqua,MODIS,77,6.2,293.1,20.4,D,0
47.1505,18.2223,320.1,1.3,1.1,2016-04-04,1206,Aqua,MODIS,76,6.2,292.9,20,D,0
47.1515,18.2104,335.4,1.3,1.1,2016-04-04,1206,Aqua,MODIS,88,6.2,293.5,45,D,0
47.0125,20.7152,308,1.2,1.1,2016-04-05,0926,Terra,MODIS,55,6.2,296.1,5.8,D,0
47.8106,22.524,345.3,1.1,1,2016-04-05,0926,Terra,MODIS,93,6.2,299.4,53.6,D,0
47.8124,22.5096,326.5,1.1,1,2016-04-05,0926,Terra,MODIS,82,6.2,298.6,21.1,D,0
47.0107,20.7313,311.1,1.2,1.1,2016-04-05,0926,Terra,MODIS,64,6.2,297.2,8.6,D,0
47.8128,22.5066,319.3,1.3,1.1,2016-04-05,1110,Aqua,MODIS,75,6.2,299.5,14.6,D,0
47.8158,22.5229,327.6,1.3,1.1,2016-04-05,1110,Aqua,MODIS,83,6.2,300.6,27.7,D,0
48.2966,20.6008,319.8,1.5,1.2,2016-04-05,1111,Aqua,MODIS,75,6.2,298.1,23.7,D,0
