latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.4899,127.6385,309.9,1.1,1,2016-01-01,0207,Terra,MODIS,53,6.2,295.6,6.3,D,2
0.2795,116.9362,316.6,3.3,1.7,2016-01-01,0208,Terra,MODIS,59,6.2,291.5,39.6,D,0
-3.9278,119.793,314.9,1.7,1.3,2016-01-01,0209,Terra,MODIS,32,6.2,294.4,14.6,D,0
-8.2051,127.7246,314.8,1.4,1.2,2016-01-01,0210,Terra,MODIS,0,6.2,299.3,14.4,D,0
-8.1677,127.8833,317.2,1.5,1.2,2016-01-01,0210,Terra,MODIS,48,6.2,299.7,16,D,0
-3.0628,105.2622,312.2,1.8,1.3,2016-01-01,0347,Terra,MODIS,60,6.2,292.5,14.4,D,0
-3.0649,105.278,312.5,1.8,1.3,2016-01-01,0347,Terra,MODIS,61,6.2,292.9,15.3,D,0
-3.4799,104.969,314.5,1.7,1.3,2016-01-01,0348,Terra,MODIS,38,6.2,294.1,14.6,D,0
-7.908,138.3995,333.5,3.4,1.7,2016-01-01,0501,Aqua,MODIS,85,6.2,292.3,144.1,D,0
-7.8825,138.6555,357.9,3.6,1.8,2016-01-01,0501,Aqua,MODIS,93,6.2,292.5,465.8,D,0
-7.2438,139.2168,311,4.1,1.9,2016-01-01,0501,Aqua,MODIS,18,6.2,289.2,41.2,D,0
-7.6489,138.3988,321.3,3.5,1.8,2016-01-01,0501,Aqua,MODIS,43,6.2,291.2,71.9,D,0
-7.973,138.167,331.5,3.3,1.7,2016-01-01,0501,Aqua,MODIS,84,6.2,294.2,121.6,D,0
-8.2247,138.132,338.9,3.2,1.7,2016-01-01,0501,Aqua,MODIS,89,6.2,293.8,181.1,D,0
-8.2272,138.1105,327.9,3.2,1.7,2016-01-01,0501,Aqua,MODIS,70,6.2,293.9,95.5,D,0
-7.6983,139.2584,319,4.1,1.9,2016-01-01,0501,Aqua,MODIS,65,6.2,290.4,81.3,D,0
-7.693,139.2497,318.2,4.1,1.9,2016-01-01,0501,Aqua,MODIS,52,6.2,290.5,69.8,D,0
-8.2173,138.1686,320.8,3.3,1.7,2016-01-01,0501,Aqua,MODIS,31,6.2,293.5,50.4,D,0
-7.8666,138.6528,343.8,3.6,1.8,2016-01-01,0501,Aqua,MODIS,92,6.2,292.5,274.1,D,0
-7.8737,138.6591,368.5,3.6,1.8,2016-01-01,0501,Aqua,MODIS,94,6.2,292.1,662.9,D,0
-7.9834,138.1993,335.9,3.3,1.7,2016-01-01,0501,Aqua,MODIS,87,6.2,290.9,159.1,D,0
-7.8896,138.6618,350.5,3.6,1.8,2016-01-01,0501,Aqua,MODIS,90,6.2,291.1,351.6,D,0
-8.1233,138.2003,321.5,3.3,1.7,2016-01-01,0501,Aqua,MODIS,74,6.2,294.7,69.3,D,0
-7.649,138.3744,320.5,3.5,1.8,2016-01-01,0501,Aqua,MODIS,49,6.2,293.2,66.2,D,0
-8.1184,138.2043,321.2,3.3,1.7,2016-01-01,0501,Aqua,MODIS,74,6.2,295.8,68.5,D,0
-7.1784,139.0933,313.7,4,1.9,2016-01-01,0501,Aqua,MODIS,45,6.2,292.4,45.5,D,0
-8.2306,123.6405,320.8,2,1.4,2016-01-01,0502,Aqua,MODIS,0,6.2,299.8,39.5,D,2
-8.3907,123.1,312.8,2.2,1.4,2016-01-01,0502,Aqua,MODIS,0,6.2,298.2,26.7,D,0
-4.4026,135.5502,314.2,2.4,1.5,2016-01-01,0502,Aqua,MODIS,61,6.2,295.1,18.8,D,0
-4.4065,135.5434,313.5,2.4,1.5,2016-01-01,0502,Aqua,MODIS,58,6.2,295.3,18.4,D,0
-8.8374,121.657,312.1,2.9,1.6,2016-01-01,0502,Aqua,MODIS,0,6.2,298.3,32.8,D,0
-8.3799,123.2793,320.6,2.2,1.4,2016-01-01,0502,Aqua,MODIS,0,6.2,303.1,36.7,D,0
-2.2038,132.4567,326.1,1.5,1.2,2016-01-01,0503,Aqua,MODIS,67,6.2,296.7,29.7,D,0
-3.2392,128.3241,322.9,1,1,2016-01-01,0503,Aqua,MODIS,32,6.2,295.3,11,D,0
-3.5454,128.6292,333.2,1,1,2016-01-01,0503,Aqua,MODIS,85,6.2,300.9,21.1,D,0
-2.2018,132.4701,329.6,1.5,1.2,2016-01-01,0503,Aqua,MODIS,60,6.2,296.4,37,D,0
-3.5364,128.6279,326.7,1,1,2016-01-01,0503,Aqua,MODIS,59,6.2,299.8,11.9,D,0
-3.5799,128.6433,328.2,1,1,2016-01-01,0503,Aqua,MODIS,41,6.2,302.6,13.1,D,0
-3.5415,128.656,319.1,1,1,2016-01-01,0503,Aqua,MODIS,52,6.2,300.5,6.5,D,0
-3.4425,128.5179,315,1,1,2016-01-01,0503,Aqua,MODIS,45,6.2,299.1,5.8,D,0
-2.8591,128.9255,316.3,1,1,2016-01-01,0503,Aqua,MODIS,36,6.2,295.2,6.1,D,0
-3.0848,128.0528,315.2,1,1,2016-01-01,0503,Aqua,MODIS,32,6.2,293.5,6.6,D,0
-3.5939,128.5453,317.6,1,1,2016-01-01,0503,Aqua,MODIS,50,6.2,298.8,5.9,D,0
-3.5358,126.1716,317,1.2,1.1,2016-01-01,0503,Aqua,MODIS,44,6.2,297.2,6,D,0
-2.1399,132.3657,320.1,1.5,1.2,2016-01-01,0503,Aqua,MODIS,56,6.2,298.3,16.7,D,0
0.5304,121.6874,315.9,2.1,1.4,2016-01-01,0504,Aqua,MODIS,0,6.2,296.3,20.1,D,0
-1.4031,121.1494,314.7,2.5,1.5,2016-01-01,0504,Aqua,MODIS,39,6.2,292.5,26,D,0
-3.2796,105.1495,324,1.1,1,2016-01-01,0642,Aqua,MODIS,32,6.2,302.5,11.2,D,0
-3.6433,104.2881,317.7,1,1,2016-01-01,0642,Aqua,MODIS,67,6.2,294.5,8.5,D,0
-7.9625,138.4869,333.5,3,1.6,2016-01-01,1249,Terra,MODIS,100,6.2,294.7,151.7,N,0
-7.9592,138.5134,338.2,2.9,1.6,2016-01-01,1249,Terra,MODIS,100,6.2,295.4,185.5,N,0
-7.9739,138.5153,313.7,2.9,1.6,2016-01-01,1249,Terra,MODIS,47,6.2,293.6,49.2,N,0
-7.9404,138.5326,310.9,2.9,1.6,2016-01-01,1249,Terra,MODIS,56,6.2,294,40.6,N,0
-7.962,138.4816,323.6,3,1.6,2016-01-01,1249,Terra,MODIS,100,6.2,294.4,90.9,N,0
-7.9585,138.5081,336,2.9,1.6,2016-01-01,1249,Terra,MODIS,100,6.2,295.4,166.6,N,0
-7.955,138.5344,317,2.9,1.6,2016-01-01,1249,Terra,MODIS,63,6.2,294.6,59.4,N,0
-7.9364,138.4565,311.7,3,1.6,2016-01-01,1249,Terra,MODIS,83,6.2,293.8,46,N,0
-7.936,138.4513,314.6,3,1.6,2016-01-01,1249,Terra,MODIS,90,6.2,293.9,57.3,N,0
-7.919,138.5831,306.3,2.9,1.6,2016-01-01,1249,Terra,MODIS,67,6.2,293.4,30.2,N,0
-7.9446,138.5116,314.3,2.9,1.6,2016-01-01,1249,Terra,MODIS,77,6.2,294.2,52.5,N,0
-7.9438,138.5062,308.7,2.9,1.6,2016-01-01,1249,Terra,MODIS,47,6.2,294.1,33.5,N,0
0.2919,116.9573,342.6,1.3,1.1,2016-01-01,1430,Terra,MODIS,100,6.2,293.2,65.7,N,0
