latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.501,5.9633,310.7,1.5,1.2,2016-02-29,2100,Terra,MODIS,81,6.2,270,29.6,N,0
49.5083,5.957,301.7,1,1,2016-03-08,1039,Terra,MODIS,49,6.2,275.8,7.7,D,0
49.5056,5.9627,303.6,1,1,2016-03-09,0157,Aqua,MODIS,56,6.2,270.1,12,N,0
49.5226,5.9049,301.1,1,1,2016-04-07,1051,Terra,MODIS,45,6.2,287.2,5.6,D,0
49.5076,5.9561,306.4,1.2,1.1,2016-04-18,2143,Terra,MODIS,68,6.2,276,15.5,N,0
49.502,5.9523,320.3,1,1,2016-05-02,1046,Terra,MODIS,80,6.2,298,15.4,D,0
49.5,5.9658,320.4,1,1,2016-05-02,1046,Terra,MODIS,80,6.2,296.7,15.4,D,0
49.5249,5.9183,304,1.7,1.3,2016-05-05,1116,Terra,MODIS,28,6.2,293.7,9.5,D,0
49.5026,5.955,312.4,2.1,1.4,2016-05-08,1154,Aqua,MODIS,62,6.2,301.1,21.6,D,0
49.5203,5.9052,313.5,1.2,1.1,2016-05-13,1028,Terra,MODIS,26,6.2,299.6,9.9,D,0
49.5053,5.969,301.7,1,1,2016-05-28,0157,Aqua,MODIS,43,6.2,283.5,7.9,N,0
49.5227,5.9058,311.1,1.7,1.3,2016-06-06,1117,Terra,MODIS,37,6.2,298,13.1,D,0
49.52,5.8923,307.3,1,1,2016-06-10,1052,Terra,MODIS,57,6.2,294.4,5.8,D,0
49.5177,5.9063,306.4,1,1,2016-06-10,1052,Terra,MODIS,41,6.2,293.7,4.7,D,0
49.5256,5.9022,304.2,2.1,1.4,2016-06-22,2049,Terra,MODIS,59,6.2,288.7,20.7,N,0
49.526,5.9048,317.7,1,1,2016-06-23,2132,Terra,MODIS,96,6.2,293.5,15.6,N,0
49.5262,5.9008,300.5,1.1,1,2016-06-30,2138,Terra,MODIS,29,6.2,286.5,6.2,N,0
49.5018,5.9593,324.3,1.1,1,2016-07-07,1034,Terra,MODIS,80,6.2,305.6,17.2,D,0
49.4996,5.9533,315.7,1.5,1.2,2016-07-09,1206,Aqua,MODIS,38,6.2,298.1,15.7,D,0
49.5258,5.909,317.4,1.1,1.1,2016-07-19,1058,Terra,MODIS,49,6.2,305.5,9.3,D,0
49.4974,5.9522,325.9,1.1,1,2016-07-19,1242,Aqua,MODIS,68,6.2,312.7,13.6,D,0
49.5213,5.9014,310.8,1,1,2016-08-06,1230,Aqua,MODIS,0,6.2,286.9,7.3,D,0
49.5013,5.9551,301.2,1.3,1.1,2016-08-14,2107,Terra,MODIS,39,6.2,289,7.4,N,0
49.4993,5.9553,315.6,1,1,2016-08-22,1230,Aqua,MODIS,47,6.2,298.3,9.3,D,0
49.5107,5.9672,306.9,1.7,1.3,2016-08-28,0221,Aqua,MODIS,70,6.2,288.8,19.2,N,0
49.5011,5.9532,312.8,1.1,1,2016-09-09,1033,Terra,MODIS,61,6.2,301.5,7.6,D,0
49.5237,5.908,304.4,1,1,2016-09-10,0150,Aqua,MODIS,60,6.2,284,8.7,N,0
49.5205,5.9107,309.7,1.1,1.1,2016-09-21,1058,Terra,MODIS,65,6.2,289.9,9.6,D,0
49.5059,5.9662,307,1,1,2016-09-26,0150,Aqua,MODIS,70,6.2,283.2,10.8,N,0
49.5204,5.9039,307.8,2.1,1.4,2016-09-29,1153,Aqua,MODIS,60,6.2,293.3,17.9,D,0
49.524,5.9107,302.8,1.4,1.2,2016-10-16,0126,Aqua,MODIS,51,6.2,277,16.1,N,0
49.5056,5.9613,303.9,1,1,2016-10-16,1052,Terra,MODIS,57,6.2,289.6,6.1,D,0
49.4996,5.9596,302.8,1,1,2016-10-16,1236,Aqua,MODIS,54,6.2,291.7,5.1,D,0
49.5087,5.9546,301.6,1.3,1.1,2016-10-30,1104,Terra,MODIS,48,6.2,285.7,8.3,D,0
49.5071,5.9595,308.5,1.1,1,2016-10-31,2119,Terra,MODIS,75,6.2,274.7,14.2,N,0
