latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-20.4358,57.6816,312.2,2,1.4,2016-01-28,0652,Terra,MODIS,37,6.2,297.1,20.9,D,0
-20.1957,57.4138,315.2,1.3,1.1,2016-04-08,0944,Aqua,MODIS,0,6.2,298,11,D,0
-20.1918,57.4208,313.6,1,1,2016-04-21,0627,Terra,MODIS,44,6.2,299.7,5.1,D,0
-20.194,57.4391,316.4,1.3,1.1,2016-04-24,0944,Aqua,MODIS,30,6.2,301.7,12.7,D,0
-20.151,57.5404,325.9,1.1,1,2016-06-02,0949,Aqua,MODIS,79,6.2,299.1,21.7,D,0
-20.1524,57.5296,316.8,1.1,1,2016-06-02,0949,Aqua,MODIS,64,6.2,299.7,10.6,D,0
-20.2649,57.4182,310.4,1.3,1.1,2016-06-11,0943,Aqua,MODIS,31,6.2,297.2,8,D,0
-20.0538,57.5678,324.8,1,1,2016-07-11,0955,Aqua,MODIS,78,6.2,296.8,16,D,0
-20.0732,57.5611,320.5,1,1,2016-07-11,0955,Aqua,MODIS,37,6.2,301,11.8,D,0
-20.1819,57.4393,311.3,1.7,1.3,2016-07-22,0936,Aqua,MODIS,0,6.2,296.1,12.6,D,0
-20.2437,57.4395,313.7,1.4,1.2,2016-08-01,1013,Aqua,MODIS,29,6.2,299.4,9.2,D,0
-20.2557,57.4554,319.1,1,1,2016-08-02,0633,Terra,MODIS,53,6.2,295.5,12.8,D,0
-20.2479,57.4526,332.6,1,1,2016-08-02,0633,Terra,MODIS,74,6.2,298.3,28.2,D,0
-20.2061,57.4229,316.6,1,1,2016-08-19,1001,Aqua,MODIS,60,6.2,299.2,6.9,D,0
-20.2047,57.4326,317.4,1,1,2016-08-19,1001,Aqua,MODIS,55,6.2,299.5,7.3,D,0
-20.5047,57.4842,311.6,1.1,1.1,2016-08-21,0948,Aqua,MODIS,0,6.2,298.9,6.8,D,0
-20.2173,57.4368,310.6,1.3,1.1,2016-08-29,0615,Terra,MODIS,41,6.2,297.2,8.9,D,0
-20.2844,57.7479,328.8,1.2,1.1,2016-09-11,1007,Aqua,MODIS,82,6.2,300.2,27.2,D,0
-20.0394,57.5782,316.3,1.1,1,2016-09-21,0621,Terra,MODIS,65,6.2,299.4,6.4,D,0
-20.0661,57.6247,318.1,1.1,1,2016-09-22,0948,Aqua,MODIS,57,6.2,300.9,9.9,D,0
-20.092,57.6775,323.1,1,1,2016-10-31,0955,Aqua,MODIS,66,6.2,308,6.1,D,0
-20.3724,57.6552,336,1,1,2016-11-07,1001,Aqua,MODIS,82,6.2,298.9,32.6,D,0
-20.371,57.665,319.6,1,1,2016-11-07,1001,Aqua,MODIS,47,6.2,300,12.1,D,0
-20.3911,57.6053,328.4,1,1,2016-11-23,1001,Aqua,MODIS,81,6.2,303.7,17.9,D,0
