latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.066,99.0611,314.2,1.1,1,2016-01-01,0646,Aqua,MODIS,64,6.2,300.6,6.4,D,0
16.52,96.4347,326.8,1.2,1.1,2016-01-01,0647,Aqua,MODIS,78,6.2,305.8,18.3,D,0
16.5181,96.4232,320.5,1.2,1.1,2016-01-01,0647,Aqua,MODIS,70,6.2,305.6,8.9,D,0
16.5392,97.7925,327.2,1.1,1,2016-01-01,0647,Aqua,MODIS,80,6.2,309.1,15.6,D,0
16.5484,97.7909,330.8,1.1,1,2016-01-01,0647,Aqua,MODIS,83,6.2,306.6,19.8,D,0
16.596,97.7932,328.8,1.1,1,2016-01-01,0647,Aqua,MODIS,82,6.2,306.2,17.3,D,0
16.6082,97.8115,320.7,1.1,1,2016-01-01,0647,Aqua,MODIS,53,6.2,305.5,8,D,0
16.6067,97.8016,331.8,1.1,1,2016-01-01,0647,Aqua,MODIS,84,6.2,308.1,22,D,0
16.2286,95.7807,313.7,1.4,1.2,2016-01-01,0647,Aqua,MODIS,56,6.2,301.8,8.8,D,0
14.6292,97.9058,318.6,1.1,1,2016-01-01,0647,Aqua,MODIS,56,6.2,304.3,10.2,D,0
16.5552,96.5918,321.6,1.2,1.1,2016-01-01,0647,Aqua,MODIS,72,6.2,305.1,10.8,D,0
16.6263,97.8693,318.9,1.1,1,2016-01-01,0647,Aqua,MODIS,61,6.2,302.2,9,D,0
16.4058,97.7553,325.3,1.1,1,2016-01-01,0647,Aqua,MODIS,79,6.2,304.2,15.3,D,0
16.7872,95.2488,313.6,1.5,1.2,2016-01-01,0648,Aqua,MODIS,47,6.2,299.5,7.4,D,0
16.8503,95.0776,312.8,1.5,1.2,2016-01-01,0648,Aqua,MODIS,47,6.2,298.8,8.5,D,0
17.5914,95.7599,321.3,1.3,1.1,2016-01-01,0648,Aqua,MODIS,69,6.2,302.5,14.6,D,0
17.5894,95.7477,320.1,1.3,1.1,2016-01-01,0648,Aqua,MODIS,63,6.2,301.8,13.6,D,0
18.5439,95.4954,324.7,1.3,1.1,2016-01-01,0648,Aqua,MODIS,79,6.2,303.4,19.4,D,0
16.8455,95.0697,315.7,1.5,1.2,2016-01-01,0648,Aqua,MODIS,60,6.2,299.4,12.7,D,0
17.3734,95.811,317.7,1.3,1.1,2016-01-01,0648,Aqua,MODIS,62,6.2,302.8,11.9,D,0
18.5438,95.5585,318.8,1.3,1.1,2016-01-01,0648,Aqua,MODIS,73,6.2,303.3,9.2,D,0
19.8763,95.0439,316.9,1.3,1.1,2016-01-01,0648,Aqua,MODIS,69,6.2,299.7,10.6,D,0
19.0936,96.419,319.1,1.2,1.1,2016-01-01,0648,Aqua,MODIS,70,6.2,302.6,9.8,D,0
19.0919,96.4082,316.2,1.2,1.1,2016-01-01,0648,Aqua,MODIS,70,6.2,302.1,6.8,D,0
22.8404,96.76,308.9,1,1,2016-01-01,0649,Aqua,MODIS,46,6.2,292.6,7.2,D,0
22.3453,96.1116,325,1.1,1,2016-01-01,0649,Aqua,MODIS,79,6.2,300,18.3,D,0
25.5793,97.3461,310.8,1.1,1,2016-01-02,0423,Terra,MODIS,70,6.2,295.8,8.3,D,0
26.5023,95.1358,304.3,1,1,2016-01-02,0423,Terra,MODIS,59,6.2,290,7.6,D,0
26.5009,95.1456,309.5,1,1,2016-01-02,0423,Terra,MODIS,69,6.2,290.7,11.4,D,0
23.4846,96.1492,306.4,1,1,2016-01-02,0424,Terra,MODIS,48,6.2,295.5,4.5,D,0
23.3786,94.0497,307.6,1,1,2016-01-02,0424,Terra,MODIS,57,6.2,294.6,4.2,D,0
23.4831,96.1591,307.3,1,1,2016-01-02,0424,Terra,MODIS,58,6.2,295.9,5,D,0
23.1488,93.9838,307.1,1,1,2016-01-02,0424,Terra,MODIS,56,6.2,295.7,4.5,D,0
20.6963,94.9448,315.1,1,1,2016-01-02,0424,Terra,MODIS,56,6.2,301.8,5.7,D,0
18.716,95.4106,314.6,1,1,2016-01-02,0425,Terra,MODIS,68,6.2,299.7,6.4,D,0
18.4183,95.2426,317.1,1,1,2016-01-02,0425,Terra,MODIS,65,6.2,302.9,6.3,D,0
16.803,94.8849,319.1,1,1,2016-01-02,0425,Terra,MODIS,72,6.2,300.4,10.8,D,0
16.6715,96.6837,318.2,1.3,1.1,2016-01-02,0425,Terra,MODIS,54,6.2,299.7,9.1,D,0
