latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
12.5313,-87.0405,300.4,1,1,2016-01-01,0729,Aqua,MODIS,27,6.2,290.1,3.8,N,0
12.522,-87.0394,315.3,1,1,2016-01-01,0729,Aqua,MODIS,91,6.2,290.1,13.7,N,0
12.7133,-87.1776,316.6,2.4,1.5,2016-01-01,1654,Terra,MODIS,56,6.2,301,21.5,D,0
12.7121,-87.1949,322.3,2.4,1.5,2016-01-01,1654,Terra,MODIS,77,6.2,301.7,37.1,D,0
12.7171,-87.1995,319,2.4,1.5,2016-01-01,1654,Terra,MODIS,70,6.2,301.9,30.7,D,0
12.4972,-86.3757,323.6,1.2,1.1,2016-01-02,1902,Aqua,MODIS,51,6.2,304.6,13.1,D,0
13.7649,-83.986,313.7,1,1,2016-01-02,1902,Aqua,MODIS,67,6.2,300.1,6.2,D,0
12.5493,-87.028,324.5,1.3,1.1,2016-01-02,1902,Aqua,MODIS,74,6.2,306.6,16.4,D,0
12.2229,-85.9132,317.8,1.2,1.1,2016-01-02,1902,Aqua,MODIS,54,6.2,302.9,9.7,D,0
12.5256,-87.0451,308.4,1.3,1.1,2016-01-03,0716,Aqua,MODIS,74,6.2,292.7,13.4,N,0
12.6032,-87.0971,320,1.5,1.2,2016-01-03,1642,Terra,MODIS,55,6.2,303.8,13,D,0
12.1183,-86.2688,318.3,1.7,1.3,2016-01-03,1642,Terra,MODIS,48,6.2,299.6,14.8,D,0
12.5993,-87.1035,324.3,1.5,1.2,2016-01-03,1642,Terra,MODIS,77,6.2,303.4,22.7,D,0
12.6054,-87.1102,319.6,1.5,1.2,2016-01-03,1642,Terra,MODIS,29,6.2,303.8,11.9,D,0
12.0637,-86.5822,342.5,1.1,1,2016-01-05,0415,Terra,MODIS,100,6.2,296.2,49,N,0
12.0624,-86.5918,324.8,1.1,1,2016-01-05,0415,Terra,MODIS,100,6.2,295.4,21.7,N,0
12.493,-87.0041,304,1,1,2016-01-05,0415,Terra,MODIS,58,6.2,293.4,4.9,N,0
12.5508,-87.1135,322.9,1,1,2016-01-05,1630,Terra,MODIS,49,6.2,304.2,11.2,D,0
11.9409,-85.3895,337.8,1.2,1.1,2016-01-05,1630,Terra,MODIS,89,6.2,299.2,41.9,D,0
12.6865,-87.2798,328.5,1,1,2016-01-05,1630,Terra,MODIS,78,6.2,303.9,18.4,D,0
12.6851,-87.2705,391.1,1,1,2016-01-05,1630,Terra,MODIS,100,6.2,309,200.6,D,0
12.7207,-86.8377,313.4,1,1,2016-01-05,1630,Terra,MODIS,43,6.2,299.6,5.3,D,0
12.8609,-86.1378,323.6,1.7,1.3,2016-01-05,1932,Aqua,MODIS,76,6.2,299,27.9,D,0
11.7816,-86.0387,308.9,1,1,2016-01-07,0403,Terra,MODIS,75,6.2,293.8,7.5,N,0
13.7373,-83.8131,317.1,1,1,2016-01-07,1617,Terra,MODIS,73,6.2,297.8,10.9,D,0
