latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.6219,-82.427,317.7,1,1,2016-01-02,1600,Terra,MODIS,70,6.2,303,8.6,D,0
8.1013,-80.9486,327.3,1.1,1,2016-01-02,1900,Aqua,MODIS,77,6.2,303,15.3,D,0
7.8246,-80.9906,317.6,1.2,1.1,2016-01-04,1548,Terra,MODIS,63,6.2,298,10.4,D,0
9.3426,-79.8859,319.4,1,1,2016-01-04,1848,Aqua,MODIS,33,6.2,300.7,9.2,D,0
8.457,-82.2748,319.6,1.2,1.1,2016-01-04,1848,Aqua,MODIS,61,6.2,298.9,12.5,D,0
8.5165,-81.3795,304.9,1,1,2016-01-05,0705,Aqua,MODIS,62,6.2,291.7,6,N,0
7.9931,-81.487,313.9,1.6,1.2,2016-01-07,1618,Terra,MODIS,61,6.2,296.1,13.8,D,0
8.4882,-80.1336,318.3,1,1,2016-01-11,1554,Terra,MODIS,73,6.2,304,7.8,D,0
8.4895,-80.1426,316.6,1,1,2016-01-11,1554,Terra,MODIS,67,6.2,304.5,6.8,D,0
8.1356,-80.6227,322,1,1,2016-01-11,1554,Terra,MODIS,73,6.2,303.1,10.4,D,0
8.412,-80.2943,321.3,1,1,2016-01-11,1854,Aqua,MODIS,69,6.2,304.4,7.5,D,0
8.5802,-80.6645,320.1,1,1,2016-01-11,1854,Aqua,MODIS,73,6.2,296,12.8,D,0
8.6427,-78.1421,316.9,1,1,2016-01-13,1842,Aqua,MODIS,58,6.2,301.3,6.6,D,0
8.4692,-80.1338,319.7,1.1,1.1,2016-01-13,1842,Aqua,MODIS,72,6.2,300,10,D,0
7.8161,-81.4015,322.1,1.4,1.2,2016-01-13,1842,Aqua,MODIS,72,6.2,296.6,23.5,D,0
7.8141,-81.4144,328,1.4,1.2,2016-01-13,1842,Aqua,MODIS,80,6.2,296.1,33.6,D,0
8.1813,-80.9154,301.7,3.6,1.8,2016-01-15,0313,Terra,MODIS,44,6.2,291,25.7,N,0
8.1564,-81.1665,317.8,1.3,1.1,2016-01-16,1612,Terra,MODIS,56,6.2,300.8,9.9,D,0
8.1565,-81.1726,318.1,1.3,1.1,2016-01-16,1612,Terra,MODIS,65,6.2,300.6,10.4,D,0
8.7741,-78.4314,314.7,2,1.4,2016-01-16,1612,Terra,MODIS,59,6.2,296.6,22.5,D,0
8.1939,-80.8881,305.2,1.1,1,2016-01-18,0343,Terra,MODIS,55,6.2,293.2,5.9,N,0
8.3814,-80.4798,339.3,1,1,2016-01-18,0343,Terra,MODIS,100,6.2,295.8,42,N,0
8.1925,-80.8976,310.7,1.1,1,2016-01-18,0343,Terra,MODIS,81,6.2,292.9,10.3,N,0
8.3828,-80.4706,308.8,1,1,2016-01-18,0343,Terra,MODIS,74,6.2,294.9,6.8,N,0
8.3905,-80.4812,305,1,1,2016-01-18,0343,Terra,MODIS,60,6.2,294.9,4.2,N,0
8.3034,-80.5015,300.5,2.4,1.5,2016-01-18,0635,Aqua,MODIS,26,6.2,288.7,12.3,N,0
8.3023,-80.5186,316.8,2.4,1.5,2016-01-18,0635,Aqua,MODIS,94,6.2,289.3,54.4,N,0
8.3063,-80.5231,314.2,2.4,1.5,2016-01-18,0635,Aqua,MODIS,89,6.2,288.8,46.6,N,0
8.4263,-78.0131,321.9,1.3,1.1,2016-01-18,1600,Terra,MODIS,73,6.2,296.4,21.9,D,0
8.4281,-78.0246,313.3,1.3,1.1,2016-01-18,1600,Terra,MODIS,57,6.2,295.7,11,D,0
7.7435,-80.5511,325.6,1.1,1,2016-01-18,1900,Aqua,MODIS,75,6.2,302.8,14.7,D,0
7.7421,-80.561,320.7,1.1,1,2016-01-18,1900,Aqua,MODIS,67,6.2,301.8,8.8,D,0
7.8091,-81.0101,320.6,1.1,1,2016-01-18,1900,Aqua,MODIS,66,6.2,300.3,12,D,0
8.4466,-82.3024,322,1,1,2016-01-18,1901,Aqua,MODIS,67,6.2,307.6,7.9,D,0
8.3061,-80.5246,305.9,1.4,1.2,2016-01-19,0717,Aqua,MODIS,66,6.2,294.6,8.4,N,0
8.3002,-80.5193,305.3,1.4,1.2,2016-01-19,0717,Aqua,MODIS,64,6.2,294.7,8.3,N,0
9.0684,-79.156,314.5,1,1,2016-01-20,1548,Terra,MODIS,65,6.2,298,7.4,D,0
8.7648,-77.9016,327.9,1,1,2016-01-20,1548,Terra,MODIS,82,6.2,299.3,19.5,D,0
8.7738,-77.9003,330.1,1,1,2016-01-20,1548,Terra,MODIS,84,6.2,300.7,22.7,D,0
8.3974,-82.3534,317.8,1.5,1.2,2016-01-20,1548,Terra,MODIS,60,6.2,302.1,10.8,D,0
8.7732,-77.9092,324.5,1.1,1,2016-01-20,1848,Aqua,MODIS,71,6.2,300.4,16.8,D,0
8.7745,-77.8995,320.2,1.1,1,2016-01-20,1848,Aqua,MODIS,46,6.2,299.5,11.4,D,0
8.3228,-80.2421,314.6,1,1,2016-01-20,1848,Aqua,MODIS,51,6.2,293.6,5.8,D,0
8.7639,-77.9079,323.3,1.1,1,2016-01-20,1848,Aqua,MODIS,62,6.2,299.9,15.2,D,0
9.0653,-79.168,316.9,1.5,1.2,2016-01-22,1535,Terra,MODIS,61,6.2,298.2,13.6,D,0
9.3394,-79.8861,317.3,1.3,1.1,2016-01-22,1836,Aqua,MODIS,63,6.2,301.3,13.5,D,0
8.7051,-79.8147,313.9,1.3,1.1,2016-01-22,1836,Aqua,MODIS,32,6.2,300.5,6.4,D,0
8.3765,-80.4917,302.6,1.4,1.2,2016-01-23,0401,Terra,MODIS,50,6.2,280.9,9,N,0
8.3703,-80.4845,315.4,1.4,1.2,2016-01-23,0401,Terra,MODIS,91,6.2,281.9,21.9,N,0
8.3781,-80.4793,301.6,1.4,1.2,2016-01-23,0401,Terra,MODIS,42,6.2,281.1,8.2,N,0
8.3485,-80.4827,316.9,2.3,1.5,2016-01-23,1919,Aqua,MODIS,29,6.2,298.4,17.9,D,0
8.3514,-80.4758,322.1,2.3,1.5,2016-01-23,1919,Aqua,MODIS,65,6.2,298.1,34.4,D,0
8.6638,-82.4468,312.9,3.6,1.8,2016-01-24,1824,Aqua,MODIS,62,6.2,293.4,43.8,D,0
8.3401,-82.8226,321.7,3.8,1.8,2016-01-24,1824,Aqua,MODIS,74,6.2,291.9,96.4,D,0
8.3807,-80.4685,327.6,1.8,1.3,2016-01-25,0641,Aqua,MODIS,100,6.2,282.3,65.7,N,0
