latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-6.6931,-79.7086,325.2,2.1,1.4,2016-01-01,1521,Terra,MODIS,42,6.2,297.4,21.4,D,0
-6.697,-79.6971,327.1,2,1.4,2016-01-01,1521,Terra,MODIS,68,6.2,296.8,27.3,D,0
-7.4093,-76.2449,307.3,2.9,1.6,2016-01-01,1813,Aqua,MODIS,63,6.2,288.8,26.1,D,0
-4.8503,-80.8251,326.1,1.3,1.1,2016-01-02,1603,Terra,MODIS,47,6.2,301.9,12.7,D,0
-8.9978,-78.5696,317.6,2.2,1.4,2016-01-02,1605,Terra,MODIS,42,6.2,300,25.1,D,0
-13.4427,-73.0051,324.4,1.7,1.3,2016-01-02,1854,Aqua,MODIS,61,6.2,304.2,29.4,D,0
-13.4406,-72.9926,343.7,1.7,1.3,2016-01-02,1854,Aqua,MODIS,91,6.2,301.8,90.2,D,0
-10.6868,-77.5891,333.3,1,1,2016-01-02,1855,Aqua,MODIS,75,6.2,306.6,16.7,D,0
-7.8869,-79.2933,319.9,1,1,2016-01-02,1856,Aqua,MODIS,43,6.2,300.9,6.8,D,0
-7.9602,-79.231,318.9,1,1,2016-01-02,1856,Aqua,MODIS,33,6.2,299.9,6.4,D,0
-9.1403,-78.2173,337.1,1,1,2016-01-02,1856,Aqua,MODIS,81,6.2,307.4,20.7,D,0
-6.7982,-74.9263,332.5,1.6,1.2,2016-01-02,1856,Aqua,MODIS,74,6.2,294.4,46.3,D,0
-6.068,-78.9344,318.7,1,1,2016-01-02,1856,Aqua,MODIS,43,6.2,300.7,7.9,D,0
-6.104,-79.1216,327.5,1,1,2016-01-02,1856,Aqua,MODIS,71,6.2,308.2,14.6,D,0
-6.2302,-79.1002,318.6,1,1,2016-01-02,1856,Aqua,MODIS,48,6.2,299.5,9.8,D,0
-6.8021,-74.9332,340.7,1.6,1.2,2016-01-02,1856,Aqua,MODIS,85,6.2,295,70.4,D,0
-6.0099,-78.8497,323.4,1,1,2016-01-02,1856,Aqua,MODIS,58,6.2,302.4,8.4,D,0
-5.9197,-78.7951,344.5,1,1,2016-01-02,1857,Aqua,MODIS,91,6.2,299.8,42.7,D,0
-5.8179,-78.6682,328,1,1,2016-01-02,1857,Aqua,MODIS,55,6.2,306.2,12.5,D,0
-5.0937,-78.9435,319.6,1,1,2016-01-02,1857,Aqua,MODIS,42,6.2,300,7.5,D,0
-5.8163,-78.5936,325.5,1,1,2016-01-02,1857,Aqua,MODIS,50,6.2,304.3,11.3,D,0
-9.7025,-76.5939,317.5,1.8,1.3,2016-01-03,1510,Terra,MODIS,36,6.2,292.1,24.6,D,0
-12.148,-76.1462,325.4,1.5,1.2,2016-01-03,1510,Terra,MODIS,73,6.2,307.7,22.3,D,0
-16.5648,-71.2995,308.8,1,1,2016-01-04,0324,Terra,MODIS,76,6.2,277.6,13.7,N,0
-6.8993,-79.5686,324.3,1.1,1,2016-01-04,1552,Terra,MODIS,57,6.2,298.6,10.3,D,0
-6.7729,-79.6748,325.3,1.1,1,2016-01-04,1552,Terra,MODIS,75,6.2,296.4,15.4,D,0
-6.8979,-79.5784,335.2,1.1,1,2016-01-04,1552,Terra,MODIS,85,6.2,300.2,25.7,D,0
-15.5661,-72.8831,328.5,1.1,1,2016-01-04,1841,Aqua,MODIS,63,6.2,309.4,9.3,D,0
-11.4285,-74.4722,321.7,1,1,2016-01-04,1843,Aqua,MODIS,69,6.2,301.3,8.2,D,0
-11.9542,-75.6346,323.8,1,1,2016-01-04,1843,Aqua,MODIS,71,6.2,303.4,14.9,D,0
-9.7346,-75.8058,312.4,1,1,2016-01-04,1843,Aqua,MODIS,58,6.2,297.1,7.2,D,0
-9.3031,-76.0013,320.9,1,1,2016-01-04,1843,Aqua,MODIS,28,6.2,302.8,10.9,D,0
-10.9235,-74.9231,326.4,1,1,2016-01-04,1843,Aqua,MODIS,81,6.2,301.2,15.1,D,0
-10.9338,-74.9308,317.1,1,1,2016-01-04,1843,Aqua,MODIS,66,6.2,301.2,6.1,D,0
-10.9324,-74.9217,327.7,1,1,2016-01-04,1843,Aqua,MODIS,82,6.2,301,16.9,D,0
-10.9258,-74.8758,321.2,1,1,2016-01-04,1843,Aqua,MODIS,43,6.2,303.9,8.8,D,0
-7.1004,-76.4951,319.8,1,1,2016-01-04,1844,Aqua,MODIS,55,6.2,298.4,6.3,D,0
-7.8082,-75.0838,316,1,1,2016-01-04,1844,Aqua,MODIS,62,6.2,293.3,7.9,D,0
-5.7183,-77.5102,315.7,1,1,2016-01-04,1844,Aqua,MODIS,62,6.2,298.8,7.5,D,0
-6.7767,-76.1572,337.8,1,1,2016-01-04,1844,Aqua,MODIS,89,6.2,297.7,32.8,D,0
-7.1633,-76.3508,327.1,1,1,2016-01-04,1844,Aqua,MODIS,81,6.2,298.7,14.7,D,0
-7.5768,-76.5417,314.1,1,1,2016-01-04,1844,Aqua,MODIS,60,6.2,296.3,6.8,D,0
-6.5557,-76.2905,318.8,1,1,2016-01-04,1844,Aqua,MODIS,25,6.2,296.7,8.5,D,0
-6.5518,-76.2636,332.9,1,1,2016-01-04,1844,Aqua,MODIS,86,6.2,297.7,25.1,D,0
-6.8023,-76.4005,329.7,1,1,2016-01-04,1844,Aqua,MODIS,83,6.2,300.6,19,D,0
-6.8552,-76.1309,328.1,1,1,2016-01-04,1844,Aqua,MODIS,82,6.2,297.6,18.2,D,0
-7.1364,-76.3547,322.7,1,1,2016-01-04,1844,Aqua,MODIS,74,6.2,298.3,11.6,D,0
-7.9227,-79.2428,319.3,1.3,1.1,2016-01-04,1844,Aqua,MODIS,55,6.2,296.2,13.9,D,0
-7.3936,-76.2259,316.7,1,1,2016-01-04,1844,Aqua,MODIS,69,6.2,294,9.4,D,0
-6.7537,-76.188,318.2,1,1,2016-01-04,1844,Aqua,MODIS,71,6.2,297.7,8.7,D,0
-6.9923,-76.1225,317.1,1,1,2016-01-04,1844,Aqua,MODIS,66,6.2,296,9.1,D,0
-6.9936,-76.1315,333.2,1,1,2016-01-04,1844,Aqua,MODIS,86,6.2,295.5,27.2,D,0
-6.6314,-76.4923,314.6,1,1,2016-01-04,1844,Aqua,MODIS,29,6.2,296,7.2,D,0
-7.8173,-75.0825,327.5,1,1,2016-01-04,1844,Aqua,MODIS,83,6.2,294.1,20.7,D,0
-7.8186,-75.0917,320.2,1,1,2016-01-04,1844,Aqua,MODIS,65,6.2,293.8,13.1,D,0
-6.8036,-76.4094,326.3,1,1,2016-01-04,1844,Aqua,MODIS,79,6.2,299.5,14.8,D,0
-7.5051,-76.3591,325.1,1,1,2016-01-04,1844,Aqua,MODIS,80,6.2,297,15.5,D,0
-6.8565,-76.1398,329,1,1,2016-01-04,1844,Aqua,MODIS,83,6.2,298.3,18.9,D,0
-11.1308,-77.1948,321.5,3.3,1.7,2016-01-05,1458,Terra,MODIS,57,6.2,298.7,32.3,D,0
-17.49,-71.3532,306.8,1.1,1,2016-01-06,0616,Aqua,MODIS,69,6.2,291.4,9.3,N,0
-6.5109,-76.4636,317.2,1.1,1,2016-01-06,1539,Terra,MODIS,74,6.2,296.5,7.1,D,0
-6.1428,-77.1012,313.3,1,1,2016-01-06,1539,Terra,MODIS,68,6.2,297,6.1,D,0
-6.0595,-77.168,314.8,1,1,2016-01-06,1539,Terra,MODIS,47,6.2,298,6.5,D,0
-8.5534,-78.684,333.9,1,1,2016-01-06,1540,Terra,MODIS,78,6.2,302.9,16.9,D,0
-6.9027,-79.5627,324.5,1,1,2016-01-06,1540,Terra,MODIS,60,6.2,298.8,9.1,D,0
-6.9013,-79.572,323.9,1,1,2016-01-06,1540,Terra,MODIS,46,6.2,298.8,7.6,D,0
-14.7184,-75.296,328.3,1.4,1.2,2016-01-06,1829,Aqua,MODIS,78,6.2,310.1,9.2,D,0
-11.5671,-74.3961,317.2,1.1,1.1,2016-01-06,1830,Aqua,MODIS,74,6.2,297.6,9.5,D,0
-11.742,-74.0484,313.5,1.1,1,2016-01-06,1830,Aqua,MODIS,68,6.2,296.9,6.6,D,0
-11.1252,-75.3624,317.2,1.3,1.1,2016-01-06,1830,Aqua,MODIS,46,6.2,300,10.8,D,0
-8.4901,-74.9738,319.5,1.1,1.1,2016-01-06,1831,Aqua,MODIS,75,6.2,295.4,12.4,D,0
-8.1936,-76.5217,312.3,1.4,1.2,2016-01-06,1831,Aqua,MODIS,45,6.2,292.5,8.2,D,0
-8.2628,-74.7316,324,1.1,1,2016-01-06,1831,Aqua,MODIS,80,6.2,292.1,18.7,D,0
-7.3538,-76.0445,311,1.3,1.1,2016-01-06,1831,Aqua,MODIS,59,6.2,293.5,9,D,0
-8.3826,-74.7531,313.1,1.1,1,2016-01-06,1831,Aqua,MODIS,65,6.2,293.9,5.5,D,0
-8.6181,-74.8504,312.9,1.1,1.1,2016-01-06,1831,Aqua,MODIS,65,6.2,292,6.4,D,0
-10.3291,-74.9873,310.9,1.2,1.1,2016-01-06,1831,Aqua,MODIS,56,6.2,295.5,6.3,D,0
-6.4373,-76.5005,318.8,1.3,1.1,2016-01-06,1832,Aqua,MODIS,69,6.2,291.9,15.6,D,0
-6.4399,-76.5964,323.5,1.3,1.1,2016-01-06,1832,Aqua,MODIS,80,6.2,295.2,21.9,D,0
-6.4583,-76.428,315.6,1.3,1.1,2016-01-06,1832,Aqua,MODIS,65,6.2,296.5,8.5,D,0
-6.6134,-76.3711,324.1,1.3,1.1,2016-01-06,1832,Aqua,MODIS,69,6.2,292.8,24.2,D,0
-0.2447,-74.8852,312.8,1,1,2016-01-06,1833,Aqua,MODIS,38,6.2,293.5,6.7,D,0
-6.7199,-79.7401,321.1,3.8,1.8,2016-01-07,1622,Terra,MODIS,73,6.2,290.3,60.6,D,0
-7.4297,-76.4106,321.3,1,1,2016-01-08,1527,Terra,MODIS,75,6.2,298.8,11.1,D,0
-11.4313,-74.4827,313.3,1.1,1,2016-01-08,1528,Terra,MODIS,66,6.2,298.2,7.3,D,0
-16.4214,-71.3695,331.2,1.3,1.1,2016-01-08,1817,Aqua,MODIS,65,6.2,312.4,18.6,D,0
-12.1921,-75.4595,313.9,2.2,1.5,2016-01-08,1818,Aqua,MODIS,66,6.2,295.7,24.4,D,0
-12.193,-75.4721,309.3,2.3,1.5,2016-01-08,1818,Aqua,MODIS,44,6.2,296.5,12.5,D,0
-7.1805,-76.6052,316,2.3,1.5,2016-01-08,1819,Aqua,MODIS,70,6.2,292.7,25.1,D,0
-6.7778,-76.4184,320.5,2.2,1.4,2016-01-08,1819,Aqua,MODIS,77,6.2,296.5,31.1,D,0
-7.6753,-76.4884,309.2,2.3,1.5,2016-01-08,1819,Aqua,MODIS,31,6.2,290.1,15,D,0
-8.6309,-74.3393,316.8,1.6,1.3,2016-01-08,1819,Aqua,MODIS,73,6.2,294.1,14.7,D,0
-8.2199,-75.1052,310.7,1.8,1.3,2016-01-08,1819,Aqua,MODIS,27,6.2,293.6,13.1,D,0
-8.6329,-74.3539,320.1,1.6,1.3,2016-01-08,1819,Aqua,MODIS,76,6.2,294.5,22.4,D,0
-8.1715,-75.0129,310.5,1.8,1.3,2016-01-08,1819,Aqua,MODIS,52,6.2,293,11.7,D,0
-7.911,-74.6044,315,1.6,1.3,2016-01-08,1819,Aqua,MODIS,70,6.2,294.6,16.6,D,0
-7.0916,-76.4182,316.1,2.2,1.4,2016-01-08,1819,Aqua,MODIS,70,6.2,294.5,19.8,D,0
-8.2291,-75.0329,311.4,1.8,1.3,2016-01-08,1819,Aqua,MODIS,61,6.2,293.8,12.5,D,0
-7.2904,-76.3519,318.2,2.2,1.4,2016-01-08,1819,Aqua,MODIS,73,6.2,295.1,28.6,D,0
-7.2895,-76.3367,316.8,2.2,1.4,2016-01-08,1819,Aqua,MODIS,71,6.2,295.1,23.5,D,0
-7.2923,-76.3572,314.2,2.2,1.4,2016-01-08,1819,Aqua,MODIS,67,6.2,295.1,17.1,D,0
-7.2636,-76.2412,310,2.2,1.4,2016-01-08,1819,Aqua,MODIS,43,6.2,292.2,9.9,D,0
-7.2561,-75.2788,316.7,1.8,1.3,2016-01-08,1819,Aqua,MODIS,55,6.2,295.2,16.9,D,0
-7.167,-76.4024,321.3,2.2,1.4,2016-01-08,1819,Aqua,MODIS,61,6.2,296.2,30.5,D,0
-6.5926,-76.1077,311.6,2.1,1.4,2016-01-08,1819,Aqua,MODIS,57,6.2,294.4,12.9,D,0
-8.5031,-75.0274,315.3,1.8,1.3,2016-01-08,1819,Aqua,MODIS,70,6.2,293.6,17,D,0
-6.9157,-74.9591,312,1.7,1.3,2016-01-08,1819,Aqua,MODIS,60,6.2,291.9,12.1,D,0
-6.9167,-74.9488,312.8,1.7,1.3,2016-01-08,1819,Aqua,MODIS,65,6.2,289.4,14.7,D,0
-8.2139,-75.2407,312.8,1.9,1.3,2016-01-08,1819,Aqua,MODIS,65,6.2,294.8,14,D,0
-7.3066,-76.5615,313.4,2.3,1.5,2016-01-08,1819,Aqua,MODIS,64,6.2,295.2,18.1,D,0
-8.501,-75.0111,330.6,1.8,1.3,2016-01-08,1819,Aqua,MODIS,85,6.2,294.3,55.3,D,0
-8.5601,-75.0031,320.5,1.8,1.3,2016-01-08,1819,Aqua,MODIS,77,6.2,293.7,29.8,D,0
-3.9824,-71.2164,314,1,1,2016-01-08,1820,Aqua,MODIS,26,6.2,295.5,6.3,D,0
-6.2116,-76.2784,310.6,2.1,1.4,2016-01-08,1820,Aqua,MODIS,32,6.2,290.7,21.8,D,0
-3.5694,-72.1256,313.9,1.1,1,2016-01-08,1820,Aqua,MODIS,67,6.2,296.2,7,D,0
-5.738,-77.4186,313,2.5,1.5,2016-01-08,1820,Aqua,MODIS,65,6.2,291.7,28.9,D,0
-6.4987,-76.3743,318.7,2.1,1.4,2016-01-08,1820,Aqua,MODIS,23,6.2,297.4,20.9,D,0
-5.1714,-73.8484,317.2,1.3,1.1,2016-01-08,1820,Aqua,MODIS,36,6.2,292.2,15.7,D,0
-3.9894,-73.2092,310.5,1.2,1.1,2016-01-08,1820,Aqua,MODIS,59,6.2,288.5,7.2,D,0
-0.3561,-74.725,316.1,1.3,1.1,2016-01-08,1821,Aqua,MODIS,0,6.2,288.3,14.5,D,0
-6.8033,-76.4404,308.4,1.1,1,2016-01-09,0345,Terra,MODIS,74,6.2,293,6.8,N,0
-6.8285,-76.4847,304,1,1,2016-01-09,0345,Terra,MODIS,58,6.2,292.7,3.6,N,0
-4.928,-80.8886,332.3,1.2,1.1,2016-01-09,0644,Aqua,MODIS,100,6.2,282.9,44.2,N,0
-4.9263,-80.8997,334.4,1.2,1.1,2016-01-09,0644,Aqua,MODIS,100,6.2,283.7,46.8,N,0
-8.3035,-78.9257,332.8,2.7,1.6,2016-01-09,1610,Terra,MODIS,65,6.2,295.7,78.3,D,0
-8.3064,-78.9024,328.6,2.7,1.6,2016-01-09,1610,Terra,MODIS,83,6.2,296.9,54.5,D,0
-7.2868,-76.1492,311.9,4.3,1.9,2016-01-09,1610,Terra,MODIS,60,6.2,287,61.2,D,0
-5.7197,-75.9467,311.3,4.2,1.9,2016-01-09,1610,Terra,MODIS,68,6.2,287.6,63,D,0
-8.2994,-78.9187,340.9,2.7,1.6,2016-01-09,1610,Terra,MODIS,86,6.2,296.3,127.8,D,0
-7.2841,-76.1424,312.6,4.3,1.9,2016-01-09,1610,Terra,MODIS,63,6.2,287.1,66.1,D,0
-10.0151,-77.982,331.1,1.1,1.1,2016-01-09,1901,Aqua,MODIS,70,6.2,307.2,8.6,D,0
-13.1237,-75.6489,330.9,1.4,1.2,2016-01-09,1901,Aqua,MODIS,65,6.2,311.9,16.5,D,0
-10.6929,-77.5935,335.6,1.2,1.1,2016-01-09,1901,Aqua,MODIS,76,6.2,309.1,22.2,D,0
-7.0515,-79.5371,344.4,1,1,2016-01-09,1902,Aqua,MODIS,90,6.2,304.6,33.9,D,0
-8.9726,-78.5251,325.5,1.1,1,2016-01-09,1902,Aqua,MODIS,38,6.2,303.3,10.2,D,0
-8.9711,-78.5152,326.5,1.1,1,2016-01-09,1902,Aqua,MODIS,51,6.2,303,10.4,D,0
-7.67,-79.2276,353,1.1,1,2016-01-09,1902,Aqua,MODIS,95,6.2,305.4,55.8,D,0
-7.6714,-79.2371,344.8,1.1,1,2016-01-09,1902,Aqua,MODIS,90,6.2,302.6,37.6,D,0
-7.1089,-76.5358,321.2,1.5,1.2,2016-01-09,1902,Aqua,MODIS,58,6.2,299.2,12.2,D,0
-6.0035,-78.601,342.8,1.2,1.1,2016-01-09,1903,Aqua,MODIS,90,6.2,305.6,39.4,D,0
-6.005,-78.6107,336.9,1.2,1.1,2016-01-09,1903,Aqua,MODIS,86,6.2,309.7,26.1,D,0
-5.0107,-79.0591,321,1.1,1.1,2016-01-09,1903,Aqua,MODIS,73,6.2,300,8.7,D,0
-5.8989,-78.6441,339.8,1.2,1.1,2016-01-09,1903,Aqua,MODIS,88,6.2,305.4,31.9,D,0
-6.4129,-79.8272,330.2,1,1,2016-01-09,1903,Aqua,MODIS,63,6.2,302.9,11.2,D,0
-5.1611,-78.8982,324.6,1.2,1.1,2016-01-09,1903,Aqua,MODIS,34,6.2,302.6,10.5,D,0
-6.4502,-75.7463,315.7,3.4,1.7,2016-01-10,1807,Aqua,MODIS,73,6.2,289.6,54.8,D,0
-6.4502,-75.7234,310.3,3.3,1.7,2016-01-10,1807,Aqua,MODIS,49,6.2,290.7,26.4,D,0
-6.5858,-76.2324,314.2,3.7,1.8,2016-01-10,1807,Aqua,MODIS,58,6.2,289.2,53.1,D,0
-6.5946,-76.2375,314.8,3.7,1.8,2016-01-10,1807,Aqua,MODIS,62,6.2,290.6,53.6,D,0
-6.2036,-76.1488,310.2,3.6,1.8,2016-01-10,1807,Aqua,MODIS,64,6.2,289.5,30.9,D,0
-6.1994,-76.117,309.7,3.6,1.8,2016-01-10,1807,Aqua,MODIS,64,6.2,290,29.2,D,0
-6.1962,-76.1455,310.5,3.6,1.8,2016-01-10,1807,Aqua,MODIS,66,6.2,289.2,32.2,D,0
-11.0938,-77.4859,323.4,1.4,1.2,2016-01-11,0332,Terra,MODIS,100,6.2,286.8,35.2,N,0
-13.8453,-76.4455,312,2.9,1.6,2016-01-11,1600,Terra,MODIS,43,6.2,298.8,46.1,D,3
-13.3972,-75.4065,341.8,1,1,2016-01-11,1848,Aqua,MODIS,88,6.2,306,31.4,D,0
-13.7437,-76.2071,331.9,1,1,2016-01-11,1848,Aqua,MODIS,61,6.2,304.9,12.7,D,0
-13.3959,-75.3974,330.4,1,1,2016-01-11,1848,Aqua,MODIS,75,6.2,304.6,14.3,D,0
-5.5721,-78.9644,310.9,1,1,2016-01-11,1850,Aqua,MODIS,56,6.2,284.3,7.4,D,0
-8.561,-77.3399,326.5,1,1,2016-01-11,1850,Aqua,MODIS,77,6.2,295.4,15.6,D,0
-5.6103,-78.9057,314.3,1,1,2016-01-11,1850,Aqua,MODIS,65,6.2,289.5,8.7,D,0
-6.2995,-78.9698,324.3,1,1,2016-01-11,1850,Aqua,MODIS,65,6.2,294.9,14.3,D,0
-8.5597,-77.3308,325.8,1,1,2016-01-11,1850,Aqua,MODIS,76,6.2,297.9,13.9,D,0
-5.4667,-78.5462,315.8,1,1,2016-01-11,1851,Aqua,MODIS,70,6.2,281.8,10.4,D,0
-5.0952,-79.1006,308.1,1,1,2016-01-11,1851,Aqua,MODIS,49,6.2,284,4.4,D,0
-8.9148,-78.5139,312.9,3.9,1.8,2016-01-12,1932,Aqua,MODIS,25,6.2,280.1,31.4,D,0
-5.8928,-76.1189,315,1.4,1.2,2016-01-13,1545,Terra,MODIS,35,6.2,299,10.2,D,0
-5.9049,-76.1081,313.9,1.4,1.2,2016-01-13,1545,Terra,MODIS,28,6.2,298.4,9.3,D,0
-6.3353,-76.596,316,1.3,1.1,2016-01-13,1545,Terra,MODIS,74,6.2,298.7,11,D,0
-5.8027,-78.6058,320.1,1,1,2016-01-13,1545,Terra,MODIS,48,6.2,298.7,11.1,D,0
-6.1409,-77.1012,310,1.2,1.1,2016-01-13,1545,Terra,MODIS,59,6.2,292.7,5.9,D,0
-6.3375,-76.6536,315.6,1.3,1.1,2016-01-13,1545,Terra,MODIS,31,6.2,293,10.9,D,0
-8.3066,-78.9145,336.1,1,1,2016-01-13,1546,Terra,MODIS,86,6.2,298.2,28.2,D,0
-7.7984,-77.7235,327.1,1.2,1.1,2016-01-13,1546,Terra,MODIS,67,6.2,302.9,20,D,0
-6.7275,-79.7734,349.6,1,1,2016-01-13,1546,Terra,MODIS,95,6.2,297.9,49.1,D,0
-9.6014,-76.4993,309.1,1.5,1.2,2016-01-13,1546,Terra,MODIS,33,6.2,287.1,16.2,D,0
-6.7262,-79.7824,322,1,1,2016-01-13,1546,Terra,MODIS,41,6.2,298.2,7.9,D,0
-6.7185,-79.7721,338,1,1,2016-01-13,1546,Terra,MODIS,88,6.2,300.2,28.1,D,0
-9.3025,-75.9991,305.9,1.6,1.2,2016-01-13,1546,Terra,MODIS,19,6.2,285,8.6,D,0
-6.7172,-79.7811,321.4,1,1,2016-01-13,1546,Terra,MODIS,11,6.2,298.7,7.1,D,0
-10.6891,-76.2506,305.8,1.6,1.2,2016-01-13,1547,Terra,MODIS,31,6.2,291.3,6,D,0
-11.1252,-75.3582,310.6,1.9,1.3,2016-01-13,1547,Terra,MODIS,63,6.2,294.4,16.5,D,0
-12.0453,-75.6633,313.2,1.1,1.1,2016-01-13,1836,Aqua,MODIS,33,6.2,296.7,7,D,0
-8.9375,-78.5313,351.2,1.5,1.2,2016-01-13,1837,Aqua,MODIS,96,6.2,302,92.7,D,0
-9.2988,-76.0034,316.9,1.1,1,2016-01-13,1837,Aqua,MODIS,36,6.2,296.8,9.7,D,0
-11.2593,-74.6377,317.5,1,1,2016-01-13,1837,Aqua,MODIS,49,6.2,301.4,7.2,D,0
-10.9259,-74.8823,312.3,1,1,2016-01-13,1837,Aqua,MODIS,32,6.2,290.5,5,D,0
-7.0193,-76.517,318.1,1.1,1,2016-01-13,1838,Aqua,MODIS,49,6.2,299.1,5.1,D,0
-7.1986,-76.3494,330.8,1.1,1,2016-01-13,1838,Aqua,MODIS,79,6.2,289.3,23.9,D,0
-7.0884,-76.2238,313.5,1.1,1,2016-01-13,1838,Aqua,MODIS,40,6.2,287.3,6.2,D,0
-6.8125,-76.1537,331.5,1.1,1,2016-01-13,1838,Aqua,MODIS,85,6.2,300.4,25.3,D,0
-7.1647,-76.1761,327.5,1.1,1,2016-01-13,1838,Aqua,MODIS,82,6.2,292.4,22.8,D,0
