latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.1228,124.0007,320.3,1.4,1.2,2016-01-01,0205,Terra,MODIS,0,6.2,299.2,19.4,D,0
7.2412,124.8503,319.5,1.1,1.1,2016-01-01,0206,Terra,MODIS,69,6.2,301.2,9.2,D,0
7.2741,124.8238,328.3,1.1,1.1,2016-01-01,0206,Terra,MODIS,82,6.2,302.5,19.4,D,0
7.1028,124.28,316,1.1,1.1,2016-01-01,0506,Aqua,MODIS,13,6.2,296.1,10,D,0
7.8971,124.4729,314.2,1.1,1,2016-01-01,0506,Aqua,MODIS,67,6.2,298,10.1,D,0
8.3088,125.0184,318.9,1,1,2016-01-01,0506,Aqua,MODIS,51,6.2,301.6,10.1,D,0
6.0497,121.0028,311.2,1.9,1.3,2016-01-01,0506,Aqua,MODIS,22,6.2,295.3,14.2,D,0
6.0426,120.9991,311.6,1.9,1.3,2016-01-01,0506,Aqua,MODIS,43,6.2,295.3,16.7,D,2
11.9888,123.7832,313.3,1.1,1,2016-01-01,0507,Aqua,MODIS,66,6.2,295.3,7.1,D,0
11.8732,123.9442,318.3,1,1,2016-01-01,0507,Aqua,MODIS,56,6.2,299.2,9.4,D,0
15.3192,120.1391,311.3,1.1,1.1,2016-01-02,0247,Terra,MODIS,44,6.2,295.7,4.6,D,0
15.3176,120.1495,321.1,1.1,1.1,2016-01-02,0247,Terra,MODIS,77,6.2,298.5,15,D,0
13.2,120.8964,311.5,1.3,1.1,2016-01-02,0247,Terra,MODIS,54,6.2,296.8,11.7,D,0
15.244,120.1535,317.2,1.1,1.1,2016-01-02,0247,Terra,MODIS,36,6.2,301.7,10.8,D,0
9.5439,122.8218,314.3,2.1,1.4,2016-01-02,0248,Terra,MODIS,61,6.2,299.2,17.3,D,0
9.8759,122.7313,315.5,2,1.4,2016-01-02,0248,Terra,MODIS,41,6.2,298.7,18.3,D,0
7.8106,124.6971,309.8,1.9,1.3,2016-01-03,0154,Terra,MODIS,58,6.2,292.1,9.7,D,0
9.712,122.607,309.1,2.1,1.4,2016-01-03,0454,Aqua,MODIS,57,6.2,291.9,13.8,D,0
7.4761,125.0883,311,1.5,1.2,2016-01-03,0454,Aqua,MODIS,48,6.2,292.4,9.6,D,0
13.2177,122.5523,311.2,1.8,1.3,2016-01-03,0455,Aqua,MODIS,0,6.2,297.9,14.1,D,0
