latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
50.3379,19.2879,301.6,1.8,1.3,2016-01-09,0919,Terra,MODIS,48,6.2,273.4,23.1,D,2
51.178,16.1176,301.5,1,1,2016-01-10,1002,Terra,MODIS,44,6.2,270.6,10.1,D,0
51.6816,15.9765,300.6,1,1,2016-01-17,1154,Aqua,MODIS,35,6.2,272.7,9.4,D,2
50.3311,19.2877,325.4,1,1,2016-01-19,1141,Aqua,MODIS,74,6.2,268.5,29.2,D,2
51.6854,15.987,302.2,1.4,1.2,2016-02-06,0943,Terra,MODIS,48,6.2,274.8,13.9,D,2
50.3726,20.6414,307.6,1.5,1.2,2016-02-09,1159,Aqua,MODIS,66,6.2,283.3,18.3,D,0
50.3341,19.2875,316.6,1.1,1,2016-02-22,1129,Aqua,MODIS,67,6.2,283.5,17.1,D,2
50.3381,19.3012,302.9,1.1,1,2016-02-25,0049,Aqua,MODIS,52,6.2,270.1,11.8,N,2
50.34,19.2865,302.2,1.1,1,2016-02-25,0049,Aqua,MODIS,48,6.2,270.8,11.4,N,2
51.6821,15.9772,319.1,1.1,1,2016-02-25,1200,Aqua,MODIS,70,6.2,280.1,22.5,D,2
50.3383,19.2868,301.6,1.1,1,2016-03-06,2023,Terra,MODIS,42,6.2,272.4,10.7,N,2
53.8848,21.2378,300,1,1,2016-03-09,1130,Aqua,MODIS,19,6.2,279.1,6.3,D,0
54.4064,20.3783,313.6,1,1,2016-03-09,1130,Aqua,MODIS,74,6.2,279.2,14.2,D,0
54.3478,21.3143,300.8,1.2,1.1,2016-03-13,1106,Aqua,MODIS,42,6.2,282.7,7.4,D,0
50.3379,19.2812,312.1,1.1,1,2016-03-14,1148,Aqua,MODIS,63,6.2,267.4,15.9,D,2
50.3397,19.2959,304,1.1,1,2016-03-14,1148,Aqua,MODIS,54,6.2,269.7,9.8,D,2
51.3687,14.9559,332,1,1,2016-03-14,1148,Aqua,MODIS,88,6.2,285.3,33.3,D,0
51.351,14.9632,318,1,1,2016-03-14,1148,Aqua,MODIS,78,6.2,285,18.3,D,0
51.6847,15.9806,300.7,1,1,2016-03-14,1148,Aqua,MODIS,35,6.2,281.2,5.7,D,2
50.3368,19.2869,301,1,1,2016-03-16,0949,Terra,MODIS,42,6.2,282.1,7,D,2
50.3364,19.2886,304.8,1,1,2016-03-16,1135,Aqua,MODIS,60,6.2,285.1,7.8,D,2
50.3412,19.29,308.3,1.1,1,2016-03-17,0108,Aqua,MODIS,74,6.2,271.5,15.6,N,2
51.6818,15.9907,305,1.4,1.2,2016-03-17,1032,Terra,MODIS,52,6.2,286.2,11.4,D,2
51.6907,15.9797,309.9,1.4,1.2,2016-03-17,1032,Terra,MODIS,69,6.2,287.1,16.2,D,2
51.6857,15.9715,304.2,1.4,1.2,2016-03-17,1032,Terra,MODIS,48,6.2,286.4,10.7,D,2
50.572,23.7215,303.4,3.8,1.8,2016-03-17,1218,Aqua,MODIS,56,6.2,274.3,55.6,D,0
50.5666,23.7254,302.8,3.8,1.8,2016-03-17,1218,Aqua,MODIS,54,6.2,273.6,53.1,D,0
52.0453,15.2163,304.8,1.5,1.2,2016-03-17,1219,Aqua,MODIS,60,6.2,287.5,13.1,D,0
51.6888,15.9835,300.3,1.6,1.2,2016-03-17,1219,Aqua,MODIS,35,6.2,288.1,8.2,D,2
50.0707,20.1297,309.5,1.1,1,2016-03-18,0937,Terra,MODIS,64,6.2,284.1,11.7,D,0
50.3323,19.2955,303.6,1.2,1.1,2016-03-18,1123,Aqua,MODIS,43,6.2,279.2,9.3,D,2
51.1789,16.1087,309.6,1.1,1.1,2016-03-19,1020,Terra,MODIS,69,6.2,281.3,13.7,D,0
52.9333,18.9671,300.9,1.1,1,2016-03-21,1007,Terra,MODIS,25,6.2,284.9,5.1,D,0
52.9359,18.9518,301.8,1.1,1,2016-03-21,1007,Terra,MODIS,42,6.2,283.1,5.6,D,0
51.1169,22.0777,301.5,1.2,1.1,2016-03-23,1142,Aqua,MODIS,45,6.2,284.6,7,D,0
50.2841,18.7081,302.6,1.1,1,2016-03-25,0943,Terra,MODIS,53,6.2,283.3,6.4,D,0
54.383,21.3963,311.9,1,1,2016-03-25,1130,Aqua,MODIS,53,6.2,282,12.1,D,0
51.6834,15.9876,306.9,1.4,1.2,2016-03-26,1213,Aqua,MODIS,64,6.2,290.7,11.7,D,2
51.6816,15.9678,306,1.4,1.2,2016-03-26,1213,Aqua,MODIS,63,6.2,290.4,11,D,2
51.5809,23.1186,300.4,1,1,2016-03-27,0931,Terra,MODIS,36,6.2,285.4,5.4,D,0
50.9354,22.6891,300.4,1,1,2016-03-27,1117,Aqua,MODIS,36,6.2,284.4,4.9,D,0
