latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.4852,15.1705,315.3,1,1,2016-01-02,0927,Terra,MODIS,67,6.2,299.6,8.3,D,0
-1.5935,15.0207,332,1.3,1.1,2016-01-02,1222,Aqua,MODIS,68,6.2,301.6,29.9,D,0
-1.9228,14.9953,323,1.4,1.2,2016-01-02,1222,Aqua,MODIS,43,6.2,302.4,14.8,D,0
-1.3194,15.0126,317.8,1.3,1.1,2016-01-02,1222,Aqua,MODIS,40,6.2,297.4,9.7,D,0
-1.0582,16.1799,312,1.1,1.1,2016-01-02,1222,Aqua,MODIS,49,6.2,296.4,5.6,D,0
-1.7144,15.8222,321.3,1.2,1.1,2016-01-02,1222,Aqua,MODIS,67,6.2,297,13.5,D,0
-1.0596,16.1699,312.6,1.1,1.1,2016-01-02,1222,Aqua,MODIS,53,6.2,296.5,6,D,0
-0.0519,15.6394,316.3,1.2,1.1,2016-01-02,1223,Aqua,MODIS,52,6.2,300.7,6.7,D,0
-0.3739,15.8887,313.8,1.1,1.1,2016-01-02,1223,Aqua,MODIS,51,6.2,297.1,6.6,D,0
2.3668,18.168,323,1,1,2016-01-02,1223,Aqua,MODIS,58,6.2,300.2,13.8,D,0
2.3463,18.1526,318.2,1,1,2016-01-02,1223,Aqua,MODIS,50,6.2,301.5,9.1,D,0
1.6936,18.0345,316.3,1,1,2016-01-02,1223,Aqua,MODIS,69,6.2,300.4,8.3,D,0
1.763,17.9997,311.6,1,1,2016-01-02,1223,Aqua,MODIS,58,6.2,298,5.2,D,0
0.5249,15.7403,315.4,1.1,1.1,2016-01-02,1223,Aqua,MODIS,50,6.2,299.7,7.8,D,0
0.5235,15.7302,316.3,1.1,1.1,2016-01-02,1223,Aqua,MODIS,51,6.2,301.5,8.8,D,0
1.3903,17.9689,312.6,1,1,2016-01-02,1223,Aqua,MODIS,52,6.2,300,5.6,D,0
1.0153,17.7934,327.7,1,1,2016-01-02,1223,Aqua,MODIS,81,6.2,300.1,18.1,D,0
