latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.0281,49.5987,322.6,2.5,1.5,2016-01-01,0657,Terra,MODIS,71,6.2,289,60.5,D,2
27.0417,49.6002,323.3,2.5,1.5,2016-01-01,0657,Terra,MODIS,58,6.2,289.2,60.3,D,2
24.255,42.1152,311.5,3.7,1.8,2016-01-01,0836,Terra,MODIS,60,6.2,295.9,28,D,0
24.2474,42.1185,314,3.7,1.8,2016-01-01,0836,Terra,MODIS,66,6.2,295.9,37.8,D,0
24.2475,42.1505,311.8,3.7,1.8,2016-01-01,0836,Terra,MODIS,61,6.2,295.2,30.4,D,0
22.709,39.0304,316.9,2.4,1.5,2016-01-01,0837,Terra,MODIS,48,6.2,299.9,20.3,D,0
24.2476,42.126,321.1,1.9,1.3,2016-01-01,1007,Aqua,MODIS,72,6.2,299.2,27.5,D,0
24.24,42.1229,319.9,1.9,1.3,2016-01-01,1007,Aqua,MODIS,70,6.2,299.6,24.3,D,0
25.6329,49.3895,315.6,1.1,1,2016-01-01,1008,Aqua,MODIS,67,6.2,294.7,10.1,D,2
22.7074,39.0305,327.6,1.1,1,2016-01-01,1933,Terra,MODIS,100,6.2,291.5,30.4,N,0
27.033,49.6042,304.4,3.4,1.7,2016-01-01,1933,Terra,MODIS,60,6.2,286.4,41.3,N,2
27.0379,49.6106,306.1,3.4,1.7,2016-01-01,1933,Terra,MODIS,67,6.2,286.9,46.1,N,2
22.7089,39.0463,317.5,2.1,1.4,2016-01-02,0742,Terra,MODIS,65,6.2,302.7,20.3,D,0
22.711,39.0263,319.3,2.1,1.4,2016-01-02,0742,Terra,MODIS,54,6.2,301.4,26.3,D,0
21.5747,39.2924,317.4,1,1,2016-01-02,1050,Aqua,MODIS,59,6.2,303.7,5.9,D,0
27.0321,49.6123,314.4,1.4,1.2,2016-01-02,1838,Terra,MODIS,89,6.2,287.1,22.2,N,2
27.0194,49.578,310.1,1.4,1.2,2016-01-02,1838,Terra,MODIS,79,6.2,286.9,17.9,N,2
27.0145,49.5734,306.7,1.4,1.2,2016-01-02,1838,Terra,MODIS,69,6.2,286.9,14.5,N,2
27.0297,49.5986,321.4,1.4,1.2,2016-01-02,1838,Terra,MODIS,100,6.2,287.1,32.1,N,2
27.039,49.6263,301.4,1.9,1.3,2016-01-02,2258,Aqua,MODIS,40,6.2,285,15,N,0
27.0425,49.608,315,1.9,1.3,2016-01-02,2258,Aqua,MODIS,90,6.2,286.4,37.7,N,2
23.9773,38.2339,304.2,1.5,1.2,2016-01-02,2259,Aqua,MODIS,17,6.2,287.4,12.1,N,0
23.9881,38.2354,308.3,1.5,1.2,2016-01-02,2259,Aqua,MODIS,74,6.2,287.7,17.7,N,0
22.7092,39.0422,317.1,1.5,1.2,2016-01-03,0825,Terra,MODIS,67,6.2,304.3,9.6,D,0
27.031,49.5993,328.7,1,1,2016-01-03,0956,Aqua,MODIS,84,6.2,296.1,24.2,D,2
27.0326,49.6095,325.9,1,1,2016-01-03,0956,Aqua,MODIS,82,6.2,295.2,21.3,D,2
27.0385,49.6051,323.5,2,1.4,2016-01-03,1921,Terra,MODIS,100,6.2,284.7,67.4,N,2
27.0375,49.6116,313.7,2.5,1.5,2016-01-03,2202,Aqua,MODIS,86,6.2,283,53.1,N,2
27.0325,49.6162,305.5,2.5,1.5,2016-01-03,2202,Aqua,MODIS,64,6.2,282.1,34.6,N,2
27.0347,49.6039,337,1,1,2016-01-04,0728,Terra,MODIS,90,6.2,294.5,35.5,D,2
27.0332,49.6139,320.4,1,1,2016-01-04,0728,Terra,MODIS,79,6.2,292.8,15.7,D,2
27.0198,49.5808,319.7,1,1,2016-01-04,0728,Terra,MODIS,78,6.2,294.5,14.8,D,2
23.9819,38.2247,323.9,1.1,1.1,2016-01-04,1038,Aqua,MODIS,76,6.2,302.2,15.1,D,0
27.0265,49.6029,315.9,3.4,1.7,2016-01-04,1039,Aqua,MODIS,64,6.2,289,76.2,D,2
26.7991,36.8472,321.9,1.2,1.1,2016-01-04,1039,Aqua,MODIS,66,6.2,302,14.6,D,0
27.0225,49.5956,311,3.4,1.7,2016-01-04,1039,Aqua,MODIS,29,6.2,290.1,46.9,D,2
29.9011,38.4443,310,1,1,2016-01-04,1040,Aqua,MODIS,61,6.2,295.8,5.9,D,0
29.91,38.4425,311.2,1,1,2016-01-04,1040,Aqua,MODIS,63,6.2,294.4,6.9,D,0
29.6963,38.3701,319.1,1,1,2016-01-04,1040,Aqua,MODIS,75,6.2,297.5,12.7,D,0
22.4341,54.0053,306.3,1.4,1.2,2016-01-04,1825,Terra,MODIS,68,6.2,286.1,16.3,N,0
25.6408,49.3892,307,2.5,1.5,2016-01-04,1826,Terra,MODIS,70,6.2,275.9,46.2,N,2
27.0387,49.6006,327.8,2.2,1.4,2016-01-04,1826,Terra,MODIS,100,6.2,285.4,91.3,N,2
23.9775,38.2188,305.3,1.7,1.3,2016-01-04,2004,Terra,MODIS,64,6.2,290.5,15.9,N,0
23.9793,38.2354,301.4,1.7,1.3,2016-01-04,2004,Terra,MODIS,41,6.2,290.8,11.4,N,0
23.9807,38.2253,300.2,2.5,1.5,2016-01-04,2247,Aqua,MODIS,23,6.2,288.4,20,N,0
23.9801,38.2283,337.6,1,1,2016-01-05,0812,Terra,MODIS,88,6.2,303.1,31.7,D,0
23.9815,38.2186,316.9,1,1,2016-01-05,0812,Terra,MODIS,64,6.2,301.6,7.1,D,0
22.4328,54.0023,328.5,1,1,2016-01-05,0942,Aqua,MODIS,77,6.2,301.8,17.1,D,0
23.9797,38.2333,317.8,2.9,1.6,2016-01-05,1121,Aqua,MODIS,50,6.2,301.2,30.5,D,0
23.9767,38.2413,315.4,2.9,1.6,2016-01-05,1121,Aqua,MODIS,39,6.2,301.1,22.5,D,0
23.9741,38.2136,320.9,2.8,1.6,2016-01-05,1121,Aqua,MODIS,0,6.2,301.6,45.6,D,0
23.9847,38.2194,312.9,2.9,1.6,2016-01-05,1909,Terra,MODIS,86,6.2,290.5,59.8,N,0
25.6417,49.3856,306.8,1.2,1.1,2016-01-05,1909,Terra,MODIS,69,6.2,281.3,14.7,N,2
23.9828,38.2267,310.5,2.9,1.6,2016-01-05,1909,Terra,MODIS,80,6.2,290.9,51.4,N,0
23.9821,38.2196,303.4,1.2,1.1,2016-01-05,2329,Aqua,MODIS,55,6.2,288.9,9,N,0
23.98,38.2316,318.9,1.2,1.1,2016-01-05,2329,Aqua,MODIS,98,6.2,290.9,25.1,N,0
23.9746,38.2141,328.5,1.7,1.3,2016-01-06,1026,Aqua,MODIS,0,6.2,304.5,34.1,D,0
23.9713,38.2098,318,1.7,1.3,2016-01-06,1026,Aqua,MODIS,0,6.2,304.2,11.3,D,0
23.9776,38.2306,332.7,1.7,1.3,2016-01-06,1026,Aqua,MODIS,77,6.2,304.9,46.3,D,0
23.9743,38.2264,338.3,1.7,1.3,2016-01-06,1026,Aqua,MODIS,82,6.2,305.4,66.1,D,0
23.9789,38.2243,338.5,1.1,1.1,2016-01-06,1951,Terra,MODIS,100,6.2,294.7,48.4,N,0
27.0192,49.5859,304,1,1,2016-01-06,2233,Aqua,MODIS,58,6.2,286,8.1,N,2
27.0206,49.5759,307,1,1,2016-01-06,2233,Aqua,MODIS,70,6.2,285.4,9.8,N,2
23.6906,49.2715,300.4,1,1,2016-01-06,2234,Aqua,MODIS,27,6.2,282.5,7.3,N,0
23.9819,38.2217,317.6,1.2,1.1,2016-01-07,0800,Terra,MODIS,60,6.2,302.3,8.2,D,0
23.9736,38.2223,318.7,1.7,1.3,2016-01-07,1109,Aqua,MODIS,38,6.2,303.8,11.9,D,0
22.6088,54.0719,319.7,1.4,1.2,2016-01-07,1855,Terra,MODIS,99,6.2,288.1,31,N,0
22.6176,54.0569,304.8,1.4,1.2,2016-01-07,1855,Terra,MODIS,62,6.2,285.9,14.3,N,0
22.6096,54.0513,336.3,1.4,1.2,2016-01-07,1855,Terra,MODIS,100,6.2,288.2,62.3,N,0
22.6073,54.0587,355.2,1.4,1.2,2016-01-07,1855,Terra,MODIS,100,6.2,292.4,120.3,N,0
22.6113,54.0645,367.8,1.4,1.2,2016-01-07,1855,Terra,MODIS,100,6.2,292.3,175.7,N,0
25.6375,49.3845,302.6,1,1,2016-01-07,1856,Terra,MODIS,50,6.2,283.8,7.7,N,2
25.6389,49.3944,300.7,1,1,2016-01-07,1856,Terra,MODIS,32,6.2,284.1,6.6,N,2
26.947,49.5946,303.8,1,1,2016-01-07,1857,Terra,MODIS,57,6.2,286.1,8.3,N,2
27.0182,49.5757,313,1,1,2016-01-07,1857,Terra,MODIS,86,6.2,288.2,13.6,N,2
22.621,54.0598,325.8,2.9,1.6,2016-01-07,2139,Aqua,MODIS,100,6.2,284.4,128.7,N,0
22.6212,54.0675,326.6,2.9,1.6,2016-01-07,2139,Aqua,MODIS,100,6.2,284.9,130.3,N,0
22.6183,54.0875,309.8,2.9,1.6,2016-01-07,2139,Aqua,MODIS,78,6.2,283.9,60.1,N,0
26.9442,49.5998,313.9,3.9,1.8,2016-01-07,2316,Aqua,MODIS,88,6.2,282.1,114.6,N,2
26.9489,49.6092,330.1,3.9,1.8,2016-01-07,2316,Aqua,MODIS,100,6.2,283.5,235,N,2
21.3861,39.213,306.5,1,1,2016-01-08,1938,Terra,MODIS,68,6.2,293.5,6.4,N,0
27.0194,49.5794,306.5,1.2,1.1,2016-01-08,2221,Aqua,MODIS,68,6.2,287.9,12,N,2
27.0323,49.5563,301.6,1.2,1.1,2016-01-08,2221,Aqua,MODIS,39,6.2,288,7.2,N,2
26.9545,49.6013,312.9,1.2,1.1,2016-01-08,2221,Aqua,MODIS,86,6.2,286.6,19.3,N,2
27.0193,49.5777,311.7,1.5,1.2,2016-01-09,0746,Terra,MODIS,61,6.2,293.4,11.7,D,2
24.0881,41.0169,319.1,1.3,1.1,2016-01-09,0748,Terra,MODIS,66,6.2,302.3,11.9,D,0
24.0896,41.0046,321,1.3,1.1,2016-01-09,0748,Terra,MODIS,70,6.2,303,14.2,D,0
27.0198,49.5841,301.6,1.2,1.1,2016-01-09,1844,Terra,MODIS,42,6.2,288.3,6.5,N,2
27.018,49.5726,311.8,1.2,1.1,2016-01-09,1844,Terra,MODIS,83,6.2,288.8,14.6,N,2
27.0229,49.5882,300.6,2.4,1.5,2016-01-09,2304,Aqua,MODIS,30,6.2,286.1,21.1,N,2
27.063,49.5718,315.9,1,1,2016-01-10,1002,Aqua,MODIS,67,6.2,298.1,9.2,D,0
27.0644,49.5818,317.1,1,1,2016-01-10,1002,Aqua,MODIS,69,6.2,296.8,10.5,D,0
27.0168,49.5764,324.2,1,1,2016-01-10,1002,Aqua,MODIS,78,6.2,300.1,16.5,D,2
25.9362,49.6991,306.5,2.6,1.5,2016-01-10,1927,Terra,MODIS,68,6.2,281.2,43.7,N,0
23.9984,38.2325,301.4,1.4,1.2,2016-01-10,1927,Terra,MODIS,40,6.2,290.5,7,N,0
27.0132,49.5787,327.4,1,1,2016-01-11,0734,Terra,MODIS,83,6.2,296.1,23.5,D,2
18.367,44.1793,349.5,1.4,1.2,2016-01-11,1043,Aqua,MODIS,94,6.2,304.3,80.7,D,0
19.2946,41.747,322.8,1.1,1,2016-01-11,1043,Aqua,MODIS,66,6.2,303.8,8.4,D,0
18.3654,44.1664,353.2,1.4,1.2,2016-01-11,1043,Aqua,MODIS,96,6.2,305.7,93.4,D,0
29.8974,38.516,312.6,1,1,2016-01-11,1046,Aqua,MODIS,63,6.2,296.9,7,D,0
29.896,38.5056,315,1,1,2016-01-11,1046,Aqua,MODIS,68,6.2,297.1,9.2,D,0
22.5386,53.92,303,1.1,1.1,2016-01-11,1831,Terra,MODIS,52,6.2,287.3,9.4,N,2
24.0936,41.0077,301.5,1.3,1.1,2016-01-11,2253,Aqua,MODIS,42,6.2,277.5,12.5,N,0
23.9688,38.2422,308.2,2.2,1.4,2016-01-12,1915,Terra,MODIS,74,6.2,293,25.1,N,0
23.9701,38.2481,316.6,2.2,1.4,2016-01-12,1915,Terra,MODIS,44,6.2,293.5,40.4,N,0
23.9729,38.2632,309.4,2.2,1.4,2016-01-12,1915,Terra,MODIS,77,6.2,293.1,28.9,N,0
23.9746,38.2676,305.6,1.6,1.2,2016-01-12,2336,Aqua,MODIS,65,6.2,291.7,13,N,0
23.9773,38.2527,309.6,1.5,1.2,2016-01-12,2336,Aqua,MODIS,78,6.2,292.5,18.2,N,0
27.0155,49.5796,313.5,1.1,1,2016-01-13,0722,Terra,MODIS,53,6.2,294.5,9.9,D,2
23.9723,38.256,340,1.4,1.2,2016-01-13,1032,Aqua,MODIS,83,6.2,308.1,46.1,D,0
23.9683,38.2516,336,1.4,1.2,2016-01-13,1032,Aqua,MODIS,85,6.2,308.2,36,D,0
23.9702,38.2429,326.2,1.4,1.2,2016-01-13,1032,Aqua,MODIS,64,6.2,306.5,16.3,D,0
29.9029,38.5053,312.4,1.1,1,2016-01-13,1034,Aqua,MODIS,32,6.2,298.3,6.9,D,0
29.8954,38.5185,316.5,1.1,1,2016-01-13,1034,Aqua,MODIS,68,6.2,298.4,10.6,D,0
22.614,54.065,310.5,1.7,1.3,2016-01-13,1819,Terra,MODIS,80,6.2,284.5,29.2,N,0
22.6111,54.0486,303.4,1.7,1.3,2016-01-13,1819,Terra,MODIS,55,6.2,284,19.4,N,0
27.1593,49.2215,308,1,1,2016-01-13,2239,Aqua,MODIS,73,6.2,280.9,12.5,N,0
27.0194,49.5813,311.6,1,1,2016-01-13,2239,Aqua,MODIS,83,6.2,285.7,14.3,N,2
25.6354,49.3923,304.7,1.1,1,2016-01-13,2240,Aqua,MODIS,61,6.2,280.6,10.5,N,2
25.6446,49.394,302,1.1,1,2016-01-13,2240,Aqua,MODIS,45,6.2,280,8.7,N,2
25.6414,49.3898,303,1,1,2016-01-14,1902,Terra,MODIS,53,6.2,281.1,9,N,2
24.7669,49.2453,304.2,1,1,2016-01-14,1902,Terra,MODIS,59,6.2,279.6,10.4,N,0
24.7656,49.2352,300.8,1,1,2016-01-14,1902,Terra,MODIS,34,6.2,279.7,8.4,N,0
24.7987,49.3433,300.1,1,1,2016-01-14,1902,Terra,MODIS,15,6.2,280.2,7.9,N,0
25.6323,49.3913,307.7,1,1,2016-01-14,1902,Terra,MODIS,72,6.2,282.1,12.1,N,2
23.9437,49.141,301.6,1,1,2016-01-14,1902,Terra,MODIS,42,6.2,281.1,8.2,N,0
26.6023,49.8591,316,1.1,1,2016-01-14,1903,Terra,MODIS,92,6.2,283.2,20.5,N,0
27.0167,49.5765,315.3,1.5,1.2,2016-01-15,0710,Terra,MODIS,72,6.2,297.9,16.4,D,2
