latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-59.0146,-26.5575,380.5,2,1.4,2016-05-14,0026,Terra,MODIS,100,6.2,273,0,N,3
-59.0146,-26.5628,372.4,2,1.4,2016-05-14,0026,Terra,MODIS,100,6.2,273.8,0,N,3
-59.011,-26.5746,386.4,1.7,1.3,2016-05-24,1040,Terra,MODIS,100,6.2,266.5,0,N,3
-59.0159,-26.5611,392.7,1,1,2016-05-24,1620,Aqua,MODIS,100,6.2,273.2,0,N,3
-59.0196,-26.5472,441.5,1,1,2016-05-26,1607,Aqua,MODIS,100,6.2,288,0,N,3
-59.0128,-26.5697,365.3,1,1,2016-05-26,1607,Aqua,MODIS,100,6.2,274.2,113.6,N,3
-59.0176,-26.5452,407.9,1.2,1.1,2016-05-27,0133,Terra,MODIS,100,6.2,273,0,N,3
-59.0148,-26.5514,425.4,1,1,2016-05-31,0109,Terra,MODIS,100,6.2,291.7,449.9,N,3
-59.013,-26.5572,415.4,1.5,1.2,2016-05-31,1046,Terra,MODIS,100,6.2,283.5,0,N,3
-59.012,-26.5705,354.5,1.1,1,2016-06-04,1601,Aqua,MODIS,100,6.2,268.3,0,N,3
-59.0163,-26.5555,429.9,1.3,1.1,2016-06-05,1644,Aqua,MODIS,100,6.2,286.5,0,N,3
-59.0124,-26.5633,398.1,1.3,1.1,2016-06-05,1644,Aqua,MODIS,100,6.2,283.1,0,N,3
-59.0142,-26.5518,436.3,1.1,1,2016-06-07,1632,Aqua,MODIS,100,6.2,290.8,639.2,N,3
-59.0176,-26.5704,376.5,1.1,1,2016-06-07,1632,Aqua,MODIS,100,6.2,272.9,167.7,N,3
-59.0173,-26.553,419.5,1.2,1.1,2016-06-11,0050,Terra,MODIS,100,6.2,276,0,N,3
-59.0148,-26.5507,426.3,1.2,1.1,2016-06-12,0133,Terra,MODIS,100,6.2,292.4,0,N,3
-59.0129,-26.5625,371.3,1,1,2016-06-12,1110,Terra,MODIS,100,6.2,273,0,N,3
-59.016,-26.5447,443.3,1,1,2016-06-12,1110,Terra,MODIS,100,6.2,286,0,N,3
-59.0191,-26.5643,377.3,1.5,1.2,2016-06-15,1543,Aqua,MODIS,100,6.2,266.2,0,N,3
-59.0139,-26.5482,411.9,1,1,2016-06-16,0109,Terra,MODIS,100,6.2,286.7,339.7,N,3
-59.0116,-26.5588,344.8,1,1,2016-06-17,1129,Terra,MODIS,100,6.2,266.7,0,N,3
-59.0167,-26.5683,340.9,2,1.4,2016-06-17,1530,Aqua,MODIS,100,6.2,268.3,138.1,N,3
-59.0164,-26.576,333.9,2,1.4,2016-06-17,1530,Aqua,MODIS,100,6.2,268.5,108.9,N,3
-59.0174,-26.5404,356.3,1.1,1,2016-06-18,0057,Terra,MODIS,100,6.2,266,0,N,3
-59.0117,-26.5702,346.3,1.9,1.4,2016-06-18,1034,Terra,MODIS,100,6.2,266.4,0,N,3
-59.0168,-26.5625,383.6,1,1,2016-06-18,1613,Aqua,MODIS,100,6.2,282.6,0,N,3
-59.0078,-26.5672,370.1,1,1,2016-06-18,1613,Aqua,MODIS,100,6.2,276,0,N,3
-59.0156,-26.561,351.3,1.3,1.1,2016-06-20,0044,Terra,MODIS,100,6.2,270.1,108.7,N,3
-59.0092,-26.5688,323.8,3.1,1.7,2016-06-20,0222,Terra,MODIS,93,6.2,266.1,0,N,3
-59.0136,-26.5549,306.9,1,1,2016-06-20,0233,Aqua,MODIS,25,6.2,267.3,12.8,N,3
-59.013,-26.5518,359.8,1.7,1.3,2016-06-20,1159,Terra,MODIS,100,6.2,267.3,0,N,3
-59.0219,-26.5646,368.3,1.3,1.1,2016-06-22,1549,Aqua,MODIS,100,6.2,265.6,0,N,3
-59.0114,-26.5682,374.7,1.3,1.1,2016-06-22,1549,Aqua,MODIS,100,6.2,279.5,0,N,3
-59.0171,-26.5484,376.4,1,1,2016-06-23,0115,Terra,MODIS,100,6.2,270.3,0,N,3
-59.0129,-26.5652,380.2,1.5,1.2,2016-06-29,0038,Terra,MODIS,100,6.2,270.8,290.8,N,3
-59.0106,-26.5612,350.3,1,1,2016-07-03,1129,Terra,MODIS,100,6.2,265.7,0,N,3
-59.0187,-26.5389,441.9,1.3,1.1,2016-07-07,1644,Aqua,MODIS,100,6.2,285.6,0,N,3
-59.0205,-26.554,404.1,1.3,1.1,2016-07-08,1549,Aqua,MODIS,100,6.2,270.1,0,D,3
-59.0101,-26.5576,412.9,1.3,1.1,2016-07-08,1549,Aqua,MODIS,100,6.2,281.1,0,D,3
-59.0145,-26.5493,422.5,1,1,2016-07-09,0115,Terra,MODIS,100,6.2,286.9,425.4,N,3
-59.0146,-26.5556,427.5,1,1,2016-07-11,1619,Aqua,MODIS,100,6.2,283.6,0,N,3
-59.0207,-26.5509,401.8,1,1,2016-07-13,1607,Aqua,MODIS,100,6.2,271.2,0,N,3
-59.0115,-26.5553,398.4,1,1,2016-07-13,1607,Aqua,MODIS,100,6.2,281.4,0,N,3
-59.0128,-26.5566,342.1,1.5,1.2,2016-07-15,0038,Terra,MODIS,100,6.2,266.1,97,N,3
-59.0115,-26.5586,401.9,1,1,2016-07-18,0109,Terra,MODIS,100,6.2,282,0,N,3
-59.0114,-26.5607,387.6,1.5,1.2,2016-07-18,1046,Terra,MODIS,100,6.2,277.4,350.6,N,3
-59.0144,-26.5502,429,1,1,2016-07-18,1625,Aqua,MODIS,100,6.2,308,504.8,N,3
-59.0139,-26.5593,324,2.6,1.6,2016-07-19,0013,Terra,MODIS,94,6.2,268.9,0,N,3
-59.0162,-26.5537,380.5,1.7,1.3,2016-07-19,0152,Terra,MODIS,100,6.2,273.6,337.6,N,3
-59.0164,-26.5497,397.9,2.1,1.4,2016-07-19,1708,Aqua,MODIS,100,6.2,280,737.7,N,3
-59.0196,-26.5505,379.3,2.1,1.4,2016-07-19,1708,Aqua,MODIS,100,6.2,275.5,468,N,3
