latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.3605,12.3791,308.1,1.1,1.1,2016-02-16,1019,Terra,MODIS,50,6.2,271.1,16.2,D,0
60.1275,16.1859,305.4,1,1,2016-03-17,1030,Terra,MODIS,61,6.2,278.6,10.4,D,0
55.7851,13.1323,311.4,1.1,1,2016-03-24,1037,Terra,MODIS,48,6.2,274.8,12.8,D,0
58.688,17.1264,318.7,1,1,2016-03-28,1012,Terra,MODIS,0,6.2,283.5,18.9,D,0
58.3576,12.3806,300.1,1.1,1,2016-04-01,1138,Aqua,MODIS,23,6.2,284.8,6.1,D,0
59.5511,15.222,300.4,1,1,2016-04-11,1024,Terra,MODIS,25,6.2,285,5,D,0
59.5485,15.2391,302.3,1,1,2016-04-11,1024,Terra,MODIS,48,6.2,287,5.9,D,0
55.7427,14.1738,301.1,1.3,1.1,2016-04-11,1214,Aqua,MODIS,31,6.2,289.9,6.5,D,0
58.5412,13.0165,308.1,1.2,1.1,2016-04-20,1209,Aqua,MODIS,66,6.2,289,10,D,0
56.6952,16.274,305.1,1,1,2016-04-22,1006,Terra,MODIS,36,6.2,290.5,5.9,D,0
58.1639,13.4293,300.6,1,1,2016-05-01,1150,Aqua,MODIS,27,6.2,288.7,2.4,D,0
58.0216,13.2842,301.4,1,1,2016-05-01,1150,Aqua,MODIS,36,6.2,290.1,3.8,D,0
58.5031,13.1584,306.1,1.1,1,2016-05-02,1043,Terra,MODIS,42,6.2,291.9,6.1,D,0
58.4002,14.8645,309.1,1.2,1.1,2016-05-02,1043,Terra,MODIS,68,6.2,292.1,8.3,D,0
58.3968,14.8693,301.3,2,1.4,2016-05-02,1055,Aqua,MODIS,43,6.2,287.9,8.1,D,0
56.15,14.1938,306,1.1,1,2016-05-03,1137,Aqua,MODIS,63,6.2,290.2,6.9,D,0
59.943,16.8506,305.7,1,1,2016-05-04,1030,Terra,MODIS,53,6.2,294.2,5.2,D,0
56.1447,14.3044,300.9,1,1,2016-05-04,1031,Terra,MODIS,0,6.2,289.9,2.5,D,0
57.4281,15.0838,300,2.3,1.5,2016-05-05,1114,Terra,MODIS,10,6.2,286.5,10.3,D,0
60.1289,16.1816,307.8,1,1,2016-05-05,1126,Aqua,MODIS,57,6.2,296.5,6.3,D,0
63.5273,18.0118,300.1,1,1,2016-05-06,1017,Terra,MODIS,24,6.2,289,3.9,D,0
57.5836,18.5695,307.8,2.7,1.6,2016-05-06,1030,Aqua,MODIS,66,6.2,293.5,26.1,D,0
57.4351,18.522,302.9,2.7,1.6,2016-05-06,1030,Aqua,MODIS,54,6.2,291.3,17.6,D,0
57.4268,18.5153,306.4,1.8,1.3,2016-05-06,1208,Aqua,MODIS,61,6.2,293.4,12,D,0
57.4356,18.5359,303.1,1.8,1.3,2016-05-06,1208,Aqua,MODIS,51,6.2,292.4,7.9,D,0
57.4336,18.5061,303.5,1.8,1.3,2016-05-06,1208,Aqua,MODIS,52,6.2,293.4,8.6,D,0
63.761,20.1687,310.3,1.3,1.1,2016-05-09,1048,Terra,MODIS,53,6.2,288.8,14,D,0
59.9884,13.4942,312.5,1.1,1,2016-05-09,1049,Terra,MODIS,0,6.2,297.6,9.2,D,0
63.7541,20.1648,307.9,1,1,2016-05-09,1102,Aqua,MODIS,58,6.2,290.3,7.9,D,0
57.8367,16.4291,307.1,1,1,2016-05-13,1025,Terra,MODIS,0,6.2,283.7,8.6,D,0
56.1575,14.2008,306,1,1,2016-05-13,1025,Terra,MODIS,38,6.2,294.3,4.5,D,0
65.5913,19.1977,300.6,1.2,1.1,2016-05-16,1053,Terra,MODIS,28,6.2,290.2,6.3,D,0
59.2121,15.1457,302.4,1.1,1,2016-05-17,1150,Aqua,MODIS,26,6.2,290.3,3.4,D,0
60.6244,16.7689,308,1,1,2016-05-20,1030,Terra,MODIS,33,6.2,295.2,6.1,D,0
57.9833,12.2016,301.6,1,1,2016-05-26,1143,Aqua,MODIS,29,6.2,288.8,3.3,D,0
56.2219,14.8365,309.9,1,1,2016-05-29,1026,Terra,MODIS,54,6.2,296.6,5.5,D,0
67.0048,23.218,336.8,1.5,1.2,2016-05-30,1105,Terra,MODIS,90,6.2,293.7,68.6,D,0
66.9972,23.2481,343.8,1.5,1.2,2016-05-30,1105,Terra,MODIS,93,6.2,293.3,91.8,D,0
56.003,12.7732,309,1.7,1.3,2016-05-30,1118,Aqua,MODIS,42,6.2,296.5,10.9,D,0
59.5653,16.2515,300.8,1.1,1,2016-05-30,1119,Aqua,MODIS,16,6.2,288,2,D,0
63.3007,18.718,303.7,1,1,2016-05-30,1120,Aqua,MODIS,31,6.2,291.7,2.6,D,0
66.9997,23.2187,347.4,1.4,1.2,2016-05-30,1121,Aqua,MODIS,89,6.2,295.3,84.9,D,0
65.6098,21.3567,317.9,1,1,2016-05-31,1011,Terra,MODIS,56,6.2,292.4,13.5,D,0
65.6005,21.3602,309.1,1.2,1.1,2016-05-31,1025,Aqua,MODIS,48,6.2,291.7,10,D,0
65.4851,19.4987,313.8,1.2,1.1,2016-06-01,1054,Terra,MODIS,72,6.2,291.8,13.5,D,0
66.6981,20.2239,312.5,1.2,1.1,2016-06-02,0958,Terra,MODIS,72,6.2,293.8,11.1,D,0
65.8885,20.0687,334.5,1.2,1.1,2016-06-02,0958,Terra,MODIS,88,6.2,295.3,42,D,0
65.8889,20.0894,309.5,1.5,1.2,2016-06-02,1013,Aqua,MODIS,69,6.2,293.5,13.8,D,0
65.8817,20.0601,318.6,1.5,1.2,2016-06-02,1013,Aqua,MODIS,79,6.2,294.3,27.9,D,0
66.7,20.2392,304.8,1.4,1.2,2016-06-02,1014,Aqua,MODIS,45,6.2,287,9.1,D,0
66.6934,20.2112,304.9,1.4,1.2,2016-06-02,1014,Aqua,MODIS,60,6.2,286.7,9.4,D,0
66.6927,20.2308,301.7,2.1,1.4,2016-06-02,1136,Terra,MODIS,36,6.2,289,8.3,D,0
65.8828,20.0712,307.5,2.3,1.5,2016-06-02,1136,Terra,MODIS,65,6.2,293.5,17.8,D,0
65.8851,20.071,310.4,2.3,1.5,2016-06-02,1136,Terra,MODIS,70,6.2,293.4,24,D,0
57.1494,16.3974,310,1.1,1,2016-06-02,1149,Aqua,MODIS,58,6.2,294.4,7.2,D,0
66.7042,20.2278,313.6,1.8,1.3,2016-06-02,1152,Aqua,MODIS,56,6.2,293.7,23.9,D,0
66.7023,20.1974,303.4,3.1,1.7,2016-06-03,0903,Terra,MODIS,42,6.2,286.4,34.9,D,0
66.7048,20.1918,301.6,3.1,1.7,2016-06-03,0903,Terra,MODIS,42,6.2,286.2,29.9,D,0
66.6874,20.2169,303.6,3.1,1.7,2016-06-03,0919,Aqua,MODIS,0,6.2,286.2,39.1,D,0
66.9993,23.2531,310.6,1.1,1.1,2016-06-03,1041,Terra,MODIS,61,6.2,283.5,14.9,D,0
66.7082,20.2286,304.7,1,1,2016-06-03,1041,Terra,MODIS,39,6.2,290.5,6.1,D,0
66.6998,20.2189,303.8,1,1,2016-06-03,1041,Terra,MODIS,46,6.2,289.1,5.7,D,0
66.7036,20.2163,304.7,1,1,2016-06-03,1056,Aqua,MODIS,56,6.2,288.1,5.9,D,0
56.9657,15.9746,300.1,1.1,1.1,2016-06-03,2020,Terra,MODIS,18,6.2,287.7,5.8,N,0
60.1279,16.1737,311.3,1,1,2016-06-04,1138,Aqua,MODIS,49,6.2,295.9,8.1,D,0
59.1985,17.7622,301.1,1.1,1.1,2016-06-05,1031,Terra,MODIS,24,6.2,289.3,3.5,D,0
56.9259,14.2327,306.3,1,1,2016-06-05,1032,Terra,MODIS,42,6.2,295.4,3.9,D,0
65.4363,17.848,322.7,1,1,2016-06-05,2010,Terra,MODIS,100,6.2,280.8,25.1,N,0
66.4928,20.1966,312,2.1,1.4,2016-06-06,0949,Aqua,MODIS,68,6.2,282.6,35.7,D,0
66.4927,20.1875,311.5,2.1,1.4,2016-06-06,0949,Aqua,MODIS,67,6.2,282.5,37.2,D,0
65.4379,17.8462,341.8,1.1,1,2016-06-06,1127,Aqua,MODIS,0,6.2,289.2,51.6,D,0
60.8124,16.7444,310.9,1,1,2016-06-07,1018,Terra,MODIS,49,6.2,296,6.4,D,0
60.0798,15.0384,308.2,1,1,2016-06-07,1019,Terra,MODIS,53,6.2,292.4,5.4,D,0
58.3546,12.3778,310.8,1.8,1.3,2016-06-11,0955,Terra,MODIS,37,6.2,290.3,23.3,D,0
60.4363,17.8065,306.8,1,1,2016-06-14,1024,Terra,MODIS,53,6.2,294.2,6,D,0
60.4392,17.7888,316.1,1,1,2016-06-14,1024,Terra,MODIS,76,6.2,293.9,13,D,0
60.2121,16.8971,353.6,1,1,2016-06-14,1025,Terra,MODIS,97,6.2,289.5,69.3,D,0
60.2208,16.9026,317.9,1,1,2016-06-14,1025,Terra,MODIS,32,6.2,289.2,14,D,0
60.4888,15.4473,309.5,1,1,2016-06-14,1025,Terra,MODIS,22,6.2,293.9,4.6,D,0
