latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.4493,-61.4583,316.3,1.9,1.3,2016-01-03,1504,Terra,MODIS,55,6.2,295.6,20,D,0
10.3962,-61.4736,310.9,1.9,1.3,2016-01-03,1504,Terra,MODIS,0,6.2,294.6,10.2,D,0
10.4436,-61.4657,312.4,1.9,1.3,2016-01-03,1504,Terra,MODIS,39,6.2,295.7,12.7,D,0
10.308,-61.4439,312.4,1.2,1.1,2016-01-05,1451,Terra,MODIS,39,6.2,297.3,8,D,0
10.6357,-61.453,314.3,1,1,2016-01-07,1439,Terra,MODIS,47,6.2,298.3,7.7,D,0
10.5025,-61.452,314.9,1.4,1.2,2016-01-09,1427,Terra,MODIS,59,6.2,294.9,11.2,D,0
10.4923,-61.4625,312.5,1.1,1,2016-01-09,1728,Aqua,MODIS,43,6.2,295.2,6.6,D,0
10.5928,-61.3838,316.4,1,1,2016-01-16,1735,Aqua,MODIS,63,6.2,298.5,6.3,D,0
10.322,-61.4373,303.7,1.8,1.3,2016-01-21,0526,Aqua,MODIS,57,6.2,291,13.5,N,0
10.4537,-61.4486,326.6,1.6,1.2,2016-01-21,1753,Aqua,MODIS,82,6.2,299,31,D,0
10.4549,-61.4399,326.1,1.6,1.2,2016-01-21,1753,Aqua,MODIS,79,6.2,299.5,31.2,D,0
10.4531,-61.4543,316.5,1.6,1.2,2016-01-21,1753,Aqua,MODIS,72,6.2,298.5,12.2,D,0
10.4557,-61.4342,318.6,1.6,1.2,2016-01-21,1753,Aqua,MODIS,72,6.2,299.4,14.7,D,0
10.3142,-61.4466,307.4,1.1,1,2016-01-23,0223,Terra,MODIS,71,6.2,294.5,7.6,N,0
10.2088,-61.3321,315.9,1.1,1,2016-01-25,1728,Aqua,MODIS,61,6.2,297.1,9.4,D,0
10.5109,-61.462,318.3,1.1,1,2016-01-25,1729,Aqua,MODIS,54,6.2,298.5,8.4,D,0
10.5124,-61.4524,315.5,1.1,1,2016-01-25,1729,Aqua,MODIS,61,6.2,299.1,5.5,D,0
10.1957,-61.3261,309.5,1.6,1.2,2016-01-27,1716,Aqua,MODIS,47,6.2,295.3,7.7,D,0
