latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.8616,69.5242,305.8,1,1,2016-01-01,0833,Aqua,MODIS,62,6.2,281.6,8.7,D,2
40.4672,69.1302,305.5,1,1,2016-01-01,0833,Aqua,MODIS,61,6.2,286.1,7,D,0
40.4583,69.1323,302.8,1,1,2016-01-01,0833,Aqua,MODIS,51,6.2,286.8,5.3,D,0
40.4495,69.1767,303.7,1.6,1.2,2016-01-02,0558,Terra,MODIS,57,6.2,285.2,12.2,D,0
40.4496,69.1696,303.4,1.6,1.2,2016-01-02,0558,Terra,MODIS,56,6.2,285.4,11.4,D,0
40.8557,69.547,305.6,1.5,1.2,2016-01-02,0558,Terra,MODIS,62,6.2,286.2,14.1,D,2
40.8592,69.5351,307.8,1.5,1.2,2016-01-02,0558,Terra,MODIS,66,6.2,286.3,15.8,D,2
40.4659,69.1225,310.6,1.6,1.2,2016-01-02,0558,Terra,MODIS,0,6.2,284.4,21.8,D,0
38.6844,65.9502,301.6,1,1,2016-01-05,1733,Terra,MODIS,43,6.2,274.8,10.1,N,0
39.6875,63.5723,314,1.9,1.3,2016-01-09,0922,Aqua,MODIS,46,6.2,268.3,33.3,D,0
39.6857,63.5503,308.7,1.9,1.3,2016-01-09,0922,Aqua,MODIS,33,6.2,268,24.4,D,0
40.8589,69.5209,303.9,1.9,1.3,2016-01-13,0857,Aqua,MODIS,57,6.2,282.2,19.7,D,2
39.4866,64.8922,307.5,1.2,1.1,2016-01-14,0623,Terra,MODIS,66,6.2,284.8,12.1,D,0
38.5562,65.9581,301.7,1.1,1,2016-01-14,0623,Terra,MODIS,48,6.2,284.7,6,D,0
38.9637,64.7632,300.3,1.9,1.3,2016-01-15,0706,Terra,MODIS,30,6.2,288.2,7.6,D,0
38.9633,64.7349,303.7,1.9,1.3,2016-01-15,0706,Terra,MODIS,0,6.2,288.6,10.6,D,0
38.959,64.756,304.5,1.9,1.3,2016-01-15,0706,Terra,MODIS,24,6.2,288.5,11.6,D,0
38.9682,64.7421,306.3,1.9,1.3,2016-01-15,0706,Terra,MODIS,55,6.2,288.3,16.5,D,0
39.2873,65.7523,302.2,2.1,1.4,2016-01-15,0706,Terra,MODIS,51,6.2,287.4,14.7,D,0
39.2869,65.7468,300.6,2.1,1.4,2016-01-15,0706,Terra,MODIS,39,6.2,287.5,12.9,D,0
37.4046,66.9486,305.5,2.8,1.6,2016-01-15,0706,Terra,MODIS,54,6.2,288.1,31.5,D,0
37.3947,66.9603,332.4,1,1,2016-01-15,0844,Aqua,MODIS,0,6.2,291.3,32,D,0
38.7954,64.8516,303.2,1,1,2016-01-15,0845,Aqua,MODIS,49,6.2,287.8,3.8,D,0
38.5514,65.9472,305.1,1,1,2016-01-15,0845,Aqua,MODIS,61,6.2,291.7,4.1,D,0
40.4899,63.3677,318.3,1.1,1,2016-01-15,0845,Aqua,MODIS,68,6.2,286.7,19.1,D,0
40.2193,68.2579,300.2,1.1,1.1,2016-01-15,0845,Aqua,MODIS,31,6.2,287.7,5.2,D,0
40.4879,63.3553,306.8,1.1,1,2016-01-15,0845,Aqua,MODIS,56,6.2,286.4,9.1,D,0
40.2552,64.7764,327.2,1,1,2016-01-15,0845,Aqua,MODIS,85,6.2,288.9,25.4,D,0
38.6478,66.1636,313.4,1,1,2016-01-15,0845,Aqua,MODIS,74,6.2,290.9,11.2,D,0
38.6731,65.9624,301.4,1.1,1,2016-01-19,0641,Terra,MODIS,47,6.2,286.4,4.8,D,0
38.6823,65.9649,300.5,1.1,1,2016-01-19,0641,Terra,MODIS,37,6.2,286.8,4.5,D,0
40.4589,69.1326,305.5,1.4,1.2,2016-01-19,0641,Terra,MODIS,0,6.2,282.7,14.6,D,0
37.4261,67.2448,323,1.3,1.1,2016-01-19,0642,Terra,MODIS,82,6.2,286.4,30.6,D,0
38.676,65.9602,305.3,1.7,1.3,2016-01-19,0820,Aqua,MODIS,61,6.2,291.7,10.5,D,0
37.3725,66.6984,300,1.6,1.2,2016-01-19,0820,Aqua,MODIS,11,6.2,287.3,7.5,D,0
38.5562,65.9458,304.5,1.7,1.3,2016-01-19,0820,Aqua,MODIS,59,6.2,290.8,9,D,0
41.2735,69.2529,301.1,1.1,1,2016-01-19,0821,Aqua,MODIS,45,6.2,280.5,5.5,D,0
40.3295,64.9225,305.8,1.7,1.3,2016-01-19,0821,Aqua,MODIS,47,6.2,287.6,14.9,D,0
40.8549,72.6039,300.5,1,1,2016-01-19,0821,Aqua,MODIS,37,6.2,279.7,6.7,D,0
40.5239,63.2605,301.4,2.1,1.4,2016-01-19,0821,Aqua,MODIS,47,6.2,285.4,13.8,D,0
43.0697,59.6172,316.2,1.4,1.2,2016-01-20,0723,Terra,MODIS,76,6.2,281.6,28.6,D,0
40.5165,63.3125,312.8,2.6,1.6,2016-01-20,0724,Terra,MODIS,73,6.2,286.8,51.9,D,0
40.5236,63.2828,319.2,2.6,1.6,2016-01-20,0724,Terra,MODIS,79,6.2,287.4,72.6,D,0
40.5187,63.2757,309.3,2.6,1.6,2016-01-20,0724,Terra,MODIS,68,6.2,287,36.8,D,0
40.5117,63.3054,304.8,2.6,1.6,2016-01-20,0724,Terra,MODIS,47,6.2,286.3,26.3,D,0
40.5251,63.3109,308.9,2.6,1.6,2016-01-20,0724,Terra,MODIS,61,6.2,286.9,36.9,D,0
39.5532,63.6398,304.6,1.1,1.1,2016-01-20,0903,Aqua,MODIS,44,6.2,292.4,5.1,D,0
38.6765,65.9609,308.6,1.4,1.2,2016-01-20,0903,Aqua,MODIS,65,6.2,293.8,10,D,0
40.5283,63.2908,312.1,1.1,1,2016-01-20,0904,Aqua,MODIS,72,6.2,289.5,11.7,D,0
40.5267,63.2779,324.8,1.1,1,2016-01-20,0904,Aqua,MODIS,83,6.2,289.1,25,D,0
40.5189,63.2928,346.8,1.1,1,2016-01-20,0904,Aqua,MODIS,95,6.2,292.7,62.2,D,0
40.5173,63.2799,327,1.1,1,2016-01-20,0904,Aqua,MODIS,80,6.2,291.2,26.1,D,0
43.1173,60.298,304.4,1,1,2016-01-20,0905,Aqua,MODIS,59,6.2,283.5,7.7,D,0
43.1156,60.2859,303.2,1,1,2016-01-20,0905,Aqua,MODIS,55,6.2,283.4,6.8,D,0
40.2928,63.6706,303.1,1.2,1.1,2016-01-21,0629,Terra,MODIS,34,6.2,279.8,8.4,D,0
40.8613,69.5392,305.7,1.1,1,2016-01-21,0629,Terra,MODIS,62,6.2,285.4,9,D,2
38.5603,65.952,300.5,1,1,2016-01-21,0629,Terra,MODIS,38,6.2,285.6,3.7,D,0
40.3026,63.6724,307,1.2,1.1,2016-01-21,0629,Terra,MODIS,61,6.2,280.9,12.5,D,0
40.301,63.6866,300,1.2,1.1,2016-01-21,0629,Terra,MODIS,9,6.2,280.6,7.1,D,0
38.5146,65.35,302.4,2.8,1.6,2016-01-21,0808,Aqua,MODIS,52,6.2,288.5,16.6,D,0
38.6835,65.9577,305.6,1,1,2016-01-21,1733,Terra,MODIS,65,6.2,275.3,12.6,N,0
38.6816,65.9459,302.2,1,1,2016-01-21,1733,Terra,MODIS,47,6.2,274.7,10.5,N,0
40.8633,69.5387,316.6,1.1,1.1,2016-01-21,1734,Terra,MODIS,94,6.2,274.1,23.4,N,2
40.8539,69.5407,317.1,1.1,1.1,2016-01-21,1734,Terra,MODIS,94,6.2,274.8,23.8,N,2
38.393,68.0883,315.6,1.2,1.1,2016-01-22,0851,Aqua,MODIS,75,6.2,291.3,15.8,D,0
38.3931,68.0937,324.2,1.2,1.1,2016-01-22,0851,Aqua,MODIS,83,6.2,291.3,26.8,D,0
40.5473,63.3034,310.5,1,1,2016-01-22,0851,Aqua,MODIS,70,6.2,279.2,11.9,D,0
40.8506,69.5368,310.7,1.6,1.2,2016-01-22,0851,Aqua,MODIS,70,6.2,284.8,21.2,D,2
40.4859,63.4459,300.2,1,1,2016-01-22,0851,Aqua,MODIS,30,6.2,280.7,5.3,D,0
38.3945,68.1022,311.8,1.2,1.1,2016-01-22,0851,Aqua,MODIS,56,6.2,291,11.9,D,0
41.1361,72.163,306.1,1,1,2016-01-23,0616,Terra,MODIS,55,6.2,281.2,10.1,D,0
40.4332,63.3262,304.1,2.9,1.6,2016-01-23,0934,Aqua,MODIS,44,6.2,286.8,28,D,0
40.431,63.3346,300.6,2.9,1.6,2016-01-23,0934,Aqua,MODIS,28,6.2,287.1,20.7,D,0
40.8611,69.5459,304,1.1,1,2016-01-23,2134,Aqua,MODIS,58,6.2,271.8,12.2,N,2
40.7099,70.9771,301.5,1.3,1.1,2016-01-24,0839,Aqua,MODIS,42,6.2,284.5,7.7,D,0
40.7115,70.9921,306.3,1.3,1.1,2016-01-24,0839,Aqua,MODIS,63,6.2,283.8,11,D,0
40.5006,63.3213,300.1,1.9,1.3,2016-01-25,0922,Aqua,MODIS,16,6.2,280.2,13.3,D,0
43.1798,58.2834,307,1.4,1.2,2016-01-27,0730,Terra,MODIS,65,6.2,271.2,20.4,D,0
43.1778,58.2727,312.5,1,1,2016-01-27,0911,Aqua,MODIS,73,6.2,272.4,15.1,D,0
43.5072,62.2634,322.9,1.1,1,2016-01-31,0846,Aqua,MODIS,77,6.2,269.6,26.9,D,0
40.8639,69.5398,306.2,1,1,2016-02-01,2128,Aqua,MODIS,67,6.2,271.1,12.5,N,2
40.5071,63.4251,300.5,1.1,1,2016-02-02,0653,Terra,MODIS,27,6.2,282.8,6,D,0
