latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
6.3886,-68.2017,303.8,1,1,2016-01-01,0259,Terra,MODIS,54,6.2,293,3.6,N,0
9.2369,-67.1064,306.8,1.1,1,2016-01-01,0300,Terra,MODIS,69,6.2,293.9,6.2,N,0
9.6711,-63.4867,303.7,1.8,1.3,2016-01-01,0300,Terra,MODIS,56,6.2,291.2,12.4,N,2
9.7385,-63.4837,321.1,1.9,1.3,2016-01-01,0300,Terra,MODIS,100,6.2,291.3,45.4,N,2
9.6485,-63.568,328.9,1.8,1.3,2016-01-01,0300,Terra,MODIS,100,6.2,292.3,62.3,N,2
9.3837,-64.5488,307.7,1.5,1.2,2016-01-01,0300,Terra,MODIS,72,6.2,291.7,12.6,N,2
10.0606,-64.8957,307.3,1.5,1.2,2016-01-01,0300,Terra,MODIS,65,6.2,292.6,10.7,N,2
9.624,-63.6646,302.3,1.8,1.3,2016-01-01,0300,Terra,MODIS,48,6.2,291.2,9.4,N,2
9.7407,-63.4671,321.8,1.9,1.3,2016-01-01,0300,Terra,MODIS,100,6.2,291.5,47.2,N,2
7.913,-69.0604,300.2,1,1,2016-01-01,0300,Terra,MODIS,21,6.2,289.7,3.8,N,0
8.6537,-62.7821,303.3,2,1.4,2016-01-01,0300,Terra,MODIS,54,6.2,289.9,13.9,N,2
8.6506,-66.83,307.4,1.1,1,2016-01-01,0300,Terra,MODIS,70,6.2,294,6.3,N,0
8.5301,-64.0705,302.5,1.6,1.2,2016-01-01,0300,Terra,MODIS,50,6.2,290.6,8.5,N,2
9.6157,-63.7289,339.7,1.8,1.3,2016-01-01,0300,Terra,MODIS,100,6.2,292.4,97,N,2
9.6177,-63.7129,313.7,1.8,1.3,2016-01-01,0300,Terra,MODIS,88,6.2,291.5,26,N,2
9.6294,-63.7145,305.3,1.8,1.3,2016-01-01,0300,Terra,MODIS,64,6.2,290.8,13,N,2
9.6273,-63.7305,316.4,1.8,1.3,2016-01-01,0300,Terra,MODIS,93,6.2,290.9,32.2,N,2
8.8205,-66.3323,331,1.2,1.1,2016-01-01,0300,Terra,MODIS,100,6.2,293.9,35.2,N,0
9.6539,-63.6187,346.8,1.8,1.3,2016-01-01,0300,Terra,MODIS,100,6.2,293.1,129.8,N,2
9.6518,-63.6348,325.6,1.8,1.3,2016-01-01,0300,Terra,MODIS,100,6.2,292,53.7,N,2
8.8191,-66.3428,317.8,1.2,1.1,2016-01-01,0300,Terra,MODIS,96,6.2,293.4,17.3,N,0
9.6604,-63.6252,303,1.8,1.3,2016-01-01,0300,Terra,MODIS,53,6.2,291.4,9.9,N,2
9.6603,-63.5698,307.9,1.8,1.3,2016-01-01,0300,Terra,MODIS,26,6.2,291.4,15.5,N,2
9.5853,-67.9788,307.6,1,1,2016-01-01,0300,Terra,MODIS,72,6.2,295,5.9,N,0
9.6528,-63.535,307.6,1.8,1.3,2016-01-01,0300,Terra,MODIS,72,6.2,291.4,16.5,N,2
9.6964,-63.5298,308.9,1.8,1.3,2016-01-01,0300,Terra,MODIS,76,6.2,291.2,19.5,N,2
9.7082,-63.5314,307,1.8,1.3,2016-01-01,0300,Terra,MODIS,70,6.2,290.9,16.5,N,2
11.7369,-70.1928,307.2,1,1,2016-01-01,0301,Terra,MODIS,52,6.2,294.9,6,N,2
9.6689,-63.472,301.8,1,1,2016-01-01,0551,Aqua,MODIS,44,6.2,291.6,4.3,N,2
9.646,-63.5699,331,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,292.6,30.3,N,2
9.3881,-64.5431,312.2,1.1,1.1,2016-01-01,0551,Aqua,MODIS,84,6.2,292.6,12,N,2
9.623,-63.6683,307.5,1,1,2016-01-01,0551,Aqua,MODIS,72,6.2,291.7,8.6,N,2
9.6447,-63.5606,337.8,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,292.6,40.9,N,2
10.0796,-64.8949,306.5,1.2,1.1,2016-01-01,0551,Aqua,MODIS,33,6.2,293.1,7,N,0
9.6702,-63.4812,307.1,1,1,2016-01-01,0551,Aqua,MODIS,70,6.2,291.8,7.5,N,2
9.6217,-63.6589,301.3,1,1,2016-01-01,0551,Aqua,MODIS,35,6.2,291.3,4.5,N,2
9.6551,-63.5686,313.8,1,1,2016-01-01,0551,Aqua,MODIS,88,6.2,292.4,11.5,N,2
9.7407,-63.4644,321.9,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,293,19.7,N,2
9.7421,-63.4737,331.7,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,293.1,31.8,N,2
9.6433,-63.5514,306,1,1,2016-01-01,0551,Aqua,MODIS,66,6.2,291.7,6.3,N,2
8.5298,-64.0679,308.2,1,1,2016-01-01,0551,Aqua,MODIS,74,6.2,291.5,8.6,N,2
9.2356,-64.2953,302.9,1.1,1,2016-01-01,0551,Aqua,MODIS,52,6.2,290.7,5.3,N,2
9.6231,-63.7314,300.9,1,1,2016-01-01,0551,Aqua,MODIS,28,6.2,288.6,3.6,N,2
9.6204,-63.7127,301.2,1,1,2016-01-01,0551,Aqua,MODIS,32,6.2,289.5,3.6,N,2
9.6217,-63.722,322.7,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,289.8,21.3,N,2
8.5576,-64.1314,302.5,1.1,1,2016-01-01,0551,Aqua,MODIS,49,6.2,291.3,4.9,N,2
9.6297,-63.7151,306.2,1,1,2016-01-01,0551,Aqua,MODIS,56,6.2,287.6,7.1,N,2
9.631,-63.7244,302.7,1,1,2016-01-01,0551,Aqua,MODIS,11,6.2,288.9,4.8,N,2
9.6541,-63.6258,350.2,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,294.3,65,N,2
9.6527,-63.6164,358.3,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,296.4,85.1,N,2
9.733,-63.475,311.2,1,1,2016-01-01,0551,Aqua,MODIS,82,6.2,292.4,10.2,N,2
8.8272,-66.3282,315.6,1.4,1.2,2016-01-01,0551,Aqua,MODIS,92,6.2,292.2,20.8,N,0
9.7034,-63.5264,324.6,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,292.7,23.5,N,2
9.6588,-63.5301,310,1,1,2016-01-01,0551,Aqua,MODIS,79,6.2,291.9,9,N,2
9.6514,-63.6071,304.7,1,1,2016-01-01,0551,Aqua,MODIS,49,6.2,291.9,5.2,N,2
9.6538,-63.5593,325.5,1,1,2016-01-01,0551,Aqua,MODIS,100,6.2,293.1,23.4,N,2
9.6642,-63.5672,311.9,1,1,2016-01-01,0551,Aqua,MODIS,84,6.2,292,10.3,N,2
9.6441,-63.5736,313.5,2.3,1.5,2016-01-01,1516,Terra,MODIS,51,6.2,290.1,29.2,D,2
9.6406,-63.5531,313.5,2.3,1.5,2016-01-01,1516,Terra,MODIS,58,6.2,288.6,31.7,D,2
8.1981,-64.3579,321.4,2.1,1.4,2016-01-01,1516,Terra,MODIS,74,6.2,293.9,41.3,D,0
10.0608,-64.8906,325.2,1.8,1.3,2016-01-01,1516,Terra,MODIS,80,6.2,299.6,33.1,D,2
9.5787,-67.9821,320.3,1.1,1.1,2016-01-01,1516,Terra,MODIS,42,6.2,300.9,9.1,D,0
9.5771,-67.9718,324.4,1.1,1.1,2016-01-01,1516,Terra,MODIS,75,6.2,301,14.5,D,0
8.1972,-64.3637,322.1,2.1,1.4,2016-01-01,1516,Terra,MODIS,75,6.2,294,44.1,D,0
7.9787,-62.3384,309.7,3.1,1.7,2016-01-01,1516,Terra,MODIS,43,6.2,291.8,20.8,D,0
11.7349,-70.1927,320.9,1,1,2016-01-01,1516,Terra,MODIS,50,6.2,302.4,7.9,D,2
10.0947,-67.6112,313.4,1.2,1.1,2016-01-01,1516,Terra,MODIS,44,6.2,299.3,6.3,D,0
10.1695,-67.9421,322.3,1.1,1.1,2016-01-01,1516,Terra,MODIS,51,6.2,298.7,6.6,D,0
8.1817,-64.7389,326.2,2,1.4,2016-01-01,1516,Terra,MODIS,79,6.2,298.5,46.6,D,0
9.7739,-68.0548,314.6,1.1,1.1,2016-01-01,1516,Terra,MODIS,54,6.2,299.2,7.1,D,0
10.1733,-68.2548,312.6,1.1,1,2016-01-01,1516,Terra,MODIS,42,6.2,297.9,5.8,D,0
10.2279,-67.5349,322.8,1.2,1.1,2016-01-01,1516,Terra,MODIS,43,6.2,297.6,11.6,D,0
