latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
30.3919,7.9123,302.3,1.7,1.3,2017-01-01,0100,Aqua,MODIS,48,6.2,273.4,22.7,N,0
31.234,8.5656,348.6,1.6,1.2,2017-01-01,0100,Aqua,MODIS,100,6.2,277,124.5,N,0
30.1876,7.6897,306.2,1.7,1.3,2017-01-01,0100,Aqua,MODIS,67,6.2,272.8,28.4,N,0
31.0137,8.1625,325,1.6,1.3,2017-01-01,0100,Aqua,MODIS,100,6.2,275.4,58.6,N,2
31.0119,8.1795,302.9,1.6,1.3,2017-01-01,0100,Aqua,MODIS,52,6.2,275.1,21.5,N,2
29.6929,6.7095,316.7,2,1.4,2017-01-01,0101,Aqua,MODIS,94,6.2,276.8,52.7,N,2
36.8736,6.9426,300,3,1.6,2017-01-01,1202,Aqua,MODIS,14,6.2,284.3,22.7,D,2
28.7366,9.7927,301.1,1.1,1,2017-01-01,2125,Terra,MODIS,37,6.2,273.8,10.6,N,2
31.8395,5.9758,302,1.5,1.2,2017-01-01,2126,Terra,MODIS,46,6.2,275.1,17.8,N,2
31.8367,5.9604,304.5,1.5,1.2,2017-01-01,2126,Terra,MODIS,60,6.2,275.3,20.4,N,2
31.5912,5.9599,306.1,1.5,1.2,2017-01-01,2126,Terra,MODIS,67,6.2,274.7,23,N,2
31.8623,6.1603,318.7,1.4,1.2,2017-01-01,2126,Terra,MODIS,97,6.2,275.9,37.9,N,2
31.0169,8.1684,341.6,1.2,1.1,2017-01-01,2126,Terra,MODIS,100,6.2,275.8,64.3,N,2
31.865,6.1752,316.5,1.4,1.2,2017-01-01,2126,Terra,MODIS,93,6.2,276.1,34.5,N,2
31.0149,8.1564,345.7,1.2,1.1,2017-01-01,2126,Terra,MODIS,100,6.2,278.1,73.5,N,2
35.8086,-0.266,301.8,3,1.6,2017-01-01,2128,Terra,MODIS,44,6.2,279.9,43.9,N,2
35.8085,-0.2574,302.2,1.4,1.2,2017-01-02,0142,Aqua,MODIS,48,6.2,277.5,14.2,N,2
31.5939,5.955,316.4,1.2,1.1,2017-01-02,0143,Aqua,MODIS,93,6.2,273.2,26.2,N,2
31.8375,5.98,300.4,1.2,1.1,2017-01-02,0143,Aqua,MODIS,27,6.2,273.1,12,N,2
31.8396,5.9678,300.4,1.2,1.1,2017-01-02,0143,Aqua,MODIS,27,6.2,273.3,12,N,2
31.667,6.0681,305.2,1.2,1.1,2017-01-02,0143,Aqua,MODIS,63,6.2,276,15.4,N,2
31.6691,6.0557,302.3,1.2,1.1,2017-01-02,0143,Aqua,MODIS,48,6.2,276.2,13.1,N,2
31.5919,5.9673,306.9,1.2,1.1,2017-01-02,0143,Aqua,MODIS,69,6.2,272.7,17.2,N,2
31.8678,6.1719,333.4,1.2,1.1,2017-01-02,0143,Aqua,MODIS,100,6.2,274.9,51.1,N,2
35.8103,-0.2623,306.8,1.2,1.1,2017-01-02,1108,Terra,MODIS,49,6.2,284.6,11.1,D,2
35.808,-0.2493,313.8,1.2,1.1,2017-01-02,1108,Terra,MODIS,56,6.2,285,17.5,D,2
31.6622,6.0585,329.2,1.1,1,2017-01-02,1244,Aqua,MODIS,83,6.2,293,26.8,D,2
31.7987,6.0505,308.2,1.1,1,2017-01-02,1244,Aqua,MODIS,42,6.2,291,5.7,D,2
35.8066,-0.2553,309.3,1.9,1.3,2017-01-02,1245,Aqua,MODIS,52,6.2,286.6,23.3,D,2
31.6615,6.0543,306.5,1.8,1.3,2017-01-02,2209,Terra,MODIS,68,6.2,275.7,28.9,N,2
31.801,6.0664,302,1.8,1.3,2017-01-02,2209,Terra,MODIS,46,6.2,274.7,22.7,N,2
31.8657,6.1659,323.6,1.8,1.3,2017-01-02,2209,Terra,MODIS,100,6.2,274.6,63.9,N,2
31.8345,5.9631,301.6,1.7,1.3,2017-01-02,2209,Terra,MODIS,43,6.2,273.4,22.5,N,2
31.7992,6.048,300.7,1.8,1.3,2017-01-02,2209,Terra,MODIS,32,6.2,274.7,21,N,2
31.5851,5.9595,301.7,1.7,1.3,2017-01-02,2209,Terra,MODIS,43,6.2,273.1,22.4,N,2
30.2634,8.0727,315,2.6,1.6,2017-01-03,0048,Aqua,MODIS,90,6.2,272.7,77.7,N,0
30.2611,8.1001,333.7,2.6,1.6,2017-01-03,0048,Aqua,MODIS,100,6.2,274.7,161.1,N,0
31.0251,8.1538,312.9,2.7,1.6,2017-01-03,0048,Aqua,MODIS,86,6.2,271.6,70.4,N,0
30.251,8.1068,323.4,2.6,1.6,2017-01-03,0048,Aqua,MODIS,100,6.2,273.2,108.8,N,0
31.2373,8.5474,302.5,2.5,1.5,2017-01-03,0048,Aqua,MODIS,49,6.2,272.5,40.6,N,0
31.2352,8.5736,338.1,2.5,1.5,2017-01-03,0048,Aqua,MODIS,100,6.2,274.3,176.4,N,0
31.2272,8.5678,334.6,2.5,1.5,2017-01-03,0048,Aqua,MODIS,100,6.2,273.4,151.6,N,0
