latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.608,47.0907,304.1,1.2,1.1,2017-01-04,0736,Terra,MODIS,58,6.2,283.9,9.7,D,0
40.7289,47.2618,300.1,1.2,1.1,2017-01-04,0736,Terra,MODIS,27,6.2,281.3,7.9,D,0
40.7273,47.2755,314.7,1.2,1.1,2017-01-04,0736,Terra,MODIS,75,6.2,281.1,19.9,D,0
40.1573,46.495,305.3,1.2,1.1,2017-01-04,0737,Terra,MODIS,61,6.2,283.6,12.5,D,0
39.9116,48.3581,340.5,1.1,1,2017-01-04,0737,Terra,MODIS,92,6.2,283.6,50.9,D,0
39.6469,47.7025,303.4,1.1,1,2017-01-04,0737,Terra,MODIS,56,6.2,283.4,8.5,D,0
39.9101,48.3703,319.2,1.1,1,2017-01-04,0737,Terra,MODIS,79,6.2,282.8,21.1,D,0
39.4392,48.313,301.2,2.6,1.6,2017-01-04,0916,Aqua,MODIS,45,6.2,288.4,20.5,D,0
39.4439,48.3041,301.3,2.6,1.6,2017-01-04,0916,Aqua,MODIS,46,6.2,288.4,20.5,D,0
40.1252,48.5015,303.3,1,1,2017-01-05,0959,Aqua,MODIS,56,6.2,285,7.5,D,0
40.6582,47.3375,301.9,1,1,2017-01-05,0959,Aqua,MODIS,50,6.2,282.7,6.7,D,0
39.6996,47.613,322.8,1.5,1.2,2017-01-06,0724,Terra,MODIS,82,6.2,283,40.5,D,0
39.7026,47.6012,303.5,1.5,1.2,2017-01-06,0724,Terra,MODIS,56,6.2,282.6,14,D,0
39.7009,47.6191,315.8,1.5,1.2,2017-01-06,0724,Terra,MODIS,76,6.2,282.7,30.2,D,0
39.7022,47.593,302.7,4.3,1.9,2017-01-06,0904,Aqua,MODIS,53,6.2,287.2,45.4,D,0
40.412,47.4921,301.1,3.4,1.7,2017-01-06,1042,Aqua,MODIS,44,6.2,285.6,28.6,D,0
39.1775,46.7275,300.3,1.2,1.1,2017-01-07,0946,Aqua,MODIS,33,6.2,286.9,6.5,D,0
40.1351,46.4638,302.6,1.2,1.1,2017-01-07,0947,Aqua,MODIS,49,6.2,288.2,8.5,D,0
41.1507,47.0868,306.2,1.1,1.1,2017-01-07,0947,Aqua,MODIS,63,6.2,283.7,10.2,D,0
41.1566,47.0934,303,1.1,1.1,2017-01-07,0947,Aqua,MODIS,54,6.2,282.8,8.4,D,0
39.7343,47.9139,303.5,2.3,1.5,2017-01-08,1029,Aqua,MODIS,56,6.2,291.8,15.6,D,0
39.772,48.0725,304.5,2.3,1.5,2017-01-08,1029,Aqua,MODIS,59,6.2,293,17.7,D,0
39.7367,47.9213,303.9,2.3,1.5,2017-01-08,1029,Aqua,MODIS,50,6.2,291.6,15.8,D,0
40.6942,48.7892,305,1.1,1.1,2017-01-09,0755,Terra,MODIS,60,6.2,280.6,10.1,D,0
40.6965,48.7762,304.5,1.1,1.1,2017-01-09,0755,Terra,MODIS,59,6.2,283.2,9.8,D,0
41.1111,47.1864,301.4,1.5,1.2,2017-01-09,0935,Aqua,MODIS,46,6.2,282.9,11.8,D,0
39.3089,46.6164,302.3,1,1,2017-01-12,1005,Aqua,MODIS,45,6.2,283.2,6.6,D,0
40.196,48.1838,307.6,1,1,2017-01-14,0953,Aqua,MODIS,66,6.2,284,9.7,D,0
39.2528,46.8767,320.3,1.1,1,2017-01-14,0953,Aqua,MODIS,80,6.2,284.3,20.9,D,0
40.2739,48.4649,308.4,1,1,2017-01-14,0953,Aqua,MODIS,67,6.2,282.9,9.9,D,0
40.5583,47.4512,319.5,1,1,2017-01-14,0953,Aqua,MODIS,79,6.2,283.1,19.9,D,0
39.8004,47.8876,301.5,1,1,2017-01-14,0953,Aqua,MODIS,48,6.2,285.5,5.7,D,0
39.2249,46.7178,300.8,1.2,1.1,2017-01-23,0947,Aqua,MODIS,42,6.2,286.4,6.4,D,0
39.9422,48.5653,306.9,1,1,2017-01-23,0947,Aqua,MODIS,64,6.2,286.3,9.1,D,0
40.147,46.4784,317.7,1.2,1.1,2017-01-23,0947,Aqua,MODIS,78,6.2,284.2,22,D,0
40.1457,46.4852,318.7,1.2,1.1,2017-01-23,0947,Aqua,MODIS,79,6.2,283.5,23.4,D,0
40.0219,48.5937,301.1,1,1,2017-01-23,0947,Aqua,MODIS,45,6.2,286,5.7,D,0
40.7357,47.1278,332.7,1.1,1.1,2017-01-23,0947,Aqua,MODIS,88,6.2,284.2,40.3,D,0
39.9441,48.5773,301.2,1,1,2017-01-23,0947,Aqua,MODIS,45,6.2,285.6,5.6,D,0
40.2534,47.7252,302.5,1.1,1,2017-01-23,0947,Aqua,MODIS,53,6.2,286.3,6.8,D,0
39.1929,46.7324,305.3,1.9,1.3,2017-01-24,1029,Aqua,MODIS,61,6.2,288,16.9,D,0
39.3153,46.6858,303,1.9,1.3,2017-01-24,1030,Aqua,MODIS,54,6.2,286.3,12.6,D,0
39.4652,46.606,305.3,1.9,1.3,2017-01-24,1030,Aqua,MODIS,61,6.2,285.6,17.3,D,0
40.6461,47.5935,310.9,1.5,1.2,2017-01-26,1018,Aqua,MODIS,71,6.2,286.6,19.4,D,0
40.6478,47.6109,300.2,1.5,1.2,2017-01-26,1018,Aqua,MODIS,30,6.2,286.4,7.6,D,0
39.5709,48.8973,301,1,1,2017-02-06,0959,Aqua,MODIS,44,6.2,289.5,4.3,D,0
39.5725,48.9094,306,1,1,2017-02-06,0959,Aqua,MODIS,63,6.2,289,7.3,D,0
39.8352,48.4218,301.8,1.3,1.1,2017-02-20,1011,Aqua,MODIS,49,6.2,290,6.3,D,0
40.6627,47.4976,300.2,2,1.4,2017-02-22,0819,Terra,MODIS,30,6.2,286.9,11.3,D,0
40.3668,47.6177,300.6,2.1,1.4,2017-02-22,0819,Terra,MODIS,39,6.2,288.3,12.1,D,0
40.6018,48.6824,304.2,2.4,1.5,2017-02-22,0819,Terra,MODIS,58,6.2,276.5,29.1,D,0
40.6042,48.6589,312.8,2.3,1.5,2017-02-22,0819,Terra,MODIS,72,6.2,275.3,46.6,D,0
40.3675,47.6245,301.1,2.1,1.4,2017-02-22,0819,Terra,MODIS,44,6.2,288.2,12.1,D,0
40.2927,47.9193,304,1,1,2017-02-22,0959,Aqua,MODIS,55,6.2,291.9,4,D,0
40.2956,47.6034,307,1,1,2017-02-22,0959,Aqua,MODIS,65,6.2,291,5.9,D,0
39.5516,48.4967,301.5,1,1,2017-02-22,0959,Aqua,MODIS,47,6.2,291.3,4,D,0
39.3688,48.9987,302.3,1.1,1,2017-02-22,0959,Aqua,MODIS,41,6.2,289.7,3.7,D,0
39.4499,48.8382,306.9,1,1,2017-02-22,0959,Aqua,MODIS,64,6.2,293.6,6.4,D,0
39.4774,48.8512,304.1,1,1,2017-02-22,0959,Aqua,MODIS,58,6.2,293.5,4.2,D,0
39.628,49.011,305.4,1.1,1,2017-02-22,0959,Aqua,MODIS,61,6.2,287.6,6.1,D,0
39.7701,48.9804,305,1.1,1,2017-02-22,0959,Aqua,MODIS,57,6.2,290.9,5.5,D,0
40.5475,48.031,310.6,1,1,2017-02-22,0959,Aqua,MODIS,70,6.2,291.4,8.9,D,0
40.5318,47.8442,305.3,1,1,2017-02-22,0959,Aqua,MODIS,61,6.2,288.8,6.2,D,0
39.9055,47.5168,306,1,1,2017-02-22,0959,Aqua,MODIS,63,6.2,295.6,3.9,D,0
39.9136,47.7067,310.6,1,1,2017-02-22,0959,Aqua,MODIS,70,6.2,292.3,8.8,D,0
40.3456,47.5604,302.7,1,1,2017-02-22,0959,Aqua,MODIS,53,6.2,291.2,3.9,D,0
40.3626,47.6168,302.5,1,1,2017-02-22,0959,Aqua,MODIS,53,6.2,292.1,3.7,D,0
40.3756,47.5774,309.9,1,1,2017-02-22,0959,Aqua,MODIS,69,6.2,290.9,8.4,D,0
40.3739,47.5657,312.3,1,1,2017-02-22,0959,Aqua,MODIS,72,6.2,291.6,10.1,D,0
40.4123,47.6479,305.7,1,1,2017-02-22,0959,Aqua,MODIS,62,6.2,290.1,6.3,D,0
40.4107,47.6362,302.2,1,1,2017-02-22,0959,Aqua,MODIS,51,6.2,290.6,4.3,D,0
40.4309,47.7163,305.6,1,1,2017-02-22,0959,Aqua,MODIS,62,6.2,289.9,6,D,0
40.4293,47.7046,301.2,1,1,2017-02-22,0959,Aqua,MODIS,45,6.2,290.2,3.3,D,0
40.0876,48.3759,306,1,1,2017-02-22,0959,Aqua,MODIS,63,6.2,291.7,5.8,D,0
39.8202,48.5166,305.2,1,1,2017-02-22,0959,Aqua,MODIS,60,6.2,292.1,5.2,D,0
39.812,48.3836,306.6,1,1,2017-02-22,0959,Aqua,MODIS,64,6.2,291.9,5.7,D,0
39.8379,48.439,307.6,1,1,2017-02-22,0959,Aqua,MODIS,66,6.2,292.1,6.6,D,0
39.9037,48.3073,303.9,1,1,2017-02-22,0959,Aqua,MODIS,57,6.2,291.9,4.6,D,0
39.9341,48.1973,301.8,1,1,2017-02-22,0959,Aqua,MODIS,49,6.2,291.6,3.1,D,0
40.0193,48.3491,303.2,1,1,2017-02-22,0959,Aqua,MODIS,55,6.2,291.8,4.8,D,0
39.5656,48.3234,304.8,1,1,2017-02-22,0959,Aqua,MODIS,60,6.2,291,5.4,D,0
40.4811,47.4068,303.4,1,1,2017-02-22,0959,Aqua,MODIS,56,6.2,290.3,4.4,D,0
40.0982,47.3075,303.6,1,1,2017-02-22,0959,Aqua,MODIS,57,6.2,293.4,2.9,D,0
40.468,47.8536,300.1,1,1,2017-02-22,0959,Aqua,MODIS,29,6.2,289.8,3.2,D,0
40.4193,47.761,308.4,1,1,2017-02-22,0959,Aqua,MODIS,67,6.2,289.8,8.1,D,0
40.4209,47.7728,316.4,1,1,2017-02-22,0959,Aqua,MODIS,77,6.2,290.2,14.4,D,0
40.4345,47.9403,301.9,1,1,2017-02-22,0959,Aqua,MODIS,50,6.2,290.2,4,D,0
40.4082,48.0199,303.5,1,1,2017-02-22,0959,Aqua,MODIS,56,6.2,291,4.7,D,0
40.3535,47.7523,307.3,1,1,2017-02-22,0959,Aqua,MODIS,65,6.2,290,7,D,0
40.3551,47.7641,300.2,1,1,2017-02-22,0959,Aqua,MODIS,32,6.2,289.5,2.8,D,0
39.7283,49.0088,303.3,1.1,1,2017-02-22,0959,Aqua,MODIS,52,6.2,291,4.1,D,0
40.0726,47.5244,303.4,1,1,2017-02-22,0959,Aqua,MODIS,56,6.2,291.9,3.8,D,0
40.1792,48.0311,302.9,1,1,2017-02-22,0959,Aqua,MODIS,54,6.2,291.7,3.9,D,0
