latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.4641,1.6191,300.7,2.6,1.5,2017-01-01,0106,Aqua,MODIS,33,6.2,288.9,22.2,N,0
11.7094,0.7796,321.5,1,1,2017-01-01,1031,Terra,MODIS,50,6.2,306.3,6.8,D,0
11.258,-0.3738,327.6,1.1,1,2017-01-01,1031,Terra,MODIS,64,6.2,307.1,13.6,D,0
11.3593,-2.5275,322,1.4,1.2,2017-01-01,1031,Terra,MODIS,63,6.2,307.1,12.1,D,0
11.2594,-0.3836,335.2,1.1,1,2017-01-01,1031,Terra,MODIS,83,6.2,307.9,25.3,D,0
11.2608,-0.3933,321.6,1.1,1,2017-01-01,1031,Terra,MODIS,40,6.2,306.8,7.3,D,0
11.2068,-3.8993,320.6,1.8,1.3,2017-01-01,1031,Terra,MODIS,61,6.2,305.9,17,D,0
11.2751,-0.3615,321.8,1.1,1,2017-01-01,1031,Terra,MODIS,60,6.2,308.4,7.8,D,0
11.2765,-0.3712,323.1,1.1,1,2017-01-01,1031,Terra,MODIS,53,6.2,308.4,8.8,D,0
12.3722,-2.7595,325.4,1.5,1.2,2017-01-01,1031,Terra,MODIS,72,6.2,306.6,21.8,D,0
12.3763,-2.7663,321.7,1.5,1.2,2017-01-01,1031,Terra,MODIS,65,6.2,306.6,13.2,D,0
11.6226,1.2434,321.8,1,1,2017-01-01,1031,Terra,MODIS,45,6.2,306.3,6.2,D,0
11.8645,-1.7308,319.6,1.3,1.1,2017-01-01,1031,Terra,MODIS,54,6.2,305.6,8.9,D,0
11.4681,1.6031,332.7,1,1,2017-01-01,1031,Terra,MODIS,80,6.2,307.3,17.9,D,0
12.134,2.1444,323.2,1,1,2017-01-01,1031,Terra,MODIS,54,6.2,305.2,10.6,D,0
12.1416,2.155,321.5,1,1,2017-01-01,1031,Terra,MODIS,43,6.2,303.1,8.8,D,0
11.611,1.2602,322.2,1,1,2017-01-01,1031,Terra,MODIS,44,6.2,307,6.3,D,0
11.8661,-1.7423,332.6,1.3,1.1,2017-01-01,1031,Terra,MODIS,81,6.2,306.6,30.3,D,0
11.2479,-0.8888,323.3,1.1,1.1,2017-01-01,1031,Terra,MODIS,66,6.2,308,10.9,D,0
11.277,-2.5187,320.1,1.4,1.2,2017-01-01,1031,Terra,MODIS,55,6.2,307,9.1,D,0
11.7893,-4.7787,316.9,2.1,1.4,2017-01-01,1031,Terra,MODIS,51,6.2,303.4,14.4,D,0
11.7869,-4.7597,318.6,2.1,1.4,2017-01-01,1031,Terra,MODIS,59,6.2,304.7,19.3,D,0
11.9972,2.1361,321.5,1,1,2017-01-01,1031,Terra,MODIS,64,6.2,305.4,7.5,D,0
11.3444,1.193,321.8,1,1,2017-01-01,1031,Terra,MODIS,60,6.2,307.4,7.5,D,0
11.3576,-2.5148,321.3,1.4,1.2,2017-01-01,1031,Terra,MODIS,41,6.2,306.9,10,D,0
12.8768,-1.0814,323.4,1.2,1.1,2017-01-01,1031,Terra,MODIS,69,6.2,304.9,13.9,D,0
12.9102,-3.0993,319.1,1.6,1.3,2017-01-01,1031,Terra,MODIS,58,6.2,304.9,10.8,D,0
11.9598,2.2622,317.8,1,1,2017-01-01,1031,Terra,MODIS,25,6.2,304.5,4.7,D,0
11.4668,1.6121,341,1,1,2017-01-01,1031,Terra,MODIS,88,6.2,309.5,30.4,D,0
11.3899,-1.9929,320.7,1.3,1.1,2017-01-01,1031,Terra,MODIS,58,6.2,305.2,10.4,D,0
12.1322,-2.8316,325,1.5,1.2,2017-01-01,1031,Terra,MODIS,71,6.2,305.3,24.2,D,0
12.1304,-2.8179,321.4,1.5,1.2,2017-01-01,1031,Terra,MODIS,64,6.2,304.8,16.8,D,0
11.4922,2.0599,322.8,1,1,2017-01-01,1031,Terra,MODIS,65,6.2,305.6,9.6,D,0
11.9612,2.253,347.9,1,1,2017-01-01,1031,Terra,MODIS,93,6.2,304.9,48.5,D,0
11.4832,2.0585,318.7,1,1,2017-01-01,1031,Terra,MODIS,34,6.2,305.8,5.8,D,0
11.2519,-2.3309,321,1.4,1.2,2017-01-01,1031,Terra,MODIS,58,6.2,305.6,11.7,D,0
12.8984,-2.5824,325.7,1.5,1.2,2017-01-01,1031,Terra,MODIS,73,6.2,304,23.9,D,0
11.4641,1.6303,332.7,1,1,2017-01-01,1031,Terra,MODIS,80,6.2,309.6,18.5,D,0
11.4654,1.6212,341.4,1,1,2017-01-01,1031,Terra,MODIS,88,6.2,310.5,31.5,D,0
11.0931,-0.5094,322.9,1.1,1,2017-01-01,1031,Terra,MODIS,64,6.2,307.5,9.3,D,0
12.3054,0.9231,316.6,1,1,2017-01-01,1031,Terra,MODIS,36,6.2,304.4,4.8,D,0
11.1024,-0.5081,321.3,1.1,1,2017-01-01,1031,Terra,MODIS,57,6.2,307.1,7,D,0
12.9012,-2.5753,321.5,1.5,1.2,2017-01-01,1031,Terra,MODIS,65,6.2,304.4,15.4,D,0
12.304,0.9323,320.7,1,1,2017-01-01,1031,Terra,MODIS,63,6.2,305.1,8.5,D,0
9.5796,-2.855,320.4,1.4,1.2,2017-01-01,1032,Terra,MODIS,56,6.2,307,8.8,D,0
10.0585,-3.4417,322.7,1.6,1.2,2017-01-01,1032,Terra,MODIS,36,6.2,305.9,13.9,D,0
10.0475,-3.4432,327.4,1.6,1.2,2017-01-01,1032,Terra,MODIS,74,6.2,307.5,25.2,D,0
9.5779,-2.8424,323.8,1.4,1.2,2017-01-01,1032,Terra,MODIS,67,6.2,307.7,14.3,D,0
10.0494,-3.4571,325.5,1.6,1.2,2017-01-01,1032,Terra,MODIS,71,6.2,306.6,21.9,D,0
9.4422,-2.7526,321.3,1.4,1.2,2017-01-01,1032,Terra,MODIS,59,6.2,307.6,9.1,D,0
10.8674,-4.1205,325.6,1.2,1.1,2017-01-01,1333,Aqua,MODIS,55,6.2,312.1,9.4,D,0
11.3416,-2.0362,344,1,1,2017-01-01,1333,Aqua,MODIS,88,6.2,312.7,35.5,D,0
11.3403,-2.0453,333.8,1,1,2017-01-01,1333,Aqua,MODIS,77,6.2,310.9,18.8,D,0
11.1483,-2.283,334,1,1,2017-01-01,1333,Aqua,MODIS,76,6.2,312.8,17.3,D,0
11.2755,-0.3697,329.5,1,1,2017-01-01,1333,Aqua,MODIS,62,6.2,315.4,10.1,D,0
11.1469,-2.2923,326.1,1,1,2017-01-01,1333,Aqua,MODIS,38,6.2,312.1,6.4,D,0
10.01,-4.6385,325.4,1.4,1.2,2017-01-01,1333,Aqua,MODIS,63,6.2,312,12.2,D,0
11.2768,-0.3605,326.9,1,1,2017-01-01,1333,Aqua,MODIS,47,6.2,314.1,6.9,D,0
11.098,-0.5198,352.3,1,1,2017-01-01,1333,Aqua,MODIS,95,6.2,313.7,50.9,D,0
11.0993,-0.5106,348.8,1,1,2017-01-01,1333,Aqua,MODIS,92,6.2,314.3,43.4,D,0
10.2054,-3.622,327.4,1.2,1.1,2017-01-01,1333,Aqua,MODIS,43,6.2,311.6,12,D,0
10.2202,-3.6081,329.4,1.2,1.1,2017-01-01,1333,Aqua,MODIS,68,6.2,312.3,15.9,D,0
10.0613,-3.442,370.1,1.2,1.1,2017-01-01,1333,Aqua,MODIS,100,6.2,314.4,122.2,D,0
9.794,-4.5048,328.2,1.3,1.1,2017-01-01,1333,Aqua,MODIS,60,6.2,315.1,13.4,D,0
9.7949,-4.5108,329.6,1.3,1.1,2017-01-01,1333,Aqua,MODIS,73,6.2,313.9,14.7,D,0
11.4675,1.63,329,1.2,1.1,2017-01-01,1333,Aqua,MODIS,66,6.2,314.3,11.5,D,0
11.6845,2.199,323.1,1.4,1.2,2017-01-01,1333,Aqua,MODIS,27,6.2,309,6.7,D,0
11.463,1.5963,330.1,1.2,1.1,2017-01-01,1333,Aqua,MODIS,64,6.2,314.4,12.9,D,0
11.8949,2.2458,326.5,1.4,1.2,2017-01-01,1333,Aqua,MODIS,58,6.2,307.2,16,D,0
10.0598,-3.4523,335.9,1.2,1.1,2017-01-01,1333,Aqua,MODIS,79,6.2,312.2,24,D,0
10.5498,-4.5882,324.5,1.3,1.1,2017-01-01,1333,Aqua,MODIS,56,6.2,312.7,10.3,D,0
10.8813,-2.8991,329.7,1.1,1,2017-01-01,1333,Aqua,MODIS,67,6.2,316.7,9.5,D,0
11.2711,-2.5188,332.4,1,1,2017-01-01,1333,Aqua,MODIS,74,6.2,313.6,15.3,D,0
11.2724,-2.5094,328.5,1,1,2017-01-01,1333,Aqua,MODIS,65,6.2,313.6,10.3,D,0
11.4104,-1.4977,330,1,1,2017-01-01,1333,Aqua,MODIS,70,6.2,313.6,12.7,D,0
11.4723,2.0493,323.9,1.3,1.1,2017-01-01,1333,Aqua,MODIS,31,6.2,310.2,10.5,D,0
11.2442,-2.0054,329.9,1,1,2017-01-01,1333,Aqua,MODIS,68,6.2,312.1,13.5,D,0
11.4722,2.0545,324.2,1.3,1.1,2017-01-01,1333,Aqua,MODIS,28,6.2,309.5,10.1,D,0
11.2525,-2.1382,325.3,1,1,2017-01-01,1333,Aqua,MODIS,47,6.2,311.6,7.9,D,0
11.2429,-2.0146,337.7,1,1,2017-01-01,1333,Aqua,MODIS,82,6.2,313.5,25,D,0
11.5332,-0.8302,329.6,1,1,2017-01-01,1333,Aqua,MODIS,70,6.2,311.8,12.6,D,0
10.1247,-4.625,335.2,1.4,1.2,2017-01-01,1333,Aqua,MODIS,81,6.2,312.6,31,D,0
10.1229,-4.6373,325.9,1.4,1.2,2017-01-01,1333,Aqua,MODIS,65,6.2,311.9,11.9,D,0
11.8965,2.2582,328.5,1.4,1.2,2017-01-01,1333,Aqua,MODIS,64,6.2,309.4,19.9,D,0
12.4808,-3.4206,325.7,1.1,1,2017-01-01,1334,Aqua,MODIS,61,6.2,312.7,7.7,D,0
11.3319,-2.7276,332,1.1,1,2017-01-01,1334,Aqua,MODIS,73,6.2,314.2,13.7,D,0
11.3481,-2.6814,328.5,1.1,1,2017-01-01,1334,Aqua,MODIS,65,6.2,313.7,10.2,D,0
11.3078,-4.1186,330.8,1.2,1.1,2017-01-01,1334,Aqua,MODIS,73,6.2,314.2,16.5,D,0
11.2662,-3.5314,326.4,1.1,1.1,2017-01-01,1334,Aqua,MODIS,48,6.2,312.4,9.8,D,0
11.1347,-4.7185,328.9,1.3,1.1,2017-01-01,1334,Aqua,MODIS,71,6.2,311.9,20.1,D,0
12.3969,-3.971,325.4,1.2,1.1,2017-01-01,1334,Aqua,MODIS,59,6.2,312.7,8.7,D,0
11.589,-3.9605,332.8,1.2,1.1,2017-01-01,1334,Aqua,MODIS,76,6.2,314.9,19,D,0
11.3094,-4.1077,333,1.2,1.1,2017-01-01,1334,Aqua,MODIS,77,6.2,314.3,20.6,D,0
11.5477,-1.9487,324.2,1,1,2017-01-01,1334,Aqua,MODIS,38,6.2,310.5,6.6,D,0
11.9912,2.1261,333.6,1.4,1.2,2017-01-01,1334,Aqua,MODIS,79,6.2,310.6,27.5,D,0
11.9227,-0.0208,336.9,1.1,1,2017-01-01,1334,Aqua,MODIS,82,6.2,313.4,24.1,D,0
11.9213,-0.0304,335.9,1.1,1,2017-01-01,1334,Aqua,MODIS,81,6.2,312.4,23,D,0
11.1577,-3.6986,325.8,1.2,1.1,2017-01-01,1334,Aqua,MODIS,55,6.2,313.4,10.1,D,0
11.2101,-3.8978,325.8,1.2,1.1,2017-01-01,1334,Aqua,MODIS,59,6.2,313.8,10.7,D,0
11.5868,-3.2998,326.2,1.1,1,2017-01-01,1334,Aqua,MODIS,47,6.2,313.3,9.5,D,0
11.5491,-1.9396,325.9,1,1,2017-01-01,1334,Aqua,MODIS,56,6.2,311.7,8.8,D,0
12.1581,-3.3045,325.7,1.1,1,2017-01-01,1334,Aqua,MODIS,59,6.2,313.5,7.4,D,0
11.5952,-5.0424,325.2,1.4,1.2,2017-01-01,1334,Aqua,MODIS,62,6.2,312.3,11.1,D,0
11.9128,-4.7779,333.9,1.3,1.1,2017-01-01,1334,Aqua,MODIS,79,6.2,312.5,27.3,D,0
11.4857,-1.7372,326.9,1,1,2017-01-01,1334,Aqua,MODIS,61,6.2,309.5,10.2,D,0
12.3108,0.9272,322.7,1.2,1.1,2017-01-01,1334,Aqua,MODIS,38,6.2,309.4,8.3,D,0
11.2723,-4.9527,331.6,1.4,1.2,2017-01-01,1334,Aqua,MODIS,76,6.2,310.7,26.3,D,0
12.5857,-1.708,327.6,1,1,2017-01-01,1334,Aqua,MODIS,67,6.2,310.5,11.6,D,0
11.5768,-3.4936,326.3,1.1,1.1,2017-01-01,1334,Aqua,MODIS,59,6.2,313.3,9.4,D,0
11.667,-5.0344,331,1.4,1.2,2017-01-01,1334,Aqua,MODIS,75,6.2,312.7,23.6,D,0
11.665,-5.0469,326.7,1.4,1.2,2017-01-01,1334,Aqua,MODIS,66,6.2,312.8,14.9,D,0
12.102,-2.1883,326.1,1,1,2017-01-01,1334,Aqua,MODIS,59,6.2,312.5,8.2,D,0
11.911,-4.7897,331.4,1.3,1.1,2017-01-01,1334,Aqua,MODIS,75,6.2,311.1,22.9,D,0
12.3012,0.9286,323,1.2,1.1,2017-01-01,1334,Aqua,MODIS,54,6.2,309.8,8.7,D,0
12.5547,-2.7416,327,1,1,2017-01-01,1334,Aqua,MODIS,65,6.2,312.7,9.8,D,0
12.1414,-3.3526,325.8,1.1,1,2017-01-01,1334,Aqua,MODIS,59,6.2,313.1,9,D,0
12.1429,-3.3427,326.2,1.1,1,2017-01-01,1334,Aqua,MODIS,61,6.2,312.6,9.2,D,0
12.1241,2.1138,328.4,1.4,1.2,2017-01-01,1334,Aqua,MODIS,58,6.2,307.8,18.6,D,0
11.5906,-3.9497,329,1.2,1.1,2017-01-01,1334,Aqua,MODIS,69,6.2,314.8,12.7,D,0
12.0032,2.1371,327.4,1.4,1.2,2017-01-01,1334,Aqua,MODIS,68,6.2,309.8,15.1,D,0
11.9928,2.1385,335.6,1.4,1.2,2017-01-01,1334,Aqua,MODIS,81,6.2,311.2,31.7,D,0
11.5283,-4.3554,325.4,1.2,1.1,2017-01-01,1334,Aqua,MODIS,54,6.2,311.8,10.8,D,0
11.7873,-4.8611,325.3,1.3,1.1,2017-01-01,1334,Aqua,MODIS,31,6.2,309.8,12.2,D,0
11.7993,-4.8508,328.6,1.3,1.1,2017-01-01,1334,Aqua,MODIS,70,6.2,309.6,17.4,D,0
11.7974,-4.8629,324.1,1.3,1.1,2017-01-01,1334,Aqua,MODIS,43,6.2,309,9.8,D,0
12.8935,-2.574,337.4,1,1,2017-01-01,1334,Aqua,MODIS,83,6.2,312.5,23.9,D,0
12.8922,-2.5833,339,1,1,2017-01-01,1334,Aqua,MODIS,84,6.2,313.1,26.6,D,0
12.9012,-2.5847,325.1,1,1,2017-01-01,1334,Aqua,MODIS,57,6.2,311.1,7.9,D,0
11.5784,-3.4834,330.3,1.1,1.1,2017-01-01,1334,Aqua,MODIS,71,6.2,313.9,15.2,D,0
12.1566,-3.3144,331.5,1.1,1,2017-01-01,1334,Aqua,MODIS,74,6.2,314.4,15.6,D,0
11.7477,-1.1309,324.7,1,1,2017-01-01,1334,Aqua,MODIS,52,6.2,311.2,6.9,D,0
