latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.8934,-24.475,331,1,1,2017-02-04,1501,Aqua,MODIS,79,6.2,317.4,12.4,D,0
16.1006,-22.8863,319.3,1.2,1.1,2017-03-20,1221,Terra,MODIS,63,6.2,299.8,10.9,D,0
16.0989,-22.8754,325.1,1.2,1.1,2017-03-20,1221,Terra,MODIS,78,6.2,298.4,17.9,D,0
14.9072,-24.3968,329.1,1,1,2017-04-21,1221,Terra,MODIS,73,6.2,311.4,10.2,D,0
14.8126,-24.7063,314.9,1.1,1.1,2017-06-26,1209,Terra,MODIS,52,6.2,303.3,10.8,D,3
14.928,-24.3752,320.8,1.1,1,2017-08-13,1210,Terra,MODIS,31,6.2,293.3,13.6,D,0
15.9899,-22.8753,327.7,1.2,1.1,2017-08-22,1507,Aqua,MODIS,0,6.2,302,18,D,0
15.9914,-22.8643,331.6,1.2,1.1,2017-08-22,1507,Aqua,MODIS,52,6.2,304.5,23.7,D,0
15.9996,-22.8767,325.5,1.2,1.1,2017-08-22,1507,Aqua,MODIS,53,6.2,301.1,15.3,D,0
14.8474,-24.3209,312.9,3.6,1.8,2017-08-26,1139,Terra,MODIS,0,6.2,293.2,55.4,D,0
15.2695,-23.7362,313.8,1.6,1.2,2017-08-26,1443,Aqua,MODIS,23,6.2,295.2,18.1,D,0
15.2585,-23.7343,316.6,1.6,1.2,2017-08-26,1443,Aqua,MODIS,0,6.2,296.1,23.5,D,0
14.8879,-24.482,317.1,2.6,1.6,2017-09-08,1246,Terra,MODIS,0,6.2,298.2,35.5,D,0
16.8324,-22.9559,308.4,1,1,2017-10-24,2350,Terra,MODIS,60,6.2,295,6.9,N,0
16.8463,-24.996,317.3,1,1,2017-12-05,1502,Aqua,MODIS,68,6.2,302.1,6.3,D,0
