latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-11.6006,43.267,314,1.2,1.1,2017-02-18,0720,Terra,MODIS,0,6.2,291,6.7,D,0
-11.6741,43.387,316,1,1,2017-05-10,1053,Aqua,MODIS,61,6.2,298.1,7.5,D,0
-11.6662,43.3798,332.1,1.1,1,2017-05-28,1041,Aqua,MODIS,84,6.2,301.5,26.2,D,0
-11.5751,43.3192,320.2,1.7,1.3,2017-06-15,1028,Aqua,MODIS,72,6.2,301,26.4,D,0
-11.618,43.3366,325.2,1,1,2017-06-27,1053,Aqua,MODIS,78,6.2,299.9,19,D,0
-11.6194,43.3272,329.5,1,1,2017-06-27,1053,Aqua,MODIS,82,6.2,299.6,24.7,D,0
-11.673,43.3865,317.4,1.1,1.1,2017-07-01,0738,Terra,MODIS,63,6.2,304,11,D,0
-11.5752,43.3162,326.4,1.7,1.3,2017-07-01,1028,Aqua,MODIS,80,6.2,305.4,39.9,D,0
-11.6698,43.3701,325.7,3,1.6,2017-07-03,1016,Aqua,MODIS,79,6.2,298.1,97,D,0
-11.7231,43.4262,311.9,2.2,1.4,2017-08-27,1022,Aqua,MODIS,24,6.2,298.1,20.3,D,0
-11.6651,43.388,326.8,1.3,1.1,2017-09-10,1034,Aqua,MODIS,75,6.2,303.7,23.5,D,0
-11.6665,43.3771,323,1.3,1.1,2017-09-10,1034,Aqua,MODIS,51,6.2,305.2,19.1,D,0
-11.83,43.4599,322.4,1,1,2017-09-28,0733,Terra,MODIS,57,6.2,301.6,11.5,D,0
-11.6037,43.3406,325.3,1.5,1.2,2017-09-29,1105,Aqua,MODIS,78,6.2,301.6,22.6,D,0
-11.6058,43.3269,328.5,1.5,1.2,2017-09-29,1105,Aqua,MODIS,81,6.2,301.5,28.6,D,0
-11.7745,43.3694,311.2,2.4,1.5,2017-10-10,0757,Terra,MODIS,28,6.2,297.1,31.8,D,0
-12.3641,43.7941,311.6,1,1,2017-10-26,1046,Aqua,MODIS,0,6.2,297.9,4.3,D,0
-11.61,43.2917,326.3,1.2,1.1,2017-11-09,1059,Aqua,MODIS,28,6.2,308.2,13.9,D,0
