latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.4505,127.4416,309.8,2,1.4,2017-01-12,0508,Aqua,MODIS,69,6.2,270.6,37.1,D,0
37.9776,125.2425,300.2,1,1,2017-01-16,0443,Aqua,MODIS,30,6.2,279,6.9,D,0
38.2609,126.8802,332.7,1,1,2017-01-25,0437,Aqua,MODIS,88,6.2,278.2,36.9,D,0
40.5305,128.7582,309.9,1.1,1.1,2017-02-14,0233,Terra,MODIS,69,6.2,281.4,15.3,D,0
40.5351,128.7648,317.5,1.1,1.1,2017-02-14,0233,Terra,MODIS,72,6.2,280.9,20.5,D,0
40.5283,128.7711,318.8,1.1,1.1,2017-02-14,0233,Terra,MODIS,79,6.2,282.3,23.1,D,0
39.5763,127.5149,307.5,1,1,2017-02-17,0444,Aqua,MODIS,65,6.2,282.9,9.5,D,0
38.6585,128.2229,307.2,2.9,1.6,2017-02-25,0355,Aqua,MODIS,64,6.2,283.9,49.2,D,0
42.4899,130.4957,315.3,2.5,1.5,2017-02-26,0257,Terra,MODIS,76,6.2,278,61.5,D,0
40.7741,129.148,361.5,1.1,1,2017-02-26,0438,Aqua,MODIS,94,6.2,285.6,102.2,D,0
42.4905,130.5176,304.1,1.2,1.1,2017-02-26,0438,Aqua,MODIS,50,6.2,284.1,8.6,D,0
42.4888,130.5022,305.6,1.2,1.1,2017-02-26,0438,Aqua,MODIS,62,6.2,282.2,10.3,D,0
38.3894,126.9824,300.6,1,1,2017-02-26,0438,Aqua,MODIS,40,6.2,286.4,5,D,0
40.7649,129.1501,365.9,1.1,1,2017-02-26,0438,Aqua,MODIS,94,6.2,290.5,115.9,D,0
40.7756,129.1604,325.5,1.1,1,2017-02-26,0438,Aqua,MODIS,73,6.2,282.4,28.3,D,0
42.7946,130.0909,322.6,1.3,1.1,2017-02-27,0202,Terra,MODIS,78,6.2,278.9,31.8,D,0
42.7269,130.1426,334.4,1.3,1.1,2017-02-27,0202,Terra,MODIS,89,6.2,282.6,54,D,0
42.7523,130.0993,328.6,1.3,1.1,2017-02-27,0202,Terra,MODIS,32,6.2,278.2,40,D,0
42.7285,130.1275,313.8,1.3,1.1,2017-02-27,0202,Terra,MODIS,74,6.2,278.9,21.2,D,0
42.8665,130.1755,312,1.3,1.1,2017-02-27,0202,Terra,MODIS,72,6.2,281.8,18.8,D,0
42.7929,130.1067,338.7,1.3,1.1,2017-02-27,0202,Terra,MODIS,87,6.2,279.6,60.8,D,0
42.7677,130.0948,315.4,2.6,1.6,2017-02-27,0344,Aqua,MODIS,35,6.2,277.4,57.8,D,0
42.8816,130.1738,309,2.6,1.5,2017-02-27,0344,Aqua,MODIS,53,6.2,278,42.8,D,0
42.868,130.1782,315.3,2.6,1.5,2017-02-27,0344,Aqua,MODIS,76,6.2,282.3,61.7,D,0
42.8693,130.1492,303,2.6,1.6,2017-02-27,0344,Aqua,MODIS,22,6.2,277.2,29,D,0
42.8767,130.1805,314.7,2.6,1.5,2017-02-27,0344,Aqua,MODIS,72,6.2,279.6,59.2,D,0
42.7594,130.056,320.4,4.8,2,2017-02-27,0522,Aqua,MODIS,80,6.2,280,192.6,D,0
42.7608,130.1217,306,4.8,2,2017-02-27,0522,Aqua,MODIS,36,6.2,282.8,83.1,D,0
42.7561,130.051,318.3,4.8,2,2017-02-27,0522,Aqua,MODIS,78,6.2,279.8,171.4,D,0
42.7572,130.1178,308.3,4.8,2,2017-02-27,0522,Aqua,MODIS,50,6.2,282.8,95.6,D,0
42.7629,130.1245,301.4,1.1,1,2017-03-02,0414,Aqua,MODIS,47,6.2,282.2,7,D,0
42.7686,130.1761,309.8,1,1,2017-03-04,0220,Terra,MODIS,69,6.2,283,10.6,D,0
42.7681,130.1653,312.5,1.5,1.2,2017-03-04,0402,Aqua,MODIS,73,6.2,285.9,21.4,D,0
38.4523,127.3943,334.4,1.1,1,2017-03-07,0431,Aqua,MODIS,89,6.2,281.9,41.1,D,0
38.3136,126.8431,302.7,1.1,1.1,2017-03-07,0431,Aqua,MODIS,53,6.2,281.1,7.3,D,0
38.3022,126.833,302.3,1.1,1.1,2017-03-07,0431,Aqua,MODIS,52,6.2,283.5,7.1,D,0
38.1821,126.7606,304.1,1.1,1.1,2017-03-07,0431,Aqua,MODIS,58,6.2,281.8,9.3,D,0
38.4542,127.4063,306.7,1.1,1,2017-03-07,0431,Aqua,MODIS,64,6.2,278.8,10.7,D,0
38.3043,126.8455,332.7,1.1,1.1,2017-03-07,0431,Aqua,MODIS,88,6.2,283,39.8,D,0
38.1294,125.2299,300.6,1.2,1.1,2017-03-10,0502,Aqua,MODIS,39,6.2,287.7,5.2,D,0
