latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.1183,37.5606,329.1,1.8,1.3,2017-01-06,1035,Aqua,MODIS,69,6.2,314.8,26.9,D,0
14.1222,37.5669,335.3,1.8,1.3,2017-01-06,1035,Aqua,MODIS,80,6.2,316.1,45,D,0
14.1194,37.561,310.1,1.1,1.1,2017-01-06,2001,Terra,MODIS,79,6.2,291.7,11.7,N,0
14.7916,37.1266,332.2,1,1,2017-01-11,1054,Aqua,MODIS,68,6.2,313.7,18.5,D,0
14.4745,36.8352,323.7,4.5,1.9,2017-01-17,1017,Aqua,MODIS,63,6.2,312.6,69.2,D,0
14.4756,36.8312,323.3,4.5,1.9,2017-01-17,1017,Aqua,MODIS,61,6.2,312.4,64.8,D,0
14.3245,36.8979,333.4,1.2,1.1,2017-02-21,1048,Aqua,MODIS,52,6.2,315.9,12,D,0
14.402,37.3891,311.4,1,1,2017-02-25,1948,Terra,MODIS,82,6.2,294.8,9.7,N,0
13.8275,41.6614,331.3,3.4,1.7,2017-03-24,1005,Aqua,MODIS,46,6.2,306.2,65.1,D,0
13.8448,41.6823,331.4,3.3,1.7,2017-03-24,1005,Aqua,MODIS,37,6.2,306.3,63,D,0
14.3083,36.9277,354.5,1,1,2017-03-28,0814,Terra,MODIS,96,6.2,322.7,49.9,D,0
14.3069,36.937,350.7,1,1,2017-03-28,0814,Terra,MODIS,92,6.2,321.6,40.9,D,0
13.7637,41.7095,331.8,2,1.4,2017-03-28,0814,Terra,MODIS,0,6.2,305.3,33,D,0
14.3069,36.9452,353.8,1.7,1.3,2017-03-28,1119,Aqua,MODIS,95,6.2,323.2,92.6,D,0
13.8692,41.6327,331.9,1.5,1.2,2017-03-29,1024,Aqua,MODIS,24,6.2,306.9,31.6,D,0
14.3246,36.9023,347.5,1,1,2017-04-13,0814,Terra,MODIS,89,6.2,320.9,29.4,D,0
14.3205,36.9028,354.6,1.7,1.3,2017-04-13,1119,Aqua,MODIS,96,6.2,322.9,90.9,D,0
13.6536,41.7349,332.2,2.6,1.5,2017-04-16,1011,Aqua,MODIS,57,6.2,307.7,44.5,D,0
13.6298,41.6657,327.7,4.5,1.9,2017-04-18,0959,Aqua,MODIS,62,6.2,302.7,88.9,D,0
13.7136,41.7331,337.9,1,1,2017-05-03,0750,Terra,MODIS,59,6.2,314,17.5,D,0
13.7533,41.7171,337.5,1,1,2017-05-03,0750,Terra,MODIS,65,6.2,313.4,16.1,D,0
13.7033,41.7409,337.4,1,1,2017-05-03,0750,Terra,MODIS,59,6.2,313.5,15,D,0
13.7546,41.7079,337.9,1,1,2017-05-03,0750,Terra,MODIS,76,6.2,312.9,15.8,D,0
13.7011,41.7307,334.2,1.3,1.1,2017-05-05,0738,Terra,MODIS,72,6.2,309.1,21.6,D,0
13.7056,41.7422,334.7,2.6,1.5,2017-05-06,0820,Terra,MODIS,64,6.2,303.6,67.3,D,0
13.6998,41.7353,332.1,2.6,1.5,2017-05-06,0820,Terra,MODIS,64,6.2,302.6,54.4,D,0
13.7684,41.7076,331.8,2.6,1.5,2017-05-06,0820,Terra,MODIS,0,6.2,302.3,48.8,D,0
