latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.7842,-139.001,310.9,1,1,2017-01-09,1941,Terra,MODIS,44,6.2,298.4,5.3,D,0
-10.5432,-138.6459,314.8,1.6,1.3,2017-01-10,2314,Aqua,MODIS,33,6.2,302.7,18.2,D,3
-10.5456,-138.6606,312.6,1.6,1.3,2017-01-10,2314,Aqua,MODIS,27,6.2,298.3,14.2,D,3
-10.5453,-138.656,314.2,1.6,1.3,2017-01-26,2315,Aqua,MODIS,60,6.2,301.3,18.3,D,3
-10.5434,-138.648,312.7,1.6,1.3,2017-01-26,2315,Aqua,MODIS,41,6.2,300.1,14.4,D,3
-10.5453,-138.6503,313.9,1.4,1.2,2017-02-05,1923,Terra,MODIS,52,6.2,300.6,13.4,D,3
-10.5435,-138.6566,311.3,1.4,1.2,2017-02-21,1923,Terra,MODIS,36,6.2,299,10.7,D,3
-17.5461,-149.5578,311.6,2.6,1.6,2017-02-27,2313,Aqua,MODIS,35,6.2,296.9,24.5,D,0
-10.5448,-138.6609,312.5,1.2,1.1,2017-12-13,1929,Terra,MODIS,27,6.2,300.2,8.8,D,3
-10.5456,-138.6529,312.9,1.4,1.2,2017-12-22,1923,Terra,MODIS,25,6.2,296.7,12.6,D,3
-10.5458,-138.6593,315.3,1.6,1.3,2017-12-28,2315,Aqua,MODIS,33,6.2,300.1,18.8,D,3
