latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.4057,45.1657,305.9,2.3,1.5,2017-01-02,0929,Aqua,MODIS,62,6.2,282.2,32.5,D,0
41.4018,45.1602,308,2.3,1.5,2017-01-02,0929,Aqua,MODIS,66,6.2,282.2,37.4,D,0
41.7201,45.0814,300.4,1,1,2017-01-03,1012,Aqua,MODIS,36,6.2,282.4,6.2,D,0
41.7217,45.0939,320.5,1,1,2017-01-03,1012,Aqua,MODIS,80,6.2,282.3,21.8,D,0
42.7113,41.5363,308.4,1.6,1.2,2017-01-06,1043,Aqua,MODIS,67,6.2,287.3,17.6,D,0
42.5983,41.6662,310,1.6,1.2,2017-01-06,1043,Aqua,MODIS,69,6.2,287.8,20.5,D,0
42.2806,41.6572,304.9,1.6,1.2,2017-01-06,1043,Aqua,MODIS,45,6.2,284.9,15.2,D,0
42.5909,42.296,305.8,1,1,2017-01-07,0807,Terra,MODIS,62,6.2,287.4,8.4,D,0
42.2643,41.6504,348.1,1,1,2017-01-07,0807,Terra,MODIS,72,6.2,286.4,61.2,D,0
42.2626,41.6628,348.1,1,1,2017-01-07,0807,Terra,MODIS,90,6.2,287.4,63.3,D,0
42.8348,41.5695,314.1,1.1,1,2017-01-07,0807,Terra,MODIS,74,6.2,288.2,15.4,D,0
42.0574,41.8185,303.8,1,1,2017-01-07,0807,Terra,MODIS,57,6.2,284.1,8,D,0
42.3609,42.4902,304.9,1,1,2017-01-07,0807,Terra,MODIS,57,6.2,287.5,7.3,D,0
42.261,41.6753,321.7,1,1,2017-01-07,0807,Terra,MODIS,81,6.2,286.5,22.4,D,0
42.5314,41.7193,322.3,1,1,2017-01-07,0807,Terra,MODIS,82,6.2,288.6,22.6,D,0
42.533,41.7068,325.7,1,1,2017-01-07,0807,Terra,MODIS,84,6.2,288.9,26.4,D,0
42.5595,41.7068,301.9,1,1,2017-01-07,0807,Terra,MODIS,50,6.2,287.8,5.7,D,0
42.5926,42.2837,304.9,1,1,2017-01-07,0807,Terra,MODIS,60,6.2,287.5,7.7,D,0
42.3472,42.4694,342,1.7,1.3,2017-01-07,0948,Aqua,MODIS,93,6.2,290.9,105.9,D,0
42.5379,41.658,311.7,1.9,1.3,2017-01-07,0948,Aqua,MODIS,72,6.2,290.6,25.9,D,0
42.5456,41.6596,309,1.9,1.3,2017-01-07,0948,Aqua,MODIS,68,6.2,290.4,21.5,D,0
42.5339,41.6642,303.4,1.9,1.3,2017-01-07,0948,Aqua,MODIS,13,6.2,290.6,12.2,D,0
42.6009,41.6568,309.5,1.9,1.3,2017-01-07,0948,Aqua,MODIS,69,6.2,290.3,23.7,D,0
42.3515,42.4898,336.6,1.7,1.3,2017-01-07,0948,Aqua,MODIS,90,6.2,290,85.6,D,0
42.3511,42.4727,353.4,1.7,1.3,2017-01-07,0948,Aqua,MODIS,97,6.2,292.2,157.3,D,0
42.3553,42.4932,320,1.7,1.3,2017-01-07,0948,Aqua,MODIS,80,6.2,289.7,40.7,D,0
42.2524,41.6747,315.9,1.9,1.4,2017-01-07,0948,Aqua,MODIS,66,6.2,287.8,40.9,D,0
42.2562,41.6658,318.3,1.9,1.4,2017-01-07,0948,Aqua,MODIS,59,6.2,287.2,43.3,D,0
42.7229,41.5232,300.8,1.9,1.3,2017-01-07,0948,Aqua,MODIS,42,6.2,289.5,11.2,D,0
42.5518,41.72,316.8,1,1,2017-01-07,1913,Terra,MODIS,94,6.2,277.9,18.5,N,0
42.5501,41.708,305.3,1,1,2017-01-07,1913,Terra,MODIS,59,6.2,278.1,9.9,N,0
42.5721,41.679,301.6,2.3,1.5,2017-01-08,0849,Terra,MODIS,36,6.2,281.9,16.5,D,0
42.588,41.6619,304.2,2.3,1.5,2017-01-08,0849,Terra,MODIS,20,6.2,282,19.8,D,0
42.6132,41.6726,313.4,2.3,1.5,2017-01-08,0849,Terra,MODIS,74,6.2,283.7,43.3,D,0
42.6871,42.004,300.8,2.4,1.5,2017-01-08,0849,Terra,MODIS,42,6.2,283.2,21.3,D,0
42.3156,42.7623,300.5,1.3,1.1,2017-01-08,1030,Aqua,MODIS,37,6.2,287.7,7.1,D,0
