latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.4858,6.7174,303.6,1.4,1.2,2017-01-01,1020,Terra,MODIS,0,6.2,274.3,15.8,D,2
51.4811,6.713,300.4,1.3,1.1,2017-01-01,1206,Aqua,MODIS,0,6.2,275,11.2,D,2
51.4848,6.7124,302.4,1.1,1.1,2017-01-05,2107,Terra,MODIS,49,6.2,270.1,12.9,N,2
52.1734,10.4177,301.9,1,1,2017-01-06,1038,Terra,MODIS,49,6.2,269.4,10.2,D,2
51.4801,6.7169,300.2,1,1,2017-01-06,1039,Terra,MODIS,0,6.2,270.7,7.6,D,2
51.3705,6.7039,300.2,1,1,2017-01-06,1039,Terra,MODIS,23,6.2,272.2,9.5,D,2
52.156,10.4016,304,1.1,1.1,2017-01-06,1224,Aqua,MODIS,58,6.2,269.7,12.9,D,2
49.2436,6.8536,302.6,1,1,2017-01-16,0151,Aqua,MODIS,50,6.2,269.7,11.2,N,2
51.367,6.7035,300.2,1.3,1.1,2017-01-17,1206,Aqua,MODIS,0,6.2,272.1,12.2,D,2
51.4927,6.7449,305.4,1.1,1,2017-01-17,2131,Terra,MODIS,64,6.2,269.9,13.2,N,2
51.4908,6.7297,306,1.1,1,2017-01-17,2131,Terra,MODIS,57,6.2,270.4,13.1,N,2
51.3712,6.7192,307.3,1.1,1,2017-01-18,0138,Aqua,MODIS,71,6.2,270.7,15.7,N,0
51.3623,6.7213,302.4,1.9,1.4,2017-01-19,1008,Terra,MODIS,39,6.2,273.4,26.1,D,2
49.2448,6.849,314.2,1,1,2017-01-19,2118,Terra,MODIS,89,6.2,267.8,19.7,N,2
51.4866,6.7022,310.1,1,1,2017-01-19,2119,Terra,MODIS,66,6.2,271.4,14.5,N,2
51.4859,6.7216,303.2,1.4,1.2,2017-01-20,0126,Aqua,MODIS,40,6.2,270.7,16.8,N,2
52.1512,10.4001,302.7,1.3,1.1,2017-01-20,1050,Terra,MODIS,53,6.2,275.6,13.1,D,2
49.3461,6.7411,301.6,1.1,1,2017-01-20,1051,Terra,MODIS,48,6.2,274,9.5,D,2
