latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.8866,43.8728,300.6,4.1,1.9,2017-01-01,0845,Terra,MODIS,38,6.2,284.5,40.6,D,2
35.6755,43.9051,303.5,3.9,1.8,2017-01-01,0845,Terra,MODIS,56,6.2,282.3,54.1,D,2
35.8516,43.2023,309.6,3.5,1.8,2017-01-01,0845,Terra,MODIS,69,6.2,284.5,63.5,D,2
35.7239,44.0598,303.9,4,1.9,2017-01-01,0845,Terra,MODIS,50,6.2,284,57,D,2
35.713,44.0605,300.7,4,1.9,2017-01-01,0845,Terra,MODIS,39,6.2,283.5,43.7,D,2
35.6859,43.8641,309.7,3.9,1.8,2017-01-01,0845,Terra,MODIS,69,6.2,281.5,82.7,D,2
35.6232,44.0152,304.7,4,1.9,2017-01-01,0845,Terra,MODIS,60,6.2,283.5,61.4,D,2
35.6862,43.9021,302.5,3.9,1.8,2017-01-01,0845,Terra,MODIS,52,6.2,282.3,46.9,D,2
35.8423,43.2399,305.5,3.5,1.8,2017-01-01,0845,Terra,MODIS,62,6.2,284.5,48.4,D,2
35.6278,44.0239,302.4,4,1.9,2017-01-01,0845,Terra,MODIS,52,6.2,283.4,50.9,D,2
35.6299,44.0168,303,1.1,1,2017-01-01,1022,Aqua,MODIS,54,6.2,287.6,6,D,2
35.8439,43.2019,321.5,1,1,2017-01-01,1022,Aqua,MODIS,47,6.2,288.5,18,D,2
35.7225,44.0285,307.2,1.1,1,2017-01-01,1022,Aqua,MODIS,65,6.2,289,8.5,D,2
35.8312,43.2457,325.6,1,1,2017-01-01,1022,Aqua,MODIS,62,6.2,286,22.7,D,2
35.8222,43.2476,315,1,1,2017-01-01,1022,Aqua,MODIS,73,6.2,283.9,13.9,D,2
35.9746,43.7697,301,1.1,1,2017-01-01,1022,Aqua,MODIS,44,6.2,286.9,5.1,D,2
35.4827,44.153,305.8,1.1,1,2017-01-01,1022,Aqua,MODIS,62,6.2,287.5,8.2,D,2
35.8634,43.2094,316.3,1,1,2017-01-01,1022,Aqua,MODIS,38,6.2,287.2,13.4,D,2
35.8237,43.2588,311.3,1,1,2017-01-01,1022,Aqua,MODIS,70,6.2,285,11.2,D,2
35.3793,44.2153,306.6,1.1,1,2017-01-01,1022,Aqua,MODIS,64,6.2,288.8,8.5,D,2
35.6849,43.8815,335.9,1.1,1,2017-01-01,1022,Aqua,MODIS,90,6.2,287.2,40.7,D,2
35.8454,43.2131,327,1,1,2017-01-01,1022,Aqua,MODIS,85,6.2,287.4,25,D,2
34.8856,43.8714,316.7,1,1,2017-01-01,1022,Aqua,MODIS,77,6.2,288.4,15.2,D,2
35.6834,43.87,339.9,1.1,1,2017-01-01,1022,Aqua,MODIS,92,6.2,289.1,47.6,D,2
35.6284,44.0052,336.2,1.1,1,2017-01-01,1022,Aqua,MODIS,90,6.2,290,41.7,D,2
34.8841,43.8602,307.5,1,1,2017-01-01,1022,Aqua,MODIS,65,6.2,288.3,8.1,D,2
34.8704,43.8976,303.9,1,1,2017-01-01,1022,Aqua,MODIS,39,6.2,288.9,5,D,2
35.6606,43.9632,310.9,1.1,1,2017-01-01,1022,Aqua,MODIS,71,6.2,288.4,11.6,D,2
35.724,44.0401,340.1,1.1,1,2017-01-01,1022,Aqua,MODIS,92,6.2,290.4,47.9,D,2
35.6815,43.8756,323.3,2.8,1.6,2017-01-01,1948,Terra,MODIS,100,6.2,275.3,115.6,N,2
35.6841,43.8696,317.4,2.8,1.6,2017-01-01,1948,Terra,MODIS,95,6.2,275.1,90.8,N,2
35.6321,44.0057,304.2,2.8,1.6,2017-01-01,1948,Terra,MODIS,59,6.2,275.9,48.4,N,2
35.63,44.0124,304.5,2.8,1.6,2017-01-01,1948,Terra,MODIS,60,6.2,275.7,47.5,N,2
35.8489,43.2202,306.8,2.5,1.5,2017-01-01,1948,Terra,MODIS,69,6.2,274.8,44.9,N,2
35.6969,43.8777,301.3,2.9,1.6,2017-01-01,2225,Aqua,MODIS,39,6.2,273.3,43,N,2
35.6948,43.873,303.7,2.9,1.6,2017-01-01,2225,Aqua,MODIS,57,6.2,273.3,51.1,N,2
30.6889,47.3218,308.6,1.5,1.2,2017-01-01,2226,Aqua,MODIS,75,6.2,276.2,22.4,N,2
30.7484,47.6703,301,1.4,1.2,2017-01-01,2226,Aqua,MODIS,37,6.2,279.6,11.9,N,2
30.6873,47.3374,330.8,1.5,1.2,2017-01-01,2226,Aqua,MODIS,100,6.2,278,61.1,N,2
30.165,47.412,305.8,1.5,1.2,2017-01-01,2226,Aqua,MODIS,66,6.2,271.8,19.7,N,2
30.6189,47.3222,313,1.5,1.2,2017-01-01,2226,Aqua,MODIS,86,6.2,275.5,27.2,N,2
30.7534,47.6629,317.2,1.4,1.2,2017-01-01,2226,Aqua,MODIS,95,6.2,280.3,32.1,N,2
30.6173,47.3377,321,1.5,1.2,2017-01-01,2226,Aqua,MODIS,100,6.2,276.4,39.8,N,2
30.3549,47.3436,304.9,1.5,1.2,2017-01-01,2226,Aqua,MODIS,62,6.2,267.4,19.4,N,2
30.5023,47.3245,305.7,1.5,1.2,2017-01-01,2226,Aqua,MODIS,65,6.2,272.5,20.4,N,2
30.7518,47.6778,307.5,1.4,1.2,2017-01-01,2226,Aqua,MODIS,72,6.2,279.5,19.4,N,2
30.6064,47.3362,306.6,1.5,1.2,2017-01-01,2226,Aqua,MODIS,68,6.2,275.5,20.5,N,2
30.2788,47.7404,302.5,1.4,1.2,2017-01-01,2226,Aqua,MODIS,34,6.2,272.3,14,N,2
30.6948,47.3329,312.8,1.5,1.2,2017-01-01,2226,Aqua,MODIS,86,6.2,277,27.9,N,2
30.1633,47.427,300.5,1.5,1.2,2017-01-01,2226,Aqua,MODIS,29,6.2,272.1,14.3,N,2
30.684,47.3314,314.5,1.5,1.2,2017-01-01,2226,Aqua,MODIS,89,6.2,276.9,30.5,N,2
34.8781,43.9012,300.5,1.1,1,2017-01-02,0750,Terra,MODIS,28,6.2,288.9,3.8,D,2
35.7231,44.0499,303.2,1.1,1,2017-01-02,0750,Terra,MODIS,55,6.2,286.4,7.1,D,2
35.6268,44.0127,328.6,1.1,1,2017-01-02,0750,Terra,MODIS,86,6.2,286.5,31.6,D,2
35.2327,43.2146,304.7,1.1,1.1,2017-01-02,0750,Terra,MODIS,60,6.2,283.1,9.2,D,0
35.8429,43.2002,301.3,1.1,1.1,2017-01-02,0750,Terra,MODIS,46,6.2,279.2,7.7,D,2
34.8598,44.038,316.1,1,1,2017-01-02,0750,Terra,MODIS,76,6.2,286.8,16,D,2
35.2476,44.4343,303,1,1,2017-01-02,0750,Terra,MODIS,55,6.2,287.5,6,D,0
35.6284,44.001,305.9,1.1,1,2017-01-02,0750,Terra,MODIS,62,6.2,285.1,9.3,D,2
35.3866,44.2243,303,1,1,2017-01-02,0750,Terra,MODIS,54,6.2,286.1,6.7,D,2
35.9789,43.7681,303.5,1.1,1,2017-01-02,0750,Terra,MODIS,56,6.2,284.6,7.7,D,2
34.8918,43.8686,311.5,1.1,1,2017-01-02,0750,Terra,MODIS,71,6.2,288,11.5,D,2
35.6589,43.9659,306.2,1.1,1,2017-01-02,0750,Terra,MODIS,63,6.2,286.4,8.9,D,2
35.6894,43.8759,322.6,1.1,1,2017-01-02,0750,Terra,MODIS,82,6.2,285.9,23.9,D,2
35.8465,43.2069,318.8,1.1,1.1,2017-01-02,0750,Terra,MODIS,20,6.2,280.8,19,D,2
35.6879,43.8876,307.4,1.1,1,2017-01-02,0750,Terra,MODIS,65,6.2,284.7,9.9,D,2
36.7775,43.3275,300.2,1.1,1.1,2017-01-02,0750,Terra,MODIS,31,6.2,285.5,7,D,0
34.7514,45.1494,300.1,1,1,2017-01-02,0750,Terra,MODIS,29,6.2,288.3,3.7,D,0
35.8413,43.2127,307.7,1.1,1.1,2017-01-02,0750,Terra,MODIS,64,6.2,279.6,11.7,D,2
35.845,43.2194,328.5,1.1,1.1,2017-01-02,0750,Terra,MODIS,61,6.2,281.9,30.8,D,2
35.7247,44.0383,316.4,1.1,1,2017-01-02,0750,Terra,MODIS,77,6.2,286.6,17.4,D,2
35.4875,44.1569,303.8,1.1,1,2017-01-02,0750,Terra,MODIS,57,6.2,285.4,7.7,D,2
35.8256,43.2604,318.4,1.1,1.1,2017-01-02,0750,Terra,MODIS,64,6.2,283.9,20.4,D,2
35.8655,43.2104,321.4,1.1,1.1,2017-01-02,0750,Terra,MODIS,65,6.2,282.6,23.3,D,2
34.8614,44.0266,322.9,1,1,2017-01-02,0750,Terra,MODIS,82,6.2,285.7,22.9,D,2
