latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.8999,36.5802,308.8,1.1,1,2017-01-06,1040,Aqua,MODIS,67,6.2,288.2,7.8,D,0
31.9091,36.5781,306.5,1.1,1,2017-01-06,1040,Aqua,MODIS,61,6.2,288.5,6.2,D,0
31.9065,36.5773,301.6,1.3,1.1,2017-01-10,0840,Terra,MODIS,24,6.2,284.2,6.1,D,0
31.8939,36.5886,305.4,1.3,1.1,2017-01-10,0840,Terra,MODIS,33,6.2,284.3,9,D,0
31.9134,36.5813,302.6,1,1,2017-01-12,0828,Terra,MODIS,53,6.2,284,5.5,D,0
31.8975,36.5931,306.1,1,1,2017-01-13,1046,Aqua,MODIS,42,6.2,286.3,6.8,D,0
31.9064,36.5913,302.2,1,1,2017-01-13,1046,Aqua,MODIS,20,6.2,286.1,4.4,D,0
30.1348,35.8144,315.2,1.1,1,2017-01-13,1046,Aqua,MODIS,71,6.2,294.8,9.3,D,0
31.9021,36.5854,301.7,1.1,1.1,2017-01-19,0834,Terra,MODIS,35,6.2,287.8,3.5,D,0
31.8981,36.5785,303.5,1.1,1.1,2017-01-19,0834,Terra,MODIS,56,6.2,288.1,5.2,D,0
30.4495,35.6182,301.9,1.4,1.2,2017-01-23,0810,Terra,MODIS,48,6.2,288.5,6.6,D,0
31.8992,36.5783,314.2,1,1,2017-01-29,1046,Aqua,MODIS,74,6.2,289.1,10.6,D,0
31.8933,36.5894,301.5,1.7,1.3,2017-02-02,0846,Terra,MODIS,47,6.2,283.3,9.9,D,0
31.8954,36.5821,307,1,1,2017-02-05,1052,Aqua,MODIS,31,6.2,294.2,2.4,D,0
31.8978,36.5939,302.7,1.3,1.2,2017-02-11,0840,Terra,MODIS,35,6.2,289.2,4.5,D,0
29.3921,35.0202,334,1,1,2017-02-21,1052,Aqua,MODIS,85,6.2,302.2,27.1,D,0
31.8934,36.5832,312.7,1,1,2017-02-21,1053,Aqua,MODIS,56,6.2,298,4.5,D,0
31.8949,36.5939,312.8,1,1,2017-02-21,1053,Aqua,MODIS,56,6.2,299,4.5,D,0
31.8752,36.7695,316,1.1,1,2017-02-23,1040,Aqua,MODIS,63,6.2,302,6.5,D,0
32.176,36.6906,318,1.1,1,2017-02-23,1040,Aqua,MODIS,69,6.2,301.3,9.3,D,0
30.1444,35.8172,316.1,1.1,1,2017-03-02,1046,Aqua,MODIS,62,6.2,298.4,8.2,D,0
29.5377,35.6976,324.2,1,1,2017-04-01,1059,Aqua,MODIS,52,6.2,305.5,8.4,D,0
32.5436,35.5667,304.3,1,1,2017-04-04,2334,Aqua,MODIS,59,6.2,282.2,7.8,N,0
32.077,36.2809,301.2,1.1,1,2017-04-14,1953,Terra,MODIS,38,6.2,282.9,7.6,N,0
32.0864,36.2793,315.6,1.1,1,2017-04-14,1953,Terra,MODIS,92,6.2,283,18.9,N,0
32.0879,36.2909,305.1,1.1,1,2017-04-14,1953,Terra,MODIS,63,6.2,282.7,10.1,N,0
31.8381,36.0635,320,1.3,1.1,2017-04-16,0840,Terra,MODIS,63,6.2,304.1,9.5,D,0
32.086,36.2249,322.7,1.1,1,2017-04-25,0834,Terra,MODIS,58,6.2,308.4,7.6,D,0
30.3546,35.1852,344.1,1.3,1.1,2017-05-14,2005,Terra,MODIS,100,6.2,298.9,71.9,N,0
30.3538,35.1927,313.5,1.3,1.1,2017-05-14,2005,Terra,MODIS,87,6.2,297.1,15.1,N,0
30.3523,35.1791,327.9,1.3,1.1,2017-05-14,2005,Terra,MODIS,100,6.2,298.3,35.8,N,0
30.3625,35.1776,311.3,1.3,1.1,2017-05-14,2005,Terra,MODIS,82,6.2,295.3,12.8,N,0
30.353,35.1716,318.1,1.3,1.1,2017-05-14,2005,Terra,MODIS,96,6.2,297.1,19.7,N,0
32.0227,35.8245,303.1,1.1,1,2017-06-17,1953,Terra,MODIS,53,6.2,292.3,5.5,N,0
32.1465,35.7514,333.3,1.4,1.2,2017-07-10,1034,Aqua,MODIS,64,6.2,318.9,16.3,D,0
32.0676,35.6614,308.3,1.5,1.2,2017-07-14,2352,Aqua,MODIS,74,6.2,298,10.5,N,0
32.0571,35.6584,310.3,1.5,1.2,2017-07-14,2352,Aqua,MODIS,80,6.2,298.9,12.2,N,0
31.7698,35.7999,355.6,1,1,2017-08-17,0822,Terra,MODIS,97,6.2,318.9,56.5,D,0
31.6913,35.8132,302.3,1,1,2017-08-19,2327,Aqua,MODIS,48,6.2,290.2,5.2,N,0
32.4881,36.2108,323.4,2,1.4,2017-09-30,1022,Aqua,MODIS,59,6.2,304.2,32,D,0
32.7213,35.7875,303.8,1.3,1.1,2017-10-27,1929,Terra,MODIS,50,6.2,268.4,13.5,N,0
32.7238,35.8019,308.8,1.3,1.1,2017-10-27,1929,Terra,MODIS,75,6.2,276,18.4,N,0
31.9007,36.5938,306.5,1.3,1.2,2017-11-26,0840,Terra,MODIS,50,6.2,293,4.8,D,0
31.9135,36.5773,307.4,1,1,2017-11-28,0828,Terra,MODIS,60,6.2,290.5,5.8,D,0
