latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
55.8629,26.9086,302.2,1,1,2017-04-10,1100,Aqua,MODIS,51,6.2,291,3.8,D,0
56.6779,23.6906,301.4,1,1,2017-05-01,1118,Aqua,MODIS,47,6.2,289.3,3.5,D,0
57.1357,24.4611,307.1,1,1,2017-05-03,1106,Aqua,MODIS,65,6.2,287.1,7,D,0
57.1334,24.445,331.5,1,1,2017-05-03,1106,Aqua,MODIS,87,6.2,288.8,30.5,D,0
56.9496,23.8618,314.6,1.1,1,2017-05-04,1000,Terra,MODIS,65,6.2,291.8,14,D,0
56.6626,27.4681,308.4,1.1,1.1,2017-05-06,0948,Terra,MODIS,65,6.2,291.2,8.2,D,0
57.353,21.5768,303.1,1.2,1.1,2017-05-06,1137,Aqua,MODIS,0,6.2,287.8,4.6,D,0
56.8952,21.4574,302.5,1.7,1.3,2017-05-07,1042,Aqua,MODIS,23,6.2,290.1,7.9,D,0
55.9019,27.2196,300.2,1,1,2017-05-12,1059,Aqua,MODIS,8,6.2,286.6,3,D,0
56.5929,27.7133,301.1,1,1,2017-05-12,1059,Aqua,MODIS,45,6.2,287.8,4.2,D,0
56.8296,27.0538,301.4,1,1,2017-05-12,1100,Aqua,MODIS,31,6.2,289.3,3.3,D,0
56.4614,25.3292,304.5,1.1,1.1,2017-05-14,1047,Aqua,MODIS,8,6.2,289.6,5.1,D,0
56.3134,25.5078,304.5,1.1,1.1,2017-05-14,1047,Aqua,MODIS,13,6.2,290,4.3,D,0
56.7133,23.5892,305.9,1.1,1,2017-05-20,1000,Terra,MODIS,20,6.2,289.6,4.9,D,0
56.7861,22.095,303.6,1.2,1.1,2017-05-22,1136,Aqua,MODIS,49,6.2,290.6,5.3,D,0
56.784,22.0752,305.6,1.2,1.1,2017-05-22,1136,Aqua,MODIS,57,6.2,289.7,6.8,D,0
57.1182,24.4667,313.2,1.5,1.2,2017-05-22,1137,Aqua,MODIS,66,6.2,296.4,14.6,D,0
57.1161,24.4422,308.5,1.5,1.2,2017-05-22,1137,Aqua,MODIS,22,6.2,297.6,8.2,D,0
58.0304,25.1559,306.8,1.1,1,2017-05-30,1048,Aqua,MODIS,42,6.2,296.1,6.5,D,0
56.6632,25.2964,303,1.2,1.1,2017-06-09,1124,Aqua,MODIS,32,6.2,289.2,4.9,D,0
57.1712,24.4096,315.9,1.2,1.1,2017-06-09,1124,Aqua,MODIS,69,6.2,298.1,14.1,D,0
56.2352,21.1872,303.7,1.3,1.1,2017-06-10,1018,Terra,MODIS,16,6.2,284.4,6.1,D,0
57.3099,25.0864,306.6,1.9,1.3,2017-06-17,1024,Terra,MODIS,49,6.2,295.7,12.8,D,0
56.9312,23.5702,305.8,1.8,1.3,2017-06-18,2043,Terra,MODIS,66,6.2,286.5,19,N,0
56.9371,23.5753,316,1.8,1.3,2017-06-18,2043,Terra,MODIS,92,6.2,287.1,36.8,N,0
56.8313,24.0032,307.9,1.2,1.1,2017-06-28,1006,Terra,MODIS,35,6.2,295.1,8.4,D,0
57.1619,24.4068,309.3,2,1.4,2017-07-23,1149,Aqua,MODIS,37,6.2,290.1,19.1,D,0
56.8845,24.262,310.6,1.3,1.1,2017-08-11,1041,Aqua,MODIS,45,6.2,296.5,10.4,D,0
56.7479,23.5823,304.6,1,1,2017-08-21,1118,Aqua,MODIS,50,6.2,290,5.6,D,0
56.5842,23.6676,305.5,1.1,1.1,2017-08-24,1000,Terra,MODIS,38,6.2,288.3,6.5,D,0
