latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
54.6257,22.7239,302.2,1.2,1.1,2017-03-24,1007,Terra,MODIS,51,6.2,284,8.7,D,0
54.5865,22.6918,300.4,2.4,1.5,2017-03-27,0859,Terra,MODIS,32,6.2,284.1,14.5,D,0
55.8275,23.5094,301.8,1,1,2017-05-01,1118,Aqua,MODIS,49,6.2,288.8,3.4,D,0
55.8253,23.4935,303.1,1,1,2017-05-01,1118,Aqua,MODIS,55,6.2,290.4,4.3,D,0
55.8072,22.8438,305.3,1,1,2017-05-13,0954,Terra,MODIS,31,6.2,293.3,3.2,D,0
54.9368,24.1028,301.1,1.8,1.3,2017-05-16,1035,Aqua,MODIS,33,6.2,291,8.3,D,0
55.0733,25.8385,301,1,1,2017-05-17,0930,Terra,MODIS,34,6.2,280.6,5.7,D,0
54.2932,24.2819,306.9,1,1,2017-05-19,1105,Aqua,MODIS,21,6.2,293.6,3.3,D,0
55.074,25.828,326,2.8,1.6,2017-05-23,1031,Terra,MODIS,84,6.2,297.9,104.8,D,0
55.0778,25.8273,321.9,1.3,1.1,2017-05-23,1041,Aqua,MODIS,80,6.2,304.1,24.7,D,0
55.0733,25.8251,328.9,2.1,1.4,2017-05-25,1018,Terra,MODIS,86,6.2,296.8,79.1,D,0
55.0636,25.8134,315.3,3.5,1.8,2017-05-25,1207,Aqua,MODIS,63,6.2,291.5,72.8,D,0
55.0733,25.8039,316,3.5,1.8,2017-05-25,1207,Aqua,MODIS,72,6.2,291.7,83.3,D,0
55.013,24.3687,302.8,2,1.4,2017-05-30,0859,Terra,MODIS,50,6.2,289.2,14.3,D,0
55.0712,25.8195,315.4,1.2,1.1,2017-05-30,1047,Aqua,MODIS,70,6.2,301.9,13.8,D,0
55.072,25.8329,312.1,1.5,1.2,2017-06-06,0905,Terra,MODIS,35,6.2,300.8,14.9,D,0
55.0475,25.7963,309.4,1.6,1.2,2017-06-28,1006,Terra,MODIS,47,6.2,297.6,12.8,D,0
56.2016,23.294,304.7,1.1,1.1,2017-07-20,0930,Terra,MODIS,55,6.2,293.9,6,D,0
55.2595,22.2939,304.8,1,1,2017-07-27,1123,Aqua,MODIS,20,6.2,290.6,3.3,D,0
55.0808,25.8241,305.2,1.7,1.3,2017-07-28,1028,Aqua,MODIS,18,6.2,289.2,8.7,D,0
54.7509,24.5723,331,1,1,2017-08-14,1111,Aqua,MODIS,75,6.2,294.9,28.5,D,0
54.7562,24.5983,310.4,1,1,2017-08-30,1111,Aqua,MODIS,69,6.2,292.8,8.3,D,0
55.0785,25.8096,314.9,2.5,1.5,2017-08-31,1154,Aqua,MODIS,75,6.2,295,48.5,D,0
55.7108,24.3818,303.3,1,1,2017-09-13,0936,Terra,MODIS,56,6.2,289,5,D,0
55.0616,24.2465,302.1,1,1,2017-09-29,0936,Terra,MODIS,51,6.2,286.1,5.8,D,0
