latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0661,21.5154,303,1.1,1,2017-01-03,0045,Aqua,MODIS,52,6.2,265.9,12.4,N,0
41.2204,22.3656,303.7,1.2,1.1,2017-01-03,1150,Aqua,MODIS,57,6.2,284,10.9,D,0
41.4365,21.9328,301.5,1.2,1.1,2017-01-03,1150,Aqua,MODIS,47,6.2,273.9,10.1,D,2
41.0577,21.5004,321.3,1.1,1,2017-01-03,1150,Aqua,MODIS,81,6.2,283.1,24.6,D,0
41.0593,21.5136,306.6,1.1,1,2017-01-03,1150,Aqua,MODIS,60,6.2,280.8,10.9,D,0
41.4446,21.9364,306.7,1,1,2017-01-05,0032,Aqua,MODIS,69,6.2,267.1,13.9,N,2
41.4429,21.9484,310.4,1,1,2017-01-05,0032,Aqua,MODIS,80,6.2,268.9,16.4,N,2
41.1714,22.5146,301,1.1,1,2017-01-28,1144,Aqua,MODIS,43,6.2,282.8,6.5,D,0
41.4372,21.9378,301,1.3,1.1,2017-02-05,0915,Terra,MODIS,29,6.2,286.4,6.3,D,2
41.4471,21.9398,308.8,1.3,1.1,2017-02-05,0915,Terra,MODIS,68,6.2,286.2,13.3,D,2
41.1725,22.5615,310.1,1.1,1,2017-02-08,1126,Aqua,MODIS,66,6.2,284.4,12.5,D,0
41.1796,22.546,328.6,1.1,1,2017-02-08,1126,Aqua,MODIS,81,6.2,285.1,32.1,D,0
41.1434,22.5029,318.8,1.1,1,2017-02-08,1126,Aqua,MODIS,79,6.2,285.6,20.8,D,0
41.4457,21.9406,316.1,1.5,1.2,2017-02-14,0909,Terra,MODIS,76,6.2,276.5,29.6,D,2
41.4417,21.9524,303.4,1.5,1.2,2017-02-14,0909,Terra,MODIS,32,6.2,275.8,12.1,D,2
41.4435,21.934,310,1.5,1.2,2017-02-14,0909,Terra,MODIS,61,6.2,278.3,19.8,D,2
41.4749,22.7425,304.2,1.6,1.2,2017-02-15,0952,Terra,MODIS,58,6.2,281.5,14.8,D,0
41.4408,21.9397,300.3,1,1,2017-02-15,1132,Aqua,MODIS,35,6.2,289.4,3.7,D,2
41.8944,22.4171,301.2,1,1,2017-02-15,1132,Aqua,MODIS,45,6.2,285.7,3.9,D,0
41.2351,21.5696,300.6,2.4,1.5,2017-02-16,0857,Terra,MODIS,40,6.2,286.4,18.6,D,0
41.4401,21.9318,302.6,2.5,1.5,2017-02-16,1215,Aqua,MODIS,53,6.2,291.1,16.3,D,2
41.2307,21.5739,303.5,2.4,1.5,2017-02-16,1215,Aqua,MODIS,49,6.2,289.2,18,D,0
41.4423,21.9441,305.3,1.1,1,2017-02-17,0939,Terra,MODIS,61,6.2,287.1,8.2,D,2
