latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.6438,27.6952,305.7,1,1,2017-02-28,0919,Terra,MODIS,62,6.2,281.1,9.4,D,0
47.3349,27.902,300.6,1.2,1.1,2017-03-02,1051,Aqua,MODIS,39,6.2,288.3,5.1,D,0
47.5278,27.5325,300.7,1.3,1.1,2017-03-02,1051,Aqua,MODIS,38,6.2,287.7,6.3,D,0
47.1844,28.6114,300.1,1.6,1.2,2017-03-04,1039,Aqua,MODIS,25,6.2,288.7,7.4,D,0
48.3279,27.8722,323.7,1.2,1.1,2017-03-05,1122,Aqua,MODIS,83,6.2,276.3,30.6,D,0
46.5362,29.514,310.3,1,1,2017-03-07,1109,Aqua,MODIS,68,6.2,292.8,8.6,D,0
46.5097,29.8754,301.6,1.1,1,2017-03-07,1109,Aqua,MODIS,36,6.2,289.8,3.3,D,0
47.3496,28.1414,302.8,1,1,2017-03-07,1109,Aqua,MODIS,54,6.2,289.7,5.2,D,0
46.175,28.145,305.9,1,1,2017-03-07,1109,Aqua,MODIS,62,6.2,292.6,5.1,D,0
46.941,28.5444,302.5,3,1.6,2017-03-08,1152,Aqua,MODIS,52,6.2,288.8,19.2,D,0
47.4275,28.4277,306.2,3,1.6,2017-03-08,1152,Aqua,MODIS,55,6.2,291.3,24,D,0
47.4265,28.436,308.4,3,1.6,2017-03-08,1152,Aqua,MODIS,67,6.2,291.3,30,D,0
47.2616,28.9834,306.6,1,1,2017-03-09,1057,Aqua,MODIS,63,6.2,292.1,6.2,D,0
47.2595,28.97,303.5,1,1,2017-03-09,1057,Aqua,MODIS,55,6.2,291.1,4.2,D,0
46.6595,29.6416,304.6,1.2,1.1,2017-03-14,1115,Aqua,MODIS,43,6.2,291,6.1,D,0
46.6559,29.6323,305.6,1.2,1.1,2017-03-14,1115,Aqua,MODIS,46,6.2,290.7,6.4,D,0
46.7038,29.5996,302.3,1.2,1.1,2017-03-14,1115,Aqua,MODIS,52,6.2,285.4,4.4,D,0
47.4677,29.0626,307.2,1.1,1.1,2017-03-14,1116,Aqua,MODIS,65,6.2,288.6,8.7,D,0
48.4537,27.5803,301.6,1,1,2017-03-16,0919,Terra,MODIS,29,6.2,280.3,6.8,D,0
45.9208,28.3044,319.3,1,1,2017-03-16,1103,Aqua,MODIS,79,6.2,286.7,18.6,D,0
47.1772,29.4984,301.6,1.7,1.3,2017-03-21,0938,Terra,MODIS,48,6.2,284.4,6.3,D,0
47.2948,28.3226,305.7,1.5,1.2,2017-03-21,0938,Terra,MODIS,62,6.2,273.9,15.5,D,0
47.2802,28.7834,304.6,1.3,1.1,2017-03-21,1122,Aqua,MODIS,28,6.2,284.7,6.8,D,0
46.944,28.868,308.9,1.3,1.1,2017-03-21,1122,Aqua,MODIS,68,6.2,288.3,9.2,D,0
46.9423,28.8521,308,1.2,1.1,2017-03-21,1122,Aqua,MODIS,66,6.2,287.9,8.2,D,0
47.3471,29.129,305.6,1.3,1.1,2017-03-21,1122,Aqua,MODIS,0,6.2,286.6,9.6,D,0
46.507,29.9407,304.4,1.4,1.2,2017-03-21,1122,Aqua,MODIS,40,6.2,283.7,7.8,D,0
46.9842,28.1969,319.3,1.2,1.1,2017-03-21,1122,Aqua,MODIS,79,6.2,288,19.4,D,0
46.9814,28.1874,307.8,1.2,1.1,2017-03-21,1122,Aqua,MODIS,56,6.2,287.3,7.1,D,0
46.9831,28.2025,313.9,1.2,1.1,2017-03-21,1122,Aqua,MODIS,74,6.2,287.7,12.7,D,0
46.8531,28.1313,301.9,1.2,1.1,2017-03-21,1122,Aqua,MODIS,44,6.2,284.1,3.9,D,0
47.2917,28.3114,303.3,1.2,1.1,2017-03-21,1122,Aqua,MODIS,41,6.2,287.6,4.2,D,0
47.0555,29.3513,307.9,1.3,1.1,2017-03-21,1122,Aqua,MODIS,66,6.2,282.3,9.5,D,0
47.9349,27.4225,310,1.1,1.1,2017-03-21,1122,Aqua,MODIS,69,6.2,289.4,9.2,D,0
47.4901,28.6562,310.6,1.2,1.1,2017-03-21,1122,Aqua,MODIS,66,6.2,289.2,9.8,D,0
47.492,28.6654,305.2,1.2,1.1,2017-03-21,1122,Aqua,MODIS,30,6.2,287.1,4.6,D,0
47.3072,28.4548,304.5,1.2,1.1,2017-03-21,1122,Aqua,MODIS,58,6.2,288.6,6.3,D,0
47.2785,28.7669,313.1,1.3,1.1,2017-03-21,1122,Aqua,MODIS,73,6.2,283.7,14.7,D,0
47.9566,29.1318,301.1,1.6,1.3,2017-03-22,0842,Terra,MODIS,44,6.2,287.1,6.9,D,0
48.102,28.6184,302.7,1.7,1.3,2017-03-22,0842,Terra,MODIS,40,6.2,286,9.3,D,0
47.7251,29.185,319.3,1.6,1.2,2017-03-22,0842,Terra,MODIS,68,6.2,286.9,29.7,D,0
47.7238,29.2006,322.3,1.6,1.2,2017-03-22,0842,Terra,MODIS,56,6.2,287.9,33.2,D,0
47.3681,29.2767,303.6,2,1.4,2017-03-22,1027,Aqua,MODIS,55,6.2,287.9,10.3,D,0
46.9978,29.5199,318.9,2,1.4,2017-03-22,1027,Aqua,MODIS,78,6.2,294.5,37,D,0
47.3603,29.2593,307.2,2,1.4,2017-03-22,1027,Aqua,MODIS,63,6.2,287.8,15.7,D,0
46.9921,29.4947,315.1,2,1.4,2017-03-22,1027,Aqua,MODIS,74,6.2,293.4,28.3,D,0
48.3539,27.8993,303.9,4.2,1.9,2017-03-22,1205,Aqua,MODIS,55,6.2,285.2,39.5,D,0
47.1825,27.8621,315.1,1.1,1,2017-03-23,0925,Terra,MODIS,73,6.2,293,11.5,D,0
46.8768,29.1119,304.7,1.2,1.1,2017-03-23,0925,Terra,MODIS,47,6.2,291.5,4.3,D,0
47.091,28.6272,308.1,1.2,1.1,2017-03-23,0925,Terra,MODIS,61,6.2,292,8.1,D,0
47.1564,28.563,306.4,1.2,1.1,2017-03-23,0925,Terra,MODIS,55,6.2,291.6,5.7,D,0
47.1542,28.5562,305.3,1.2,1.1,2017-03-23,0925,Terra,MODIS,48,6.2,291.4,5.6,D,0
45.5464,28.404,306.1,1.2,1.1,2017-03-23,0926,Terra,MODIS,54,6.2,293.7,5.7,D,0
45.9634,28.3424,311.9,1.2,1.1,2017-03-23,0926,Terra,MODIS,70,6.2,293.2,10.6,D,0
46.6625,29.6366,308.3,1.3,1.1,2017-03-23,0926,Terra,MODIS,61,6.2,296.2,7.8,D,0
46.7301,29.64,309.4,1.1,1,2017-03-23,1109,Aqua,MODIS,41,6.2,298.2,4.9,D,0
46.6179,29.0611,310,1,1,2017-03-23,1109,Aqua,MODIS,57,6.2,298.4,4.9,D,0
46.9971,28.9291,312.3,1,1,2017-03-23,1110,Aqua,MODIS,49,6.2,296.3,6.3,D,0
47.0061,28.9265,321.5,1,1,2017-03-23,1110,Aqua,MODIS,78,6.2,296.7,15.1,D,0
47.1505,28.5565,311.8,1,1,2017-03-23,1110,Aqua,MODIS,65,6.2,294.8,7.6,D,0
47.1252,28.7836,318.3,1,1,2017-03-23,1110,Aqua,MODIS,75,6.2,295.4,12.1,D,0
47.1341,28.781,313.5,1,1,2017-03-23,1110,Aqua,MODIS,66,6.2,295.4,7.9,D,0
46.8964,28.7999,308,1,1,2017-03-23,1110,Aqua,MODIS,54,6.2,294.4,4.2,D,0
47.2444,28.2295,311.5,1,1,2017-03-23,1110,Aqua,MODIS,65,6.2,295.3,7.7,D,0
47.3299,28.3816,310.8,1,1,2017-03-23,1110,Aqua,MODIS,60,6.2,292.9,7.6,D,0
47.7114,29.0394,306.5,1,1,2017-03-23,1110,Aqua,MODIS,46,6.2,287.2,4.7,D,0
47.1523,28.5698,309.1,1,1,2017-03-23,1110,Aqua,MODIS,55,6.2,294.6,5.3,D,0
46.8946,28.7867,310.2,1,1,2017-03-23,1110,Aqua,MODIS,61,6.2,294.7,5.7,D,0
47.2682,28.7506,309.7,1,1,2017-03-23,1110,Aqua,MODIS,60,6.2,294.3,5.4,D,0
47.0773,28.6617,314.2,3.1,1.7,2017-03-24,1153,Aqua,MODIS,63,6.2,293.3,51.6,D,0
47.0771,28.6528,318.1,3.1,1.7,2017-03-24,1153,Aqua,MODIS,61,6.2,293.4,61.8,D,0
47.0756,28.6217,310.7,3,1.7,2017-03-24,1153,Aqua,MODIS,67,6.2,293.3,39.1,D,0
48.384,27.2592,305.2,2.6,1.6,2017-03-24,1153,Aqua,MODIS,59,6.2,289.7,15.8,D,0
47.5862,29.0528,315.8,3.2,1.7,2017-03-24,1153,Aqua,MODIS,71,6.2,296.1,48.5,D,0
47.5815,29.0491,313,3.2,1.7,2017-03-24,1153,Aqua,MODIS,69,6.2,295.8,39,D,0
47.1227,28.2812,301.6,1.8,1.3,2017-03-28,0944,Terra,MODIS,27,6.2,288.9,6.7,D,0
47.8771,29.2031,304.3,1.9,1.4,2017-03-28,0944,Terra,MODIS,49,6.2,291.4,9.9,D,0
47.1284,28.2777,301.7,1.8,1.3,2017-03-28,0944,Terra,MODIS,31,6.2,287.6,6.8,D,0
47.6156,27.6676,328.6,1.6,1.3,2017-03-28,0944,Terra,MODIS,74,6.2,290.9,51.8,D,0
47.4679,28.7829,303.9,1.9,1.3,2017-03-28,0944,Terra,MODIS,37,6.2,291.5,9.3,D,0
47.8835,29.1015,333.8,1.6,1.2,2017-03-28,1128,Aqua,MODIS,87,6.2,295,58.9,D,0
47.8852,29.1221,321.5,1.6,1.2,2017-03-28,1128,Aqua,MODIS,78,6.2,295.5,30.6,D,0
45.8849,28.1708,309.5,1.3,1.1,2017-03-28,1128,Aqua,MODIS,59,6.2,295.4,6.7,D,0
47.0504,28.1832,315.7,1.4,1.2,2017-03-28,1128,Aqua,MODIS,72,6.2,294.8,17.1,D,0
47.8703,29.2101,313.9,1.6,1.2,2017-03-28,1128,Aqua,MODIS,69,6.2,294.7,16.6,D,0
47.0469,28.2567,310.5,1.4,1.2,2017-03-28,1128,Aqua,MODIS,64,6.2,293.8,11.1,D,0
47.0521,28.2006,306.1,1.4,1.2,2017-03-28,1128,Aqua,MODIS,47,6.2,293.7,6.3,D,0
47.8619,28.9815,313.1,1.5,1.2,2017-03-28,1128,Aqua,MODIS,59,6.2,294.1,15.4,D,0
47.2788,28.8658,309.7,1.4,1.2,2017-03-29,0849,Terra,MODIS,50,6.2,294.1,9.3,D,0
47.2786,29.4473,315,1.3,1.1,2017-03-29,0849,Terra,MODIS,67,6.2,299.3,10.9,D,0
46.9975,28.7326,314.6,1.4,1.2,2017-03-29,0849,Terra,MODIS,60,6.2,297.8,13.9,D,0
47.174,27.9611,312,1.5,1.2,2017-03-29,0849,Terra,MODIS,67,6.2,296.3,12,D,0
47.7733,27.7431,309.6,1.6,1.2,2017-03-29,0849,Terra,MODIS,62,6.2,297.4,8.8,D,0
47.0817,27.9764,312.2,1.5,1.2,2017-03-29,0849,Terra,MODIS,68,6.2,296.1,11.7,D,0
47.5024,28.4487,310.5,1.4,1.2,2017-03-29,0849,Terra,MODIS,57,6.2,297.4,11.3,D,0
47.16,27.9495,324.1,2,1.4,2017-03-29,1033,Aqua,MODIS,76,6.2,298.5,46.7,D,0
47.0308,28.643,307.9,1.9,1.3,2017-03-29,1033,Aqua,MODIS,44,6.2,297.4,10.9,D,0
46.7063,28.5311,309.6,1.9,1.4,2017-03-29,1033,Aqua,MODIS,57,6.2,297.9,12.7,D,0
46.7028,28.5374,309.1,1.9,1.4,2017-03-29,1033,Aqua,MODIS,35,6.2,297.9,11.1,D,0
47.7104,29.0243,308,1.7,1.3,2017-03-29,1033,Aqua,MODIS,49,6.2,297.1,9,D,0
47.1655,27.9736,328.8,2,1.4,2017-03-29,1033,Aqua,MODIS,73,6.2,297.2,61.7,D,0
