latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
58.2813,6.8974,315.9,1,1,2017-01-14,0200,Aqua,MODIS,89,6.2,270.8,20.2,N,0
58.3741,6.2249,313.1,1.1,1.1,2017-02-14,1233,Aqua,MODIS,73,6.2,278.4,18.5,D,0
58.1676,6.9225,306.4,1.1,1,2017-03-27,1227,Aqua,MODIS,55,6.2,290.1,7.8,D,0
58.5595,5.9662,320.3,1.2,1.1,2017-03-28,1120,Terra,MODIS,80,6.2,284.5,24.7,D,0
59.5913,10.7542,305.2,2,1.4,2017-04-11,1131,Terra,MODIS,36,6.2,283.5,22.2,D,0
59.3729,10.7618,325.7,2,1.4,2017-04-11,1131,Terra,MODIS,84,6.2,287.7,67.1,D,0
59.593,9.7167,309.1,1.1,1,2017-04-11,1144,Aqua,MODIS,68,6.2,281,13.3,D,0
59.581,10.7378,302,1.1,1,2017-04-11,1144,Aqua,MODIS,50,6.2,288.2,6.2,D,0
58.2083,6.8706,303,1,1,2017-04-14,1214,Aqua,MODIS,47,6.2,285.3,7.2,D,0
60.7509,11.1907,303.3,1.4,1.2,2017-05-01,1120,Aqua,MODIS,51,6.2,290.7,5.8,D,0
60.7459,11.1673,307.7,1.4,1.2,2017-05-01,1120,Aqua,MODIS,66,6.2,292.1,9.6,D,0
60.7996,10.779,323.4,1.5,1.2,2017-05-02,1011,Terra,MODIS,62,6.2,287.4,38.6,D,0
60.8032,10.7589,332.3,1.5,1.2,2017-05-02,1011,Terra,MODIS,0,6.2,286.9,54.6,D,0
60.801,10.7869,313,1.5,1.2,2017-05-02,1011,Terra,MODIS,45,6.2,286.8,18.7,D,0
60.3572,10.4908,307.1,1.5,1.2,2017-05-02,1012,Terra,MODIS,65,6.2,287.1,14.1,D,0
60.2763,11.666,311.6,1.4,1.2,2017-05-02,1012,Terra,MODIS,49,6.2,290.1,16,D,0
60.5968,12.0385,304.9,1.4,1.2,2017-05-02,1012,Terra,MODIS,52,6.2,287.7,8.6,D,0
60.2813,11.6739,311.8,1.4,1.2,2017-05-02,1012,Terra,MODIS,68,6.2,290.4,15.9,D,0
60.7439,11.1765,309.5,1.5,1.2,2017-05-02,1012,Terra,MODIS,69,6.2,289.6,12.9,D,0
60.7462,11.1498,310.7,1.5,1.2,2017-05-02,1012,Terra,MODIS,70,6.2,290.7,14.5,D,0
60.7334,11.1745,310.9,2.6,1.6,2017-05-02,1149,Terra,MODIS,65,6.2,290.5,37.8,D,0
60.7369,11.1862,310.7,2.6,1.6,2017-05-02,1149,Terra,MODIS,58,6.2,291.4,34.7,D,0
60.7456,11.1335,306.7,2.6,1.6,2017-05-02,1149,Terra,MODIS,48,6.2,292.3,22.8,D,0
60.7492,11.1453,311.4,2.6,1.6,2017-05-02,1149,Terra,MODIS,37,6.2,293.2,32.9,D,0
60.7305,10.7716,305.5,2.5,1.5,2017-05-02,1149,Terra,MODIS,58,6.2,286.2,27.5,D,0
60.718,10.8139,311.5,2.6,1.5,2017-05-02,1149,Terra,MODIS,62,6.2,287.1,42.7,D,0
59.0944,9.5708,301.1,2.7,1.6,2017-05-02,1150,Terra,MODIS,0,6.2,288.7,20.6,D,0
60.7308,10.7564,301.9,1,1,2017-05-02,1202,Aqua,MODIS,36,6.2,289.2,4.4,D,0
60.4047,10.4807,315.2,1,1,2017-05-02,1202,Aqua,MODIS,76,6.2,295.5,11.4,D,0
60.7332,10.7752,304.4,1,1,2017-05-02,1202,Aqua,MODIS,51,6.2,290.9,5.3,D,0
60.7022,10.8317,315.5,1,1,2017-05-02,1202,Aqua,MODIS,76,6.2,293.1,12.5,D,0
60.7046,10.8504,307.5,1,1,2017-05-02,1202,Aqua,MODIS,58,6.2,293.5,6.2,D,0
59.3179,10.1869,304.5,1,1,2017-05-02,1202,Aqua,MODIS,59,6.2,293.6,4.4,D,0
60.8242,11.1426,307.6,1.1,1,2017-05-02,1202,Aqua,MODIS,50,6.2,292.2,5.9,D,0
63.2133,11.0228,301.1,1,1,2017-05-03,1054,Terra,MODIS,32,6.2,286,5.1,D,0
60.8342,10.7859,322.4,1,1,2017-05-03,1054,Terra,MODIS,75,6.2,293.5,18.3,D,0
60.8256,10.78,322.9,1,1,2017-05-03,1054,Terra,MODIS,77,6.2,293.5,19.3,D,0
60.7278,10.8141,305.5,1.8,1.3,2017-05-03,1107,Aqua,MODIS,46,6.2,289.1,15,D,0
60.7334,10.8005,305.7,1.8,1.3,2017-05-03,1108,Aqua,MODIS,37,6.2,289.2,15.1,D,0
60.8182,11.1269,309.7,2.3,1.5,2017-05-03,1245,Aqua,MODIS,63,6.2,296,23.1,D,0
60.6851,11.9132,302.1,2.5,1.5,2017-05-03,1245,Aqua,MODIS,47,6.2,290.2,17.3,D,0
60.7544,11.2792,310.8,1.9,1.3,2017-05-04,0959,Terra,MODIS,56,6.2,291.9,22,D,0
60.8266,11.374,304.1,1.9,1.3,2017-05-04,0959,Terra,MODIS,29,6.2,290.9,13.5,D,0
58.5278,6.42,312.1,1.7,1.3,2017-05-04,1138,Terra,MODIS,0,6.2,289.5,23.5,D,0
58.5217,6.4276,301.6,1.3,1.1,2017-05-04,1150,Aqua,MODIS,41,6.2,289.9,5.5,D,0
60.324,10.6043,312,1,1,2017-05-04,1150,Aqua,MODIS,70,6.2,295.4,9,D,0
59.8169,10.2189,307,1,1,2017-05-05,1042,Terra,MODIS,25,6.2,294.4,4.9,D,0
60.8365,11.3688,318.2,1,1,2017-05-05,1042,Terra,MODIS,77,6.2,293.4,12.7,D,0
60.6896,11.9106,307.2,1,1,2017-05-05,1042,Terra,MODIS,65,6.2,290.7,5.6,D,0
60.6923,11.893,313.5,1,1,2017-05-05,1042,Terra,MODIS,74,6.2,289.2,10.1,D,0
60.8053,11.3245,307.3,1,1,2017-05-05,1042,Terra,MODIS,54,6.2,294.3,4.2,D,0
60.8339,11.3866,315.1,1,1,2017-05-05,1042,Terra,MODIS,62,6.2,292.5,10.4,D,0
60.3924,10.5301,309.8,1,1,2017-05-05,1042,Terra,MODIS,47,6.2,296,5.2,D,0
58.9254,6.2018,308.3,1.1,1.1,2017-05-05,1043,Terra,MODIS,53,6.2,294,8.2,D,0
60.818,11.3406,305,2.2,1.4,2017-05-05,1055,Aqua,MODIS,39,6.2,292.1,13.7,D,0
60.8083,11.3052,307.6,2.2,1.4,2017-05-05,1055,Aqua,MODIS,64,6.2,291.8,17.3,D,0
60.7984,11.3199,306.7,2.2,1.4,2017-05-05,1055,Aqua,MODIS,17,6.2,291.9,15.5,D,0
60.8282,11.0754,311.1,1.7,1.3,2017-05-05,1233,Aqua,MODIS,59,6.2,295.5,14.3,D,0
60.4581,10.504,311.3,1.6,1.3,2017-05-05,1233,Aqua,MODIS,66,6.2,291.7,20.4,D,0
60.4562,10.4761,313.7,1.6,1.3,2017-05-05,1233,Aqua,MODIS,0,6.2,294.1,23,D,0
59.5522,10.0533,311,1.5,1.2,2017-05-05,1233,Aqua,MODIS,67,6.2,294.4,16.4,D,0
58.9151,6.2059,309.6,1.1,1.1,2017-05-05,1233,Aqua,MODIS,48,6.2,295,8.9,D,0
60.72,10.6618,322.5,1.7,1.3,2017-05-05,1233,Aqua,MODIS,82,6.2,287.5,41.2,D,0
60.665,12.0763,308.1,2.3,1.5,2017-05-06,0947,Terra,MODIS,63,6.2,290.6,25.1,D,0
60.6307,12.0526,307.6,1,1,2017-05-06,1138,Aqua,MODIS,55,6.2,293.3,5.8,D,0
59.1268,9.4537,306.5,1.3,1.1,2017-05-06,1138,Aqua,MODIS,55,6.2,293.3,8.7,D,0
59.044,10.1286,308.8,1.2,1.1,2017-05-06,1138,Aqua,MODIS,0,6.2,290.6,10.2,D,0
64.8705,11.3274,314.7,1.1,1.1,2017-05-15,1118,Terra,MODIS,0,6.2,288.2,16.1,D,0
62.1226,8.7085,314.6,1.1,1.1,2017-05-15,1119,Terra,MODIS,62,6.2,290.6,15.9,D,0
64.864,11.3077,312,1,1,2017-05-15,1133,Aqua,MODIS,0,6.2,289.2,11.9,D,0
64.8673,11.3281,322.6,1,1,2017-05-15,1133,Aqua,MODIS,57,6.2,288.7,21.7,D,0
60.7264,10.7694,304.4,1.1,1,2017-05-26,1101,Terra,MODIS,31,6.2,291.5,3.7,D,0
58.4409,8.0504,301.6,1.7,1.3,2017-05-29,1132,Terra,MODIS,23,6.2,286.2,4.6,D,0
58.1717,8.131,305.6,1.1,1,2017-05-30,1037,Terra,MODIS,45,6.2,294.8,6.3,D,0
66.3101,14.171,315.5,1,1,2017-06-13,1047,Terra,MODIS,76,6.2,301.7,10.4,D,0
66.3068,14.1628,314.2,1.1,1,2017-06-13,1102,Aqua,MODIS,61,6.2,302.2,10.8,D,0
60.58,8.465,301.4,1.1,1,2017-06-21,1150,Aqua,MODIS,35,6.2,274.4,6.9,D,0
