latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.8679,35.1649,303.9,1.2,1.1,2017-02-07,1040,Aqua,MODIS,19,6.2,291,5.9,D,0
31.8741,35.4341,309,1,1,2017-03-06,1947,Terra,MODIS,76,6.2,289.3,9.7,N,0
31.8169,35.1972,313.6,1.9,1.3,2017-05-13,1923,Terra,MODIS,41,6.2,292.1,27,N,0
31.7934,35.2044,310.8,1.9,1.3,2017-05-13,1923,Terra,MODIS,75,6.2,292.7,22.1,N,0
31.7973,35.2238,308,1.9,1.3,2017-05-13,1923,Terra,MODIS,47,6.2,292.9,16.8,N,0
31.8006,35.2072,309.2,1.9,1.3,2017-05-13,1923,Terra,MODIS,17,6.2,292,17.9,N,0
31.9351,35.0437,315.5,1.9,1.4,2017-05-13,1923,Terra,MODIS,91,6.2,292,34.8,N,0
31.9312,35.0503,311.5,1.9,1.4,2017-05-13,1923,Terra,MODIS,83,6.2,291.8,27.1,N,0
31.8401,35.2514,304.3,1.9,1.3,2017-05-13,1923,Terra,MODIS,60,6.2,292.9,12.7,N,0
31.6941,35.1115,305.4,1.9,1.4,2017-05-13,1923,Terra,MODIS,64,6.2,291.1,17.9,N,0
31.7061,35.1086,301.5,1.9,1.4,2017-05-13,1923,Terra,MODIS,41,6.2,290.2,11.8,N,0
31.9432,35.0473,302.4,1.9,1.4,2017-05-13,1923,Terra,MODIS,23,6.2,291.5,11.4,N,0
31.9273,35.03,309.5,1.9,1.4,2017-05-13,1923,Terra,MODIS,77,6.2,291.7,23.5,N,0
32.2675,35.0663,326.4,1.6,1.2,2017-05-15,0810,Terra,MODIS,58,6.2,310.4,19.4,D,0
31.5547,35.0186,324.2,1.5,1.2,2017-05-15,0810,Terra,MODIS,29,6.2,310,13.9,D,0
32.3543,35.5498,332.7,1.2,1.1,2017-06-07,0816,Terra,MODIS,65,6.2,316.4,14.3,D,0
32.3448,35.5411,333,3,1.6,2017-06-07,1129,Aqua,MODIS,70,6.2,316.9,58.5,D,0
32.2348,35.2798,328,1.4,1.2,2017-07-12,0846,Terra,MODIS,52,6.2,309,17.9,D,0
32.2281,35.3688,307,1.2,1.1,2017-07-26,2000,Terra,MODIS,58,6.2,295.9,6.4,N,0
32.1282,35.3773,330.2,1,1,2017-08-08,0828,Terra,MODIS,65,6.2,311.6,9.2,D,0
32.1297,35.3669,336.5,1,1,2017-08-08,0828,Terra,MODIS,78,6.2,312.4,18.8,D,0
32.0266,35.4677,330.6,1.1,1,2017-08-17,0822,Terra,MODIS,60,6.2,312.2,8.5,D,0
31.9973,35.0259,321.9,1.5,1.2,2017-09-28,1034,Aqua,MODIS,44,6.2,306.8,13.2,D,0
31.8511,35.2499,319.6,1,1,2017-10-27,0828,Terra,MODIS,61,6.2,305,9.1,D,0
32.2432,35.4663,313,1.2,1.1,2017-11-10,0840,Terra,MODIS,32,6.2,299.7,5.3,D,0
32.1692,35.2631,310.6,2.3,1.5,2017-11-17,1022,Aqua,MODIS,33,6.2,296,16.2,D,0
32.2562,35.0362,309.1,1.1,1.1,2017-11-26,0840,Terra,MODIS,62,6.2,294.8,7.5,D,0
32.2638,35.1618,311.2,1.7,1.3,2017-12-02,1117,Aqua,MODIS,62,6.2,297.4,16.6,D,0
31.8604,35.0829,304.2,1.1,1.1,2017-12-12,0840,Terra,MODIS,42,6.2,291.4,4.6,D,0
