latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.7681,-8.0845,314,1.9,1.3,2017-01-01,1201,Terra,MODIS,74,6.2,280,39.6,D,0
41.8005,-7.6247,317.6,2,1.4,2017-01-01,1201,Terra,MODIS,78,6.2,280.3,52.7,D,0
37.1456,-7.6827,303.6,1,1,2017-01-07,1126,Terra,MODIS,56,6.2,287.1,6.6,D,0
41.5906,-7.987,301.2,1,1,2017-01-07,2230,Terra,MODIS,39,6.2,276.3,8.8,N,0
41.5888,-7.9989,328,1,1,2017-01-07,2230,Terra,MODIS,100,6.2,279,31.5,N,0
41.6748,-7.8554,324.6,2.4,1.5,2017-01-08,1207,Terra,MODIS,83,6.2,284,90.8,D,0
41.0403,-7.9256,310,1.1,1,2017-01-08,1348,Aqua,MODIS,69,6.2,280.6,14.1,D,0
40.9372,-7.9354,310.7,1.1,1,2017-01-08,1348,Aqua,MODIS,70,6.2,285.9,13.5,D,0
41.1681,-6.7474,303.8,1.2,1.1,2017-01-08,1348,Aqua,MODIS,57,6.2,282.8,10.9,D,0
40.4495,-7.5297,324,1,1,2017-01-10,1335,Aqua,MODIS,83,6.2,278.3,25.1,D,0
40.4512,-7.5181,313.5,1,1,2017-01-10,1335,Aqua,MODIS,74,6.2,277.2,15.4,D,0
38.1118,-8.2513,301.3,2.5,1.5,2017-01-11,1418,Aqua,MODIS,46,6.2,290.5,15.4,D,0
40.9793,-7.954,310,1.2,1.1,2017-01-12,1323,Aqua,MODIS,69,6.2,284.1,14.7,D,0
41.3314,-7.848,311.4,1,1,2017-01-14,2236,Terra,MODIS,82,6.2,272.4,16.4,N,0
41.3371,-7.8096,310,1.2,1.1,2017-01-15,0248,Aqua,MODIS,79,6.2,272.8,18.7,N,0
40.9721,-7.3362,314.5,1.3,1.1,2017-01-15,1354,Aqua,MODIS,75,6.2,282.9,24,D,0
39.2605,-8.1151,300.5,1.1,1,2017-01-16,1119,Terra,MODIS,38,6.2,284.4,6.7,D,0
41.7208,-7.2421,301.7,2.1,1.4,2017-01-17,1201,Terra,MODIS,49,6.2,284.2,19.1,D,0
38.9487,-8.177,309.3,1,1,2017-01-17,1341,Aqua,MODIS,68,6.2,290.3,9.5,D,0
39.4112,-8.4841,304.7,1,1,2017-01-17,1341,Aqua,MODIS,60,6.2,290,5.5,D,0
40.9742,-8.0604,306.8,1,1,2017-01-17,1342,Aqua,MODIS,53,6.2,290.4,8,D,0
40.971,-8.0838,303.8,1,1,2017-01-17,1342,Aqua,MODIS,41,6.2,290.9,5.6,D,0
40.8602,-7.8189,330.2,1,1,2017-01-17,1342,Aqua,MODIS,87,6.2,287.4,31.2,D,0
40.8586,-7.8307,312.8,1,1,2017-01-17,1342,Aqua,MODIS,73,6.2,287.4,13.2,D,0
40.562,-7.2925,300.6,1,1,2017-01-17,1342,Aqua,MODIS,39,6.2,284.1,6.1,D,0
40.9726,-8.0721,306.2,1,1,2017-01-17,1342,Aqua,MODIS,63,6.2,291.4,7.5,D,0
41.9436,-6.9895,308.6,1.1,1,2017-01-17,1342,Aqua,MODIS,61,6.2,287,10.1,D,0
41.9453,-6.9764,304.8,1.1,1,2017-01-17,1342,Aqua,MODIS,36,6.2,287.7,7.2,D,0
41.9344,-6.9875,308.6,1.1,1,2017-01-17,1342,Aqua,MODIS,65,6.2,286,10.3,D,0
41.9361,-6.9742,307.7,1.1,1,2017-01-17,1342,Aqua,MODIS,64,6.2,286.4,9.5,D,0
41.3594,-7.5187,331.6,1,1,2017-01-17,1342,Aqua,MODIS,87,6.2,287.2,34.5,D,0
41.7375,-8.0035,308.2,1,1,2017-01-17,1342,Aqua,MODIS,67,6.2,289.5,9.4,D,0
41.0517,-7.9017,304.2,1,1,2017-01-17,1342,Aqua,MODIS,58,6.2,285,7.6,D,0
41.3496,-7.7679,316.8,2.3,1.5,2017-01-17,2307,Terra,MODIS,94,6.2,272.9,70.1,N,0
41.8745,-8.2332,303.3,1.7,1.3,2017-01-18,1106,Terra,MODIS,52,6.2,280.4,19,D,0
38.939,-9.2656,300.1,1.8,1.3,2017-01-18,1107,Terra,MODIS,28,6.2,279.6,16.6,D,0
