latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.4824,-172.3124,316.5,2.1,1.4,2017-01-04,0047,Aqua,MODIS,27,6.2,296,27.1,D,0
-13.4911,-172.296,313.9,2.1,1.4,2017-01-08,2216,Terra,MODIS,21,6.2,295.6,20,D,0
-13.4919,-172.3075,311.8,3.4,1.7,2017-01-10,0148,Aqua,MODIS,0,6.2,289.9,36.5,D,0
-13.491,-172.2984,317.7,2,1.4,2017-01-12,0136,Aqua,MODIS,0,6.2,297.6,22.2,D,0
-13.4752,-172.3077,310.7,1.6,1.3,2017-01-17,2210,Terra,MODIS,0,6.2,290.3,10.9,D,0
-13.5081,-172.5569,313,3.5,1.8,2017-01-22,2228,Terra,MODIS,40,6.2,292,40.7,D,0
-13.4854,-172.2968,321.6,1.5,1.2,2017-01-23,2133,Terra,MODIS,35,6.2,297.9,18.9,D,0
-13.5006,-172.5631,312.1,2.9,1.6,2017-02-14,0041,Aqua,MODIS,27,6.2,293.7,35.5,D,0
-13.4892,-172.3174,312.4,2.8,1.6,2017-02-14,0041,Aqua,MODIS,21,6.2,293.8,28.7,D,0
-13.5045,-172.5748,313.9,2.7,1.6,2017-02-16,2222,Terra,MODIS,19,6.2,292.3,27,D,0
-13.5059,-172.5757,314,3.3,1.7,2017-02-27,0148,Aqua,MODIS,40,6.2,294.5,39.7,D,0
-13.4836,-172.3014,318.6,1.6,1.3,2017-03-06,2210,Terra,MODIS,17,6.2,299.5,20,D,0
-13.5115,-172.5799,313.9,3.9,1.8,2017-03-11,0035,Aqua,MODIS,31,6.2,294.4,52.7,D,0
-13.5061,-172.5848,313.1,3.9,1.8,2017-03-11,0035,Aqua,MODIS,28,6.2,294.4,47.7,D,0
-13.5163,-172.5785,312.3,3.8,1.8,2017-03-27,0035,Aqua,MODIS,41,6.2,295.5,48.2,D,0
-13.4814,-172.3085,312.9,2.1,1.4,2017-03-29,2216,Terra,MODIS,22,6.2,297.2,18.8,D,0
-13.485,-172.3122,312,3.4,1.7,2017-04-16,0148,Aqua,MODIS,0,6.2,298,35.8,D,0
-13.5119,-172.5692,311.6,2.9,1.6,2017-05-21,0041,Aqua,MODIS,26,6.2,293.7,26.4,D,0
-13.4843,-172.3089,315.3,2,1.4,2017-08-24,0136,Aqua,MODIS,21,6.2,299.2,20.4,D,0
-13.5034,-172.5684,313,4.3,1.9,2017-09-14,0154,Aqua,MODIS,30,6.2,299.5,60.8,D,0
-13.4869,-172.3003,316.6,1.5,1.2,2017-09-20,2134,Terra,MODIS,21,6.2,298.6,13.3,D,0
-13.5029,-172.5679,315,3.3,1.7,2017-09-23,0148,Aqua,MODIS,26,6.2,295.2,45.9,D,0
-13.4876,-172.2964,318.6,1.6,1.3,2017-09-30,2210,Terra,MODIS,0,6.2,302.1,20.9,D,0
-13.4902,-172.3046,310.9,3.4,1.7,2017-10-25,0148,Aqua,MODIS,0,6.2,292.7,34.9,D,0
-13.493,-172.291,320.5,1,1,2017-11-05,2146,Terra,MODIS,18,6.2,300.3,10,D,0
-13.5054,-172.5547,311.4,3.6,1.8,2017-11-06,2229,Terra,MODIS,19,6.2,287.9,38.8,D,0
-13.5097,-172.5635,311.1,4.6,2,2017-11-11,2109,Terra,MODIS,35,6.2,295,56.7,D,0
-13.5113,-172.5557,310.7,4.6,2,2017-11-11,2109,Terra,MODIS,30,6.2,294.9,49.4,D,0
-13.4925,-172.2951,323.7,1.2,1.1,2017-11-14,0124,Aqua,MODIS,39,6.2,302.4,17.2,D,0
-13.5056,-172.5779,313.9,3,1.6,2017-11-29,0041,Aqua,MODIS,13,6.2,292.5,32.7,D,0
-13.8346,-171.7682,315.3,1,1,2017-12-14,2152,Terra,MODIS,43,6.2,294.5,8.6,D,0
-13.4877,-172.3032,325.6,1.2,1.1,2017-12-16,0124,Aqua,MODIS,46,6.2,303.2,18.9,D,0
-13.5117,-172.5813,310.1,3.5,1.8,2017-12-24,2228,Terra,MODIS,22,6.2,294,34,D,0
-13.5103,-172.5786,316.4,2.8,1.6,2017-12-27,2121,Terra,MODIS,40,6.2,299.4,33.9,D,0
-13.5075,-172.5722,317.8,2.8,1.6,2017-12-27,2121,Terra,MODIS,43,6.2,300.6,38.2,D,0
