latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.3195,103.6552,311.7,1.9,1.4,2017-01-01,0358,Terra,MODIS,27,6.2,290.3,15.7,D,0
1.3694,103.9973,311.6,1.2,1.1,2017-01-19,0346,Terra,MODIS,0,6.2,287.9,6.4,D,0
1.3162,103.6646,312.7,3.2,1.7,2017-02-10,0606,Aqua,MODIS,0,6.2,292.1,30.2,D,0
1.3281,103.6469,318,1,1,2017-04-18,0340,Terra,MODIS,22,6.2,296.6,8.9,D,0
1.4182,103.7486,316.4,1,1,2017-04-27,0334,Terra,MODIS,36,6.2,294.6,7.3,D,0
1.3231,103.6491,315.8,1.4,1.2,2017-06-16,0322,Terra,MODIS,27,6.2,295.1,11.3,D,0
1.4178,103.7486,317.4,1,1,2017-07-23,0340,Terra,MODIS,0,6.2,299.6,8,D,0
1.3271,103.6453,315.4,1.4,1.2,2017-07-25,0624,Aqua,MODIS,0,6.2,297,11.8,D,0
1.3373,103.7133,318.2,1,1,2017-08-24,0340,Terra,MODIS,40,6.2,297.5,8.8,D,0
1.3701,103.9912,313.8,2.8,1.6,2017-10-07,0405,Terra,MODIS,0,6.2,292.1,30.2,D,0
