latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.8569,37.9325,306.1,1.7,1.3,2017-01-01,0846,Terra,MODIS,63,6.2,283.7,18.4,D,0
34.8683,37.9954,311.7,1.8,1.3,2017-01-01,0846,Terra,MODIS,72,6.2,284.2,27.5,D,2
34.8532,37.951,300.1,1.7,1.3,2017-01-01,0846,Terra,MODIS,20,6.2,283.9,9.9,D,0
34.8454,37.943,305.6,1.7,1.3,2017-01-01,0846,Terra,MODIS,62,6.2,284.2,16.8,D,0
34.8693,37.9806,301.2,1.4,1.2,2017-01-01,1022,Aqua,MODIS,38,6.2,285.5,7,D,2
34.8511,37.9396,305.8,1.4,1.2,2017-01-01,1022,Aqua,MODIS,62,6.2,284.3,11.3,D,0
34.8484,37.9248,302.3,1.4,1.2,2017-01-01,1022,Aqua,MODIS,51,6.2,285.2,7.9,D,0
36.9448,40.3073,315.4,1,1,2017-01-01,1023,Aqua,MODIS,76,6.2,287.4,15.4,D,0
34.8686,37.9919,312.7,1.2,1.1,2017-01-01,1948,Terra,MODIS,85,6.2,270.7,22.9,N,2
34.8438,37.929,310.9,1.8,1.3,2017-01-02,1105,Aqua,MODIS,71,6.2,284.6,24.8,D,0
34.8531,37.9402,304.5,1.8,1.3,2017-01-02,1105,Aqua,MODIS,59,6.2,284.2,15.8,D,0
34.8708,37.9967,322.3,1.2,1.1,2017-01-03,0833,Terra,MODIS,77,6.2,284,28.1,D,2
34.8677,37.9943,306.1,2.1,1.4,2017-01-03,1010,Aqua,MODIS,63,6.2,284.1,24.4,D,2
34.8688,37.9872,305.8,2.1,1.4,2017-01-03,1010,Aqua,MODIS,50,6.2,284.1,22.3,D,2
34.8528,37.9394,306.5,1,1,2017-01-03,1936,Terra,MODIS,68,6.2,270.6,13,N,0
34.8693,37.9914,322.1,1,1,2017-01-03,1936,Terra,MODIS,100,6.2,272.1,25.8,N,2
