latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.5891,0.6274,340.3,1,1,2017-01-01,1031,Terra,MODIS,87,6.2,309.3,30.7,D,0
10.5967,0.6378,340.9,1,1,2017-01-01,1031,Terra,MODIS,87,6.2,310.9,30.9,D,0
10.619,0.5481,324.5,1,1,2017-01-01,1031,Terra,MODIS,65,6.2,310.1,8.6,D,0
10.5981,0.6287,355.2,1,1,2017-01-01,1031,Terra,MODIS,97,6.2,310.4,60.9,D,0
10.9125,0.8111,326.1,1,1,2017-01-01,1031,Terra,MODIS,70,6.2,308.2,11.6,D,0
10.9111,0.8202,322.5,1,1,2017-01-01,1031,Terra,MODIS,59,6.2,309.5,7.8,D,0
10.6127,0.5286,331.6,1,1,2017-01-01,1031,Terra,MODIS,78,6.2,309.4,15.8,D,0
10.6114,0.5377,338,1,1,2017-01-01,1031,Terra,MODIS,85,6.2,311.9,25.6,D,0
10.8712,0.6504,321.5,1,1,2017-01-01,1031,Terra,MODIS,57,6.2,308.1,6.5,D,0
10.5878,0.6365,326.9,1,1,2017-01-01,1031,Terra,MODIS,70,6.2,310.9,11.1,D,0
9.7758,0.773,334.1,1,1,2017-01-01,1032,Terra,MODIS,81,6.2,310.8,20,D,0
7.8371,0.9189,325.7,1,1,2017-01-01,1032,Terra,MODIS,75,6.2,307.4,12.8,D,0
10.2043,0.676,322.7,1,1,2017-01-01,1032,Terra,MODIS,55,6.2,309.6,6.3,D,0
6.9536,1.0317,316.6,1,1,2017-01-01,1032,Terra,MODIS,61,6.2,303.9,6.2,D,0
8.9203,1.134,321.6,1,1,2017-01-01,1032,Terra,MODIS,66,6.2,306,7,D,0
9.8786,0.8864,331.6,1,1,2017-01-01,1032,Terra,MODIS,78,6.2,310.8,15.6,D,0
7.3876,1.5817,317.3,1,1,2017-01-01,1032,Terra,MODIS,61,6.2,304.9,5.7,D,0
8.7806,0.5806,322.8,1,1,2017-01-01,1032,Terra,MODIS,66,6.2,306.9,8.4,D,0
7.909,1.0551,319.9,1,1,2017-01-01,1032,Terra,MODIS,62,6.2,306.5,6.1,D,0
9.2101,1.4788,318.8,1,1,2017-01-01,1032,Terra,MODIS,57,6.2,305.4,6.3,D,0
8.7642,0.7589,320.3,1,1,2017-01-01,1032,Terra,MODIS,55,6.2,303.4,9.5,D,0
7.6558,0.8982,316.7,1,1,2017-01-01,1032,Terra,MODIS,51,6.2,303.1,7.3,D,0
8.085,0.9217,321,1,1,2017-01-01,1032,Terra,MODIS,65,6.2,306.5,7.3,D,0
6.8006,0.9474,327.9,1,1,2017-01-01,1032,Terra,MODIS,79,6.2,303.6,18.2,D,0
9.1451,1.4813,319.1,1,1,2017-01-01,1032,Terra,MODIS,61,6.2,305.4,7.2,D,0
7.708,1.1053,317.2,1,1,2017-01-01,1032,Terra,MODIS,39,6.2,305.1,4.9,D,0
7.7855,1.1417,321.9,1,1,2017-01-01,1032,Terra,MODIS,68,6.2,305.6,7.1,D,0
8.2071,0.7868,324.7,1,1,2017-01-01,1032,Terra,MODIS,72,6.2,301.9,14.9,D,0
6.7992,0.9565,324.3,1,1,2017-01-01,1032,Terra,MODIS,75,6.2,304.1,14,D,0
10.2802,0.5361,325.3,1,1,2017-01-01,1032,Terra,MODIS,66,6.2,311.6,7.8,D,0
7.5904,0.9648,316,1,1,2017-01-01,1032,Terra,MODIS,53,6.2,302.5,7.3,D,0
8.735,1.3249,316.6,1,1,2017-01-01,1032,Terra,MODIS,44,6.2,303.3,5.3,D,0
9.2009,0.5445,318.9,1,1,2017-01-01,1032,Terra,MODIS,50,6.2,306.4,6.1,D,0
9.7669,0.7656,323.8,1,1,2017-01-01,1032,Terra,MODIS,65,6.2,309.4,7.4,D,0
9.5191,0.763,326.4,1,1,2017-01-01,1032,Terra,MODIS,72,6.2,306.9,12.3,D,0
9.5204,0.754,323.8,1,1,2017-01-01,1032,Terra,MODIS,67,6.2,307.4,9.3,D,0
9.1741,0.5406,321.4,1,1,2017-01-01,1032,Terra,MODIS,62,6.2,304.7,8.3,D,0
7.7511,1.0009,316.2,1,1,2017-01-01,1032,Terra,MODIS,47,6.2,301.1,7.3,D,0
8.8244,0.7219,318.8,1,1,2017-01-01,1032,Terra,MODIS,54,6.2,303.9,7.3,D,0
10.0712,0.706,323.5,1,1,2017-01-01,1032,Terra,MODIS,43,6.2,310.3,6.3,D,0
9.7046,0.9405,322.1,1,1,2017-01-01,1032,Terra,MODIS,62,6.2,309.1,6.2,D,0
9.8872,0.9521,325.8,1,1,2017-01-01,1032,Terra,MODIS,67,6.2,310.9,8.7,D,0
8.8231,0.7309,320.1,1,1,2017-01-01,1032,Terra,MODIS,59,6.2,305.1,8,D,0
9.8948,0.9624,325.9,1,1,2017-01-01,1032,Terra,MODIS,66,6.2,310.2,9.3,D,0
10.0797,1.0205,337.5,1,1,2017-01-01,1032,Terra,MODIS,85,6.2,310.9,24.9,D,0
7.2498,1.3325,319.6,1,1,2017-01-01,1032,Terra,MODIS,68,6.2,306.3,6.3,D,0
9.8457,0.8568,327.2,1,1,2017-01-01,1032,Terra,MODIS,72,6.2,310.5,10.8,D,0
7.5994,0.9661,315.6,1,1,2017-01-01,1032,Terra,MODIS,47,6.2,302.7,7.2,D,0
7.2485,1.3416,321.4,1,1,2017-01-01,1032,Terra,MODIS,71,6.2,306.6,7.8,D,0
8.7884,0.7808,317.9,1,1,2017-01-01,1032,Terra,MODIS,49,6.2,305.4,4.6,D,0
10.1238,0.9133,351.4,1,1,2017-01-01,1032,Terra,MODIS,95,6.2,312.9,50.8,D,0
9.569,0.9877,327.3,1,1,2017-01-01,1032,Terra,MODIS,74,6.2,307.1,14.8,D,0
9.1996,0.5535,319.9,1,1,2017-01-01,1032,Terra,MODIS,56,6.2,308,7,D,0
8.0475,0.9898,321.8,1,1,2017-01-01,1032,Terra,MODIS,67,6.2,307.8,7.4,D,0
7.9865,0.9652,330.9,1,1,2017-01-01,1032,Terra,MODIS,81,6.2,308.1,18.3,D,0
