latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.6939,31.1095,339.6,2.4,1.5,2017-01-01,0854,Terra,MODIS,89,6.2,300.2,112.8,D,0
3.7585,31.7933,322.6,2.7,1.6,2017-01-01,0854,Terra,MODIS,67,6.2,301.8,39.8,D,0
2.9662,33.0659,323.3,3.5,1.8,2017-01-01,0854,Terra,MODIS,72,6.2,301.7,58.2,D,0
3.3588,32.6976,320.6,3.2,1.7,2017-01-01,0854,Terra,MODIS,40,6.2,301.2,26.7,D,0
3.6899,31.1144,342,2.4,1.5,2017-01-01,0854,Terra,MODIS,90,6.2,299.8,127.3,D,0
2.688,33.1967,319.6,3.6,1.8,2017-01-01,0854,Terra,MODIS,67,6.2,300.2,34.3,D,0
3.2584,33.2567,336.5,3.6,1.8,2017-01-01,0854,Terra,MODIS,85,6.2,303.3,159.7,D,0
3.2518,33.2622,332,3.6,1.8,2017-01-01,0854,Terra,MODIS,81,6.2,303.7,115.5,D,0
2.6792,33.1903,320.6,3.6,1.8,2017-01-01,0854,Terra,MODIS,67,6.2,301.3,36.7,D,0
3.6477,31.1448,324.9,2.4,1.5,2017-01-01,0854,Terra,MODIS,75,6.2,301,46.8,D,0
3.6999,31.1373,319.8,2.4,1.5,2017-01-01,0854,Terra,MODIS,65,6.2,302.9,25.2,D,0
3.6444,31.1659,322.7,2.4,1.5,2017-01-01,0854,Terra,MODIS,72,6.2,300.7,38.3,D,0
3.5165,32.6692,315.6,3.2,1.7,2017-01-01,0854,Terra,MODIS,40,6.2,298.9,26.6,D,0
3.3611,32.6914,322.4,3.2,1.7,2017-01-01,0854,Terra,MODIS,69,6.2,302,37.1,D,0
2.8609,32.378,319.5,3.1,1.7,2017-01-01,0854,Terra,MODIS,68,6.2,299.4,43.7,D,0
3.1862,33.2386,320.7,3.6,1.8,2017-01-01,0854,Terra,MODIS,49,6.2,299.9,43.8,D,0
2.9927,33.1017,318.8,3.5,1.8,2017-01-01,0854,Terra,MODIS,36,6.2,300.2,26.6,D,0
3.7032,31.1165,340.3,2.4,1.5,2017-01-01,0854,Terra,MODIS,89,6.2,302.4,118.1,D,0
3.2632,33.2252,325.5,3.6,1.8,2017-01-01,0854,Terra,MODIS,74,6.2,304,67,D,0
3.6907,31.1304,340.7,2.4,1.5,2017-01-01,0854,Terra,MODIS,89,6.2,303,119.4,D,0
2.86,32.3845,319.2,3.1,1.7,2017-01-01,0854,Terra,MODIS,67,6.2,299.2,41.4,D,0
3.363,32.9666,344.6,3.4,1.7,2017-01-01,0854,Terra,MODIS,91,6.2,303.7,227,D,0
3.6866,31.1353,329,2.4,1.5,2017-01-01,0854,Terra,MODIS,80,6.2,302.3,59.6,D,0
3.3812,32.5585,323.1,3.1,1.7,2017-01-01,0854,Terra,MODIS,71,6.2,302.3,53.7,D,0
