latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.6476,65.6299,303.4,1.6,1.2,2006-01-05,0827,Aqua,MODIS,56,6.2,283.5,12.5,D,0
31.6508,65.6466,313.2,1.6,1.2,2006-01-05,0827,Aqua,MODIS,73,6.2,283.1,25.5,D,0
34.5346,60.7595,314.6,1.1,1,2006-01-07,0641,Terra,MODIS,75,6.2,279.5,15.5,D,0
34.533,60.7708,300.4,1.1,1,2006-01-07,0641,Terra,MODIS,37,6.2,280.3,5.2,D,0
37.4985,65.8793,356.5,1.3,1.1,2006-01-08,0859,Aqua,MODIS,65,6.2,285,115.2,D,0
37.4899,65.8959,318.5,1.3,1.1,2006-01-08,0859,Aqua,MODIS,0,6.2,280.4,25.2,D,0
31.6058,65.5309,321.6,1,1,2006-01-10,0846,Aqua,MODIS,76,6.2,292.8,16,D,0
31.0413,61.9902,331.6,1.5,1.2,2006-01-20,0922,Aqua,MODIS,86,6.2,290.6,52,D,0
31.0429,62.0054,345.1,1.5,1.2,2006-01-20,0922,Aqua,MODIS,94,6.2,289.5,90.2,D,0
31.2019,61.9014,315.5,1,1,2006-01-22,0910,Aqua,MODIS,73,6.2,290.5,12.8,D,0
31.1557,61.96,305.7,1.1,1,2006-01-22,0910,Aqua,MODIS,48,6.2,286.1,6.8,D,0
31.1571,61.9709,342.4,1.1,1,2006-01-22,0910,Aqua,MODIS,92,6.2,287.5,51.2,D,0
31.3594,61.8389,310.4,1,1,2006-01-23,0642,Terra,MODIS,70,6.2,286.6,10.1,D,0
31.3579,61.8492,309,1,1,2006-01-23,0642,Terra,MODIS,68,6.2,285.7,9.1,D,0
31.3152,61.8384,305.6,1.1,1,2006-01-24,0858,Aqua,MODIS,33,6.2,291.6,4.9,D,0
31.0738,62.0666,313.1,2.4,1.5,2006-01-26,0712,Terra,MODIS,58,6.2,291.5,34.6,D,0
31.0738,62.0461,311,2.4,1.5,2006-01-26,0712,Terra,MODIS,26,6.2,291,28.8,D,0
31.1943,62.0024,303,1.1,1.1,2006-01-27,2133,Aqua,MODIS,53,6.2,281.4,11,N,0
31.2215,61.9682,307.2,1.5,1.2,2006-01-28,0700,Terra,MODIS,30,6.2,288.4,11.5,D,0
31.0162,62.0389,317.2,2.3,1.5,2006-01-28,0833,Aqua,MODIS,67,6.2,294.4,32.2,D,0
31.2109,61.9471,311.5,2.3,1.5,2006-01-28,0833,Aqua,MODIS,50,6.2,292.3,23.9,D,0
31.2065,61.9321,320.2,1.2,1.1,2006-02-02,0852,Aqua,MODIS,71,6.2,298.4,18.7,D,0
37.456,66.0198,315.3,3.4,1.7,2006-02-03,0758,Aqua,MODIS,57,6.2,288.8,80,D,0
37.4515,66.0171,317.1,3.4,1.7,2006-02-03,0758,Aqua,MODIS,0,6.2,288.5,89.2,D,0
33.5915,70.1676,326.2,1.1,1.1,2006-02-04,0840,Aqua,MODIS,82,6.2,298.9,23.2,D,0
