latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
31.021,8.1728,302.3,1.1,1.1,2006-01-01,0109,Aqua,MODIS,48,6.2,277.8,10.7,N,0
31.1777,8.1115,307.5,1.1,1.1,2006-01-01,0109,Aqua,MODIS,72,6.2,276.5,15.6,N,2
31.0116,8.1712,300.7,1.1,1.1,2006-01-01,0109,Aqua,MODIS,29,6.2,277.5,9.5,N,2
30.9718,5.7606,302.2,1.5,1.2,2006-01-01,0109,Aqua,MODIS,47,6.2,276.1,17.1,N,2
31.6678,6.0667,315.5,1.4,1.2,2006-01-01,0109,Aqua,MODIS,91,6.2,277.2,32.3,N,2
31.2353,8.5667,301.3,1.1,1,2006-01-01,0109,Aqua,MODIS,40,6.2,277.6,10.5,N,2
31.6334,5.9845,301.5,1.5,1.2,2006-01-01,0109,Aqua,MODIS,42,6.2,275,16.1,N,2
28.9186,9.7529,324.2,1,1,2006-01-01,0110,Aqua,MODIS,100,6.2,280.3,26.5,N,2
29.752,6.7406,304.4,1.3,1.1,2006-01-01,0110,Aqua,MODIS,60,6.2,278,15,N,2
28.906,9.7506,309.4,2.3,1.5,2006-01-01,1037,Terra,MODIS,63,6.2,290.1,22.4,D,2
28.9188,9.7541,314.3,2.3,1.5,2006-01-01,1037,Terra,MODIS,71,6.2,290.1,35.3,D,2
28.6343,9.7796,304.7,2.3,1.5,2006-01-01,1037,Terra,MODIS,43,6.2,290.2,13.5,D,2
28.9167,9.7535,318.8,1.9,1.3,2006-01-01,1209,Aqua,MODIS,76,6.2,294.1,33.3,D,2
28.6316,9.7833,311.2,1.9,1.4,2006-01-01,1209,Aqua,MODIS,62,6.2,293.4,17.5,D,2
28.913,9.7344,327.4,1.9,1.4,2006-01-01,1209,Aqua,MODIS,83,6.2,294.5,56.8,D,2
28.6343,9.7854,309.4,1,1,2006-01-01,2136,Terra,MODIS,77,6.2,280,14.2,N,2
28.3179,9.6893,303.4,1,1,2006-01-01,2136,Terra,MODIS,55,6.2,278.5,10.3,N,2
31.2364,8.5604,318.6,1,1,2006-01-01,2137,Terra,MODIS,97,6.2,279.1,21.8,N,2
31.1814,8.1002,300.4,1,1,2006-01-01,2137,Terra,MODIS,26,6.2,277.4,8.3,N,2
30.9753,5.7588,306.4,1.1,1,2006-01-01,2137,Terra,MODIS,68,6.2,278.7,13.2,N,2
31.693,5.9611,315.9,1.1,1,2006-01-01,2137,Terra,MODIS,92,6.2,279.5,20.5,N,2
31.6948,5.9721,301,1.1,1,2006-01-01,2137,Terra,MODIS,36,6.2,279.2,9.3,N,2
31.6613,6.0588,321,1.1,1,2006-01-01,2137,Terra,MODIS,100,6.2,279.6,25,N,2
31.6319,5.9803,320.8,1.1,1,2006-01-01,2137,Terra,MODIS,100,6.2,279,25.7,N,2
36.8786,6.9488,302.5,1,1,2006-01-01,2138,Terra,MODIS,50,6.2,281.9,8.4,N,2
36.8771,6.9376,302.1,1,1,2006-01-01,2138,Terra,MODIS,47,6.2,282,8.3,N,2
31.666,6.0644,305.9,1.8,1.3,2006-01-02,0152,Aqua,MODIS,66,6.2,278.5,27.6,N,2
31.1746,8.1142,302.3,2.5,1.5,2006-01-02,0152,Aqua,MODIS,48,6.2,276,39,N,2
30.9701,5.7663,306.5,1.8,1.3,2006-01-02,0152,Aqua,MODIS,68,6.2,277,27.2,N,2
