latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.8913,44.575,325.3,1,1,2006-01-21,1008,Aqua,MODIS,78,6.2,276,26.8,D,0
41.2134,44.8801,303.4,1,1,2006-02-22,1009,Aqua,MODIS,52,6.2,287.4,4.7,D,0
41.0434,45.1142,308.5,1.1,1,2006-02-26,0806,Terra,MODIS,67,6.2,289.9,9.8,D,0
39.5367,46.3417,310.7,1.2,1.1,2006-02-26,0944,Aqua,MODIS,61,6.2,286.8,13.9,D,0
40.0865,44.1818,303.5,2.7,1.6,2006-03-04,1046,Aqua,MODIS,56,6.2,285.7,22.3,D,0
40.0845,44.1507,302.2,2.6,1.6,2006-03-04,1046,Aqua,MODIS,51,6.2,285.9,19.1,D,0
40.09,44.1768,306.9,2.7,1.6,2006-03-04,1046,Aqua,MODIS,64,6.2,285.7,31.2,D,0
40.0713,44.1181,306.4,1.3,1.1,2006-03-05,0950,Aqua,MODIS,55,6.2,290.3,7.5,D,0
40.132,44.1725,310.4,1.3,1.1,2006-03-05,0950,Aqua,MODIS,61,6.2,290,13.1,D,0
40.0714,44.1287,311.3,1.3,1.1,2006-03-05,0950,Aqua,MODIS,70,6.2,289.4,12.4,D,0
39.4709,46.4254,320.7,1.1,1,2006-03-05,0950,Aqua,MODIS,79,6.2,290.6,18.9,D,0
40.074,44.133,309.8,1.3,1.1,2006-03-05,0950,Aqua,MODIS,69,6.2,288.6,10.7,D,0
41.1123,45.1489,312.8,2,1.4,2006-03-06,1034,Aqua,MODIS,73,6.2,299.1,20,D,0
41.1149,45.1402,316.3,2,1.4,2006-03-06,1034,Aqua,MODIS,77,6.2,297.6,27.7,D,0
39.4679,46.4153,313.7,1.1,1,2006-03-07,0800,Terra,MODIS,68,6.2,301.5,6.7,D,0
39.7444,44.8209,315.2,1.1,1,2006-03-09,0748,Terra,MODIS,66,6.2,287.3,14.1,D,0
39.8112,44.745,319.7,1.1,1,2006-03-09,0748,Terra,MODIS,60,6.2,290.2,18.7,D,0
39.8128,44.7325,322.8,1.1,1,2006-03-09,0748,Terra,MODIS,54,6.2,288.7,22.1,D,0
39.8182,44.7395,340.5,1.1,1,2006-03-09,0748,Terra,MODIS,90,6.2,290.6,46.1,D,0
39.2202,46.5724,311.1,1,1,2006-03-09,0748,Terra,MODIS,66,6.2,296.1,5.9,D,0
40.0883,44.1701,305.9,1.6,1.3,2006-03-11,0736,Terra,MODIS,62,6.2,291.4,8.6,D,0
41.116,44.27,302,1.3,1.1,2006-03-12,0818,Terra,MODIS,50,6.2,282.1,6.4,D,0
39.3648,46.3619,302.7,1,1,2006-03-12,0956,Aqua,MODIS,33,6.2,283.2,5.9,D,0
40.8969,45.246,301.6,1,1,2006-03-12,0957,Aqua,MODIS,48,6.2,281.1,6.3,D,0
40.1405,43.6578,303,1.2,1.1,2006-03-12,0957,Aqua,MODIS,49,6.2,285.4,3.9,D,0
41.1425,44.6252,316.8,1.1,1,2006-03-14,0806,Terra,MODIS,76,6.2,297.2,13.2,D,0
40.0929,44.4,312.9,1.1,1,2006-03-14,0806,Terra,MODIS,69,6.2,294.3,8.3,D,0
40.0837,44.1708,301.3,1,1,2006-03-16,0754,Terra,MODIS,46,6.2,282.1,4.2,D,0
40.0893,44.1075,310.9,1.2,1.1,2006-03-21,0813,Terra,MODIS,68,6.2,294.9,8,D,0
40.087,44.1208,309.7,1.2,1.1,2006-03-21,0813,Terra,MODIS,66,6.2,294,7,D,0
40.0232,44.0358,334.9,1.3,1.1,2006-03-21,0951,Aqua,MODIS,88,6.2,299,44.5,D,0
40.0468,44.5011,310.2,1.3,1.1,2006-03-21,0951,Aqua,MODIS,65,6.2,298.7,5.5,D,0
40.0442,44.4864,312.1,1.3,1.1,2006-03-21,0951,Aqua,MODIS,68,6.2,299.4,7.2,D,0
40.0332,44.0326,334.7,1.3,1.1,2006-03-21,0951,Aqua,MODIS,88,6.2,300.9,44.7,D,0
40.306,44.2612,309.4,1,1,2006-03-23,0800,Terra,MODIS,65,6.2,296.5,3.7,D,0
40.0544,44.0637,319.1,1.9,1.4,2006-03-23,0938,Aqua,MODIS,75,6.2,299.8,24.9,D,0
40.0498,44.0418,312.3,1.9,1.4,2006-03-23,0938,Aqua,MODIS,65,6.2,300.2,9.2,D,0
40.9021,45.2488,308.2,1.1,1,2006-03-30,0806,Terra,MODIS,49,6.2,293.2,7.1,D,0
40.8971,45.2413,306.1,1.1,1,2006-03-30,0806,Terra,MODIS,56,6.2,293.7,6.7,D,0
40.0418,44.2115,330.4,1.6,1.2,2006-03-30,0945,Aqua,MODIS,85,6.2,304.5,39.4,D,0
40.7466,44.4018,309.2,1.5,1.2,2006-03-30,0945,Aqua,MODIS,55,6.2,285.5,15.5,D,0
40.6783,44.9426,306.6,1.6,1.2,2006-03-31,1028,Aqua,MODIS,18,6.2,290.8,12.3,D,0
40.8212,44.8895,327.7,1.6,1.2,2006-03-31,1028,Aqua,MODIS,73,6.2,293.7,44.3,D,0
38.926,46.1957,308.7,1,1,2006-04-01,0754,Terra,MODIS,54,6.2,290.9,4.9,D,0
41.1407,44.97,303.5,1,1,2006-04-01,0754,Terra,MODIS,24,6.2,284.8,4.2,D,0
39.9016,44.5671,312,3.3,1.7,2006-04-09,0843,Terra,MODIS,65,6.2,288.8,29.3,D,0
40.6825,45.2158,309.3,1.1,1,2006-04-10,0748,Terra,MODIS,54,6.2,292,6,D,0
39.2185,46.3878,325.1,1.4,1.2,2006-06-24,0730,Terra,MODIS,54,6.2,306.5,18.6,D,0
39.212,46.3921,325.5,1.4,1.2,2006-06-24,0730,Terra,MODIS,54,6.2,307.2,19.5,D,0
39.1849,46.2291,325.1,1,1,2006-06-29,0749,Terra,MODIS,43,6.2,302,14.9,D,0
38.9766,46.3946,302.9,1.1,1,2006-07-13,1905,Terra,MODIS,52,6.2,289,6.6,N,0
38.9751,46.3825,303.6,1.1,1,2006-07-13,1905,Terra,MODIS,56,6.2,289.2,6.8,N,0
40.0322,44.4972,306.4,1,1,2006-07-13,1906,Terra,MODIS,68,6.2,290.4,7.5,N,0
40.1135,44.4066,334.7,1.2,1.1,2006-07-14,1023,Aqua,MODIS,80,6.2,315.2,24.2,D,0
39.9273,44.5893,324.6,1.1,1,2006-07-15,0749,Terra,MODIS,66,6.2,307.5,11.2,D,0
38.9678,46.3922,310.3,1,1,2006-07-15,1853,Terra,MODIS,80,6.2,291.4,9.7,N,0
38.966,46.3805,304,1,1,2006-07-15,1853,Terra,MODIS,57,6.2,291.8,5.2,N,0
38.9601,46.3906,331.7,1.1,1,2006-07-16,1010,Aqua,MODIS,65,6.2,308.8,14.7,D,0
40.1646,44.2434,332.2,1,1,2006-07-16,1011,Aqua,MODIS,76,6.2,313.2,13.7,D,0
40.1404,44.0783,326.4,1.4,1.2,2006-07-18,0819,Terra,MODIS,71,6.2,310.3,14.7,D,0
40.2065,44.2685,328.8,1.1,1.1,2006-07-18,0958,Aqua,MODIS,60,6.2,313.7,11.6,D,0
39.7467,45.099,345.8,2.1,1.4,2006-07-19,0724,Terra,MODIS,91,6.2,310.5,116.7,D,0
39.7291,45.1005,304.6,2.1,1.4,2006-07-19,1829,Terra,MODIS,36,6.2,293.7,11.8,N,0
39.7233,45.1099,306.3,1.4,1.2,2006-07-19,2241,Aqua,MODIS,67,6.2,293.5,10,N,0
40.1698,44.2459,327.5,1.1,1,2006-07-20,0807,Terra,MODIS,74,6.2,309.1,10.1,D,0
40.1678,44.258,329.3,1.1,1,2006-07-20,0807,Terra,MODIS,77,6.2,307.7,11.4,D,0
40.0911,44.4272,327.8,1.5,1.2,2006-07-20,0946,Aqua,MODIS,68,6.2,306.6,19.2,D,0
39.8703,44.6101,304,1.1,1,2006-07-20,1912,Terra,MODIS,58,6.2,293.7,4.1,N,0
40.0882,44.4293,333.3,1,1,2006-07-22,0755,Terra,MODIS,81,6.2,311.3,17.7,D,0
40.0899,44.4175,333.8,1,1,2006-07-22,0755,Terra,MODIS,81,6.2,310.9,18.5,D,0
40.0137,44.4742,329.9,1.1,1,2006-07-23,1017,Aqua,MODIS,61,6.2,313.4,12.2,D,0
40.0229,44.4722,329.2,1.1,1,2006-07-23,1017,Aqua,MODIS,53,6.2,311.5,12.1,D,0
40.0867,44.4159,328.3,1.3,1.1,2006-07-24,0742,Terra,MODIS,72,6.2,311.7,16.7,D,0
39.7751,45.0412,310.1,1.2,1.1,2006-07-24,1847,Terra,MODIS,79,6.2,291.8,11.5,N,0
39.7671,45.0653,325.3,1.9,1.3,2006-07-25,0825,Terra,MODIS,63,6.2,307.9,23.6,D,0
39.7773,45.0546,336.9,1,1,2006-07-25,1005,Aqua,MODIS,78,6.2,317.1,18,D,0
39.8621,44.8109,326.3,1.8,1.3,2006-07-26,0730,Terra,MODIS,60,6.2,304.7,21.3,D,0
39.864,44.7892,327.7,1.8,1.3,2006-07-26,0730,Terra,MODIS,70,6.2,305.4,23.2,D,0
39.7704,45.0737,300.6,1.7,1.3,2006-07-26,1835,Terra,MODIS,31,6.2,289.3,9.1,N,0
41.1868,44.8472,321.3,1.2,1.1,2006-07-27,0813,Terra,MODIS,59,6.2,299.9,12,D,0
40.3213,44.5946,324.5,1.2,1.1,2006-07-27,0813,Terra,MODIS,46,6.2,308.6,9.2,D,0
41.1878,44.8544,321,1.2,1.1,2006-07-27,0813,Terra,MODIS,34,6.2,299.9,12.2,D,0
39.9965,44.4602,321.5,1.1,1.1,2006-07-31,0749,Terra,MODIS,46,6.2,306,8.6,D,0
39.9949,44.4731,321.5,1.1,1.1,2006-07-31,0749,Terra,MODIS,52,6.2,307.1,8.2,D,0
39.9088,44.6256,318.9,1.1,1,2006-07-31,0749,Terra,MODIS,57,6.2,302.6,8.5,D,0
41.2528,45.0107,327.8,1.4,1.2,2006-08-03,0819,Terra,MODIS,75,6.2,303.2,23.7,D,0
41.2425,45.0068,323.6,1.4,1.2,2006-08-03,0819,Terra,MODIS,48,6.2,301.6,16.4,D,0
41.1274,45.1545,330.4,1,1,2006-08-03,0959,Aqua,MODIS,58,6.2,307.9,14.2,D,0
41.2412,44.997,336.1,1,1,2006-08-03,0959,Aqua,MODIS,30,6.2,310.5,25.4,D,0
41.1293,45.1665,335.9,1,1,2006-08-03,0959,Aqua,MODIS,82,6.2,309.1,21.1,D,0
40.0216,44.6193,333.4,1.1,1,2006-08-05,0807,Terra,MODIS,64,6.2,314.1,18.3,D,0
41.2383,45.0144,336.3,1.1,1,2006-08-05,0807,Terra,MODIS,83,6.2,313.2,20.3,D,0
41.2582,44.9888,334.1,1.3,1.1,2006-08-05,0947,Aqua,MODIS,78,6.2,314.2,23.5,D,0
39.2334,46.5736,333.3,1.9,1.3,2006-08-06,1029,Aqua,MODIS,44,6.2,310.2,43.3,D,0
39.5387,46.5226,333.6,1,1,2006-08-07,0755,Terra,MODIS,66,6.2,315.2,15.1,D,0
39.5405,46.5109,332.6,1,1,2006-08-07,0755,Terra,MODIS,72,6.2,315,13.2,D,0
