latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0634,46.6181,310.1,4.5,2,2006-01-21,1757,Terra,MODIS,69,6.2,272.2,137.1,N,0
40.5757,47.5741,303.4,1,1,2006-02-01,0950,Aqua,MODIS,56,6.2,282,7.6,D,0
39.3622,47.2467,301.2,2,1.4,2006-02-02,0717,Terra,MODIS,45,6.2,281.4,16.9,D,0
39.1313,46.6603,306.5,1.3,1.1,2006-02-13,1014,Aqua,MODIS,63,6.2,291.9,7.1,D,0
39.0935,46.4927,310.1,1.3,1.1,2006-02-13,1014,Aqua,MODIS,68,6.2,291.2,14.6,D,0
39.1333,46.6654,308.1,1.3,1.1,2006-02-13,1014,Aqua,MODIS,66,6.2,291.6,8.7,D,0
39.0952,46.5071,320.8,1.3,1.1,2006-02-13,1014,Aqua,MODIS,80,6.2,290.5,26.8,D,0
41.2859,46.717,302.2,1.7,1.3,2006-02-20,1021,Aqua,MODIS,51,6.2,287.3,9.3,D,0
41.2841,46.6967,302,1.6,1.3,2006-02-20,1021,Aqua,MODIS,50,6.2,288.9,9.1,D,0
39.0463,46.7463,307.5,2,1.4,2006-02-24,0818,Terra,MODIS,60,6.2,289.5,21.7,D,0
39.2284,46.7335,310.8,2,1.4,2006-02-24,0818,Terra,MODIS,70,6.2,292.5,22.4,D,0
39.2256,46.7263,310.6,2,1.4,2006-02-24,0818,Terra,MODIS,70,6.2,292.7,22.2,D,0
39.6617,47.0835,305.1,1,1,2006-02-24,0956,Aqua,MODIS,47,6.2,294.6,3,D,0
39.0386,46.74,303.9,1,1,2006-02-24,0956,Aqua,MODIS,48,6.2,292.4,4.2,D,0
39.5169,46.853,321.6,1,1,2006-02-24,0956,Aqua,MODIS,68,6.2,293.2,19.4,D,0
39.5206,47.1302,307.8,1,1,2006-02-24,0956,Aqua,MODIS,50,6.2,296,3.9,D,0
41.1909,47.0659,303.3,1,1,2006-02-24,0957,Aqua,MODIS,55,6.2,290.3,5,D,0
41.2432,47.0474,304,1,1,2006-02-24,0957,Aqua,MODIS,54,6.2,278.6,6.8,D,0
39.2104,46.7091,319.1,3,1.6,2006-02-25,1039,Aqua,MODIS,71,6.2,297.6,57.2,D,0
39.2123,46.7433,311.7,3,1.6,2006-02-25,1039,Aqua,MODIS,50,6.2,297.5,26.9,D,0
39.2094,46.7181,324.3,3,1.6,2006-02-25,1039,Aqua,MODIS,77,6.2,297.8,79.6,D,0
41.2748,46.7131,308.5,1.2,1.1,2006-02-26,0806,Terra,MODIS,67,6.2,290.5,9.1,D,0
40.2454,46.7736,306,1.2,1.1,2006-02-26,0944,Aqua,MODIS,56,6.2,293.3,4.5,D,0
41.0111,45.2648,329.4,1.3,1.1,2006-02-26,0944,Aqua,MODIS,86,6.2,293.3,39.3,D,0
39.1717,46.7364,314.3,1.2,1.1,2006-02-26,0944,Aqua,MODIS,70,6.2,298.3,8.7,D,0
41.221,45.3895,321.9,1.3,1.1,2006-02-26,0945,Aqua,MODIS,81,6.2,293.4,23.9,D,0
40.2603,46.7207,304.6,2,1.4,2006-02-27,1027,Aqua,MODIS,22,6.2,292.6,8.4,D,0
40.5475,48.5654,309.6,1.3,1.1,2006-02-28,0932,Aqua,MODIS,69,6.2,286.1,14.3,D,0
40.6823,47.0514,304.3,1.1,1,2006-03-02,0741,Terra,MODIS,58,6.2,291.7,4.8,D,0
41.4677,46.6641,302.7,1.1,1,2006-03-02,0741,Terra,MODIS,53,6.2,290,4.2,D,0
40.9931,45.1938,306.4,1.2,1.1,2006-03-02,0741,Terra,MODIS,39,6.2,292,6.7,D,0
41.3321,46.9318,303.8,1.1,1,2006-03-02,0741,Terra,MODIS,57,6.2,290.4,4.5,D,0
40.6391,47.3062,302.5,1,1,2006-03-02,0741,Terra,MODIS,52,6.2,289.9,3.7,D,0
40.572,47.5272,314.9,1,1,2006-03-02,0741,Terra,MODIS,75,6.2,291.5,12.4,D,0
40.6839,47.0391,303.1,1.1,1,2006-03-02,0741,Terra,MODIS,55,6.2,291.4,4,D,0
40.4963,47.4049,302.4,1,1,2006-03-02,0741,Terra,MODIS,42,6.2,290.5,3.1,D,0
40.5456,48.6956,300.9,1,1,2006-03-02,0741,Terra,MODIS,43,6.2,289.5,3.2,D,0
40.3678,47.3384,305.4,1,1,2006-03-02,0742,Terra,MODIS,61,6.2,291,5.7,D,0
39.6636,47.7669,305.7,1,1,2006-03-02,0742,Terra,MODIS,62,6.2,292.4,4.9,D,0
41.1374,47.1045,313.6,2.2,1.5,2006-03-02,0920,Aqua,MODIS,74,6.2,290.6,34.8,D,0
41.1315,47.0784,301.6,2.3,1.5,2006-03-02,0920,Aqua,MODIS,48,6.2,290.4,9,D,0
