latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.1674,-78.1866,332.8,1.1,1,2006-01-10,1837,Aqua,MODIS,74,6.2,296.1,32.9,D,0
26.4101,-77.1406,314.6,1.3,1.1,2006-02-11,1838,Aqua,MODIS,61,6.2,298.4,11.8,D,0
26.4095,-77.1362,322.7,1,1,2006-02-22,1819,Aqua,MODIS,76,6.2,300.1,14.7,D,0
26.408,-77.1464,321.3,1,1,2006-02-22,1819,Aqua,MODIS,64,6.2,297.7,12.9,D,0
26.5741,-78.6458,329,1,1,2006-03-08,1832,Aqua,MODIS,82,6.2,299,23,D,0
24.0842,-77.5897,316.2,1.1,1.1,2006-03-10,1819,Aqua,MODIS,65,6.2,301.5,10.3,D,0
24.1367,-75.4653,314.1,1,1,2006-03-10,1819,Aqua,MODIS,42,6.2,301.4,5.7,D,0
26.4058,-77.1429,342.7,1,1,2006-03-10,1820,Aqua,MODIS,86,6.2,302.8,42.1,D,0
26.4074,-77.1327,335.8,1,1,2006-03-10,1820,Aqua,MODIS,87,6.2,304.1,30.5,D,0
26.3968,-77.1412,326,1,1,2006-03-10,1820,Aqua,MODIS,69,6.2,298.1,17.7,D,0
25.4817,-76.664,328.1,1,1,2006-03-11,1554,Terra,MODIS,0,6.2,296.8,22,D,0
26.4024,-77.1422,320.2,1,1,2006-03-11,1554,Terra,MODIS,68,6.2,301.4,11.7,D,0
25.4833,-76.674,331.8,1,1,2006-03-11,1554,Terra,MODIS,79,6.2,299.3,26.9,D,0
26.599,-77.2811,320.3,1.2,1.1,2006-03-13,1541,Terra,MODIS,55,6.2,299.2,16.3,D,0
26.4331,-77.1226,317,1.9,1.3,2006-03-15,1529,Terra,MODIS,67,6.2,295.7,23.9,D,0
26.4275,-77.125,322.1,1.3,1.1,2006-03-15,1838,Aqua,MODIS,75,6.2,298.7,17.9,D,0
25.0814,-78.045,313.5,1,1,2006-03-17,1825,Aqua,MODIS,58,6.2,299.2,6.4,D,0
24.737,-76.2066,321.5,1,1,2006-03-17,1825,Aqua,MODIS,64,6.2,301.7,13.5,D,0
25.0799,-78.0549,327.3,1,1,2006-03-17,1825,Aqua,MODIS,80,6.2,299.1,20.4,D,0
24.9283,-78.0155,319,1,1,2006-03-18,1600,Terra,MODIS,70,6.2,294.2,12.4,D,0
24.9299,-78.0255,346.5,1,1,2006-03-18,1600,Terra,MODIS,93,6.2,298.3,52.3,D,0
25.0822,-78.0533,310.7,1,1,2006-03-18,1600,Terra,MODIS,37,6.2,297.3,4.5,D,0
