latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.3538,89.3238,310.4,1.1,1.1,2006-01-01,0711,Aqua,MODIS,57,6.2,299.2,6,D,0
24.8067,92.1366,314.7,1,1,2006-01-01,0711,Aqua,MODIS,69,6.2,301.8,8.3,D,0
22.9147,92.1696,315.2,1.6,1.3,2006-01-06,0729,Aqua,MODIS,0,6.2,295.4,22.5,D,0
24.1501,89.1307,310.5,1.1,1.1,2006-01-06,0729,Aqua,MODIS,63,6.2,298.8,7.4,D,0
24.1487,89.1198,308.3,1.1,1.1,2006-01-06,0729,Aqua,MODIS,57,6.2,297.8,5.3,D,0
22.9133,92.1641,311.7,1.6,1.3,2006-01-06,0729,Aqua,MODIS,34,6.2,295.5,15,D,0
24.5503,91.6152,318.3,1.6,1.2,2006-01-06,0729,Aqua,MODIS,76,6.2,299.5,21.4,D,0
25.0758,92.0234,312.3,1.1,1.1,2006-01-08,0717,Aqua,MODIS,69,6.2,300.6,6.4,D,0
24.2553,88.9036,310.1,1,1,2006-01-08,0717,Aqua,MODIS,63,6.2,295.6,6.7,D,0
23.1412,90.99,308.2,1.1,1.1,2006-01-10,0704,Aqua,MODIS,63,6.2,295.9,6.9,D,0
24.956,92.3448,311.7,1,1,2006-01-10,0705,Aqua,MODIS,67,6.2,299.4,5.6,D,0
24.9835,92.2836,321.5,1,1,2006-01-10,0705,Aqua,MODIS,75,6.2,301.8,14.6,D,0
24.9821,92.2738,317.6,1,1,2006-01-10,0705,Aqua,MODIS,75,6.2,301.5,10.6,D,0
24.074,89.7808,304,1,1,2006-01-11,0440,Terra,MODIS,0,6.2,293.8,4.2,D,0
24.1519,89.1177,308.3,2.2,1.4,2006-01-12,0653,Aqua,MODIS,57,6.2,295.6,19.6,D,0
24.1503,89.1136,312,2.2,1.4,2006-01-12,0653,Aqua,MODIS,66,6.2,295.8,28.1,D,0
22.8824,91.6908,311.5,1.9,1.4,2006-01-13,0735,Aqua,MODIS,66,6.2,300,15.4,D,0
22.6164,92.3279,312.4,1,1,2006-01-17,0710,Aqua,MODIS,69,6.2,298.7,7.7,D,0
22.5981,92.1336,308.9,1,1,2006-01-17,0710,Aqua,MODIS,61,6.2,297.2,5.1,D,0
22.0238,92.1737,311.4,1,1,2006-01-17,0710,Aqua,MODIS,63,6.2,301,4.5,D,0
21.8649,92.1579,312.7,1,1,2006-01-17,0710,Aqua,MODIS,70,6.2,299.5,7,D,0
21.8663,92.1674,327.6,1,1,2006-01-17,0710,Aqua,MODIS,84,6.2,299.6,21.4,D,0
24.597,91.5596,307.6,1,1,2006-01-17,0711,Aqua,MODIS,30,6.2,296.1,4,D,0
24.86,91.6554,305.3,1,1,2006-01-17,0711,Aqua,MODIS,52,6.2,294.2,3.8,D,0
24.5881,91.5611,310.1,1,1,2006-01-17,0711,Aqua,MODIS,63,6.2,297.4,5.6,D,0
25.3859,89.7342,305.9,1,1,2006-01-18,0446,Terra,MODIS,0,6.2,295.7,5,D,0
22.7843,91.7831,310.5,1.5,1.2,2006-01-22,0729,Aqua,MODIS,62,6.2,299.5,8.9,D,0
24.5982,91.5815,309.8,1.6,1.2,2006-01-22,0729,Aqua,MODIS,61,6.2,299.1,9.6,D,0
22.5585,91.9575,309.2,1.1,1,2006-01-24,0716,Aqua,MODIS,53,6.2,298.4,4.1,D,0
22.2674,92.2479,308.2,1.1,1,2006-01-24,0716,Aqua,MODIS,58,6.2,297.7,4.6,D,0
22.567,92.0924,311.8,1.1,1,2006-01-24,0716,Aqua,MODIS,66,6.2,299.4,5.6,D,0
24.9333,92.0851,309.5,1.1,1.1,2006-01-24,0717,Aqua,MODIS,63,6.2,296.9,5.8,D,0
24.9999,92.1809,319.9,1,1,2006-01-26,0705,Aqua,MODIS,72,6.2,301.4,10.8,D,0
24.751,92.0619,320.1,1,1,2006-01-26,0705,Aqua,MODIS,56,6.2,304.1,11,D,0
24.903,92.4632,315.3,1,1,2006-01-26,0705,Aqua,MODIS,69,6.2,301.8,6.1,D,0
24.9494,92.0885,313.4,1,1,2006-01-26,0705,Aqua,MODIS,66,6.2,301,6.2,D,0
23.5644,89.3552,312.1,1.4,1.2,2006-01-26,0705,Aqua,MODIS,64,6.2,299.3,10.9,D,0
24.7525,92.0719,323.2,1,1,2006-01-26,0705,Aqua,MODIS,78,6.2,304.4,14.2,D,0
24.0953,88.8381,308,3,1.7,2006-01-28,0523,Terra,MODIS,0,6.2,297.6,27.2,D,0
25.0251,92.0576,315.6,1.4,1.2,2006-01-28,0653,Aqua,MODIS,69,6.2,304.9,9.4,D,0
24.5001,91.5732,313.9,1.5,1.2,2006-01-28,0653,Aqua,MODIS,66,6.2,302.8,11.8,D,0
23.1039,89.575,310.4,1.4,1.2,2006-01-29,0735,Aqua,MODIS,57,6.2,298.8,8.6,D,0
24.0887,88.8412,308.2,1.8,1.3,2006-01-30,0511,Terra,MODIS,0,6.2,298,13.5,D,0
24.976,91.8066,316.5,1.3,1.1,2006-01-31,0723,Aqua,MODIS,70,6.2,302.7,9.9,D,0
24.553,91.676,338.2,1.3,1.1,2006-01-31,0723,Aqua,MODIS,89,6.2,302.9,46,D,0
24.2678,89.0563,310.9,1,1,2006-01-31,0723,Aqua,MODIS,53,6.2,300.6,4.9,D,0
24.5545,91.6884,315.2,1.3,1.1,2006-01-31,0723,Aqua,MODIS,66,6.2,302.3,7.3,D,0
24.3955,88.5565,308.1,1.1,1.1,2006-02-01,0458,Terra,MODIS,50,6.2,296.8,5.3,D,0
23.7461,90.3541,307.2,1.5,1.2,2006-02-01,1555,Terra,MODIS,71,6.2,290.6,14.8,N,0
23.7486,90.3683,306.2,1.5,1.2,2006-02-01,1555,Terra,MODIS,67,6.2,291.8,13.1,N,0
22.9248,91.7487,313.3,1,1,2006-02-02,0710,Aqua,MODIS,46,6.2,299.9,6.4,D,0
23.0709,89.9563,312.5,1.1,1,2006-02-02,0711,Aqua,MODIS,61,6.2,301,6.1,D,0
24.9127,92.468,318.6,1,1,2006-02-02,0711,Aqua,MODIS,70,6.2,304.4,7.7,D,0
24.77,91.7075,314.8,1,1,2006-02-02,0711,Aqua,MODIS,62,6.2,303.1,6.2,D,0
24.6481,91.6081,316,1.1,1.1,2006-02-03,0446,Terra,MODIS,73,6.2,298.6,11.1,D,0
22.9185,91.7357,311,1.2,1.1,2006-02-04,0658,Aqua,MODIS,55,6.2,300.1,6.9,D,0
21.5845,92.5625,314.4,1.2,1.1,2006-02-04,0658,Aqua,MODIS,70,6.2,299.6,10.7,D,0
25.0321,91.7953,312.2,1.2,1.1,2006-02-04,0659,Aqua,MODIS,65,6.2,300.8,6.2,D,0
22.3059,92.0577,307.8,1,1,2006-02-05,0434,Terra,MODIS,62,6.2,295.9,5.6,D,0
22.3045,92.0672,311.3,1,1,2006-02-05,0434,Terra,MODIS,69,6.2,295.9,8.3,D,0
22.3142,92.1156,312.5,1.9,1.3,2006-02-06,0646,Aqua,MODIS,64,6.2,301,15.5,D,0
