latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.734,28.3369,302.6,1.6,1.2,2006-01-09,1125,Aqua,MODIS,52,6.2,271.1,17.8,D,0
51.7342,28.3297,303.7,1.6,1.2,2006-01-09,1125,Aqua,MODIS,57,6.2,271,19.4,D,0
52.0648,26.5778,308.9,1,1,2006-04-03,0917,Terra,MODIS,51,6.2,285.9,8.3,D,0
52.2991,27.3876,302.4,1,1,2006-04-03,0917,Terra,MODIS,52,6.2,289.6,4.2,D,0
52.2304,27.9413,300.3,1,1,2006-04-03,0917,Terra,MODIS,0,6.2,285.7,4.2,D,0
52.4867,27.0973,300.7,1,1,2006-04-03,0917,Terra,MODIS,38,6.2,289.9,3.7,D,0
52.4208,27.1763,302.3,1,1,2006-04-03,0917,Terra,MODIS,52,6.2,290.7,3.6,D,0
52.7458,27.4428,302,1,1,2006-04-03,0917,Terra,MODIS,37,6.2,288.8,4.8,D,0
52.4887,27.0825,300.3,1,1,2006-04-03,0917,Terra,MODIS,28,6.2,289.7,3.3,D,0
52.6777,26.5015,320.6,1,1,2006-04-03,1102,Aqua,MODIS,76,6.2,286.8,17.9,D,0
52.4928,27.0814,305.6,1,1,2006-04-03,1102,Aqua,MODIS,35,6.2,287.7,5.8,D,0
52.4948,27.0958,321.1,1,1,2006-04-03,1102,Aqua,MODIS,81,6.2,288.2,17.7,D,0
52.3033,27.3863,327.2,1,1,2006-04-03,1102,Aqua,MODIS,74,6.2,288.3,22.7,D,0
52.2924,27.3753,313.1,1,1,2006-04-03,1102,Aqua,MODIS,60,6.2,288.5,9.6,D,0
52.1295,26.625,306.4,1.8,1.3,2006-04-04,1000,Terra,MODIS,58,6.2,280.7,19.1,D,0
52.3618,27.2923,305.7,1.9,1.4,2006-04-04,1000,Terra,MODIS,59,6.2,289.3,15,D,0
52.368,27.266,312.5,1.9,1.3,2006-04-04,1000,Terra,MODIS,73,6.2,290.5,26.8,D,0
52.1353,26.6001,314.5,1.8,1.3,2006-04-04,1000,Terra,MODIS,75,6.2,282.4,32.9,D,0
52.1905,26.5612,300.8,1.4,1.2,2006-04-07,1037,Aqua,MODIS,42,6.2,287.7,6.8,D,0
52.3826,25.3645,309,1.6,1.2,2006-04-07,1038,Aqua,MODIS,68,6.2,283.7,20.3,D,0
53.4263,26.4359,300.8,1,1,2006-04-08,0935,Terra,MODIS,42,6.2,287,5,D,0
52.8472,27.612,300.3,1.1,1.1,2006-04-08,0936,Terra,MODIS,23,6.2,286,4.5,D,0
52.8819,25.1593,308.9,1,1,2006-04-08,0936,Terra,MODIS,68,6.2,285.6,9.6,D,0
52.8842,25.1447,307.8,1,1,2006-04-08,0936,Terra,MODIS,66,6.2,286.8,8.6,D,0
52.6939,27.8282,303.8,1.1,1.1,2006-04-08,0936,Terra,MODIS,57,6.2,287,7.5,D,0
53.356,24.0601,308.4,1,1,2006-04-08,0936,Terra,MODIS,67,6.2,281.6,9.4,D,0
51.9846,28.4197,304.2,1.2,1.1,2006-04-08,0936,Terra,MODIS,58,6.2,286.9,9.2,D,0
52.4018,27.1286,311.3,1.1,1,2006-04-08,0936,Terra,MODIS,71,6.2,287.1,10.7,D,0
