latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.171,3.8193,317.2,1.1,1,2006-01-02,0147,Aqua,MODIS,95,6.2,274.2,23,N,2
51.1648,3.8011,301.4,1.1,1,2006-01-04,1246,Aqua,MODIS,35,6.2,277.4,9.5,D,0
51.1706,3.8137,314.6,1,1,2006-01-06,1050,Terra,MODIS,57,6.2,275.3,18.3,D,2
50.6049,5.5537,307.1,1,1,2006-01-06,1233,Aqua,MODIS,65,6.2,275.2,12.5,D,0
50.603,5.5396,302.9,1,1,2006-01-06,1233,Aqua,MODIS,54,6.2,275.4,9.9,D,0
51.1644,3.8104,301.9,1,1,2006-01-06,1233,Aqua,MODIS,43,6.2,275.9,8.8,D,2
51.1693,3.8072,307.3,1.2,1.1,2006-01-08,2148,Terra,MODIS,71,6.2,272.9,16.5,N,0
51.1735,3.8114,307.2,1,1,2006-01-09,0153,Aqua,MODIS,71,6.2,271.6,13.6,N,2
51.1753,3.8144,309.8,1.1,1.1,2006-01-14,0212,Aqua,MODIS,78,6.2,274.4,17.5,N,2
51.1671,3.8069,304.6,1.3,1.1,2006-01-14,2111,Terra,MODIS,61,6.2,273.4,16.6,N,0
51.1688,3.8129,313.7,1.1,1,2006-01-15,1043,Terra,MODIS,56,6.2,274.9,18.2,D,2
51.1642,3.8021,305,1,1,2006-01-15,1227,Aqua,MODIS,46,6.2,278.2,10.9,D,0
51.1713,3.8245,310.9,1,1,2006-01-16,0159,Aqua,MODIS,81,6.2,269.4,15.9,N,2
51.1735,3.8105,316.3,1,1,2006-01-16,0159,Aqua,MODIS,93,6.2,272.2,20.1,N,2
51.1725,3.8122,306.1,1.2,1.1,2006-01-24,1037,Terra,MODIS,47,6.2,269.3,15.1,D,2
51.3674,4.2666,314.2,1.2,1.1,2006-01-27,1252,Aqua,MODIS,0,6.2,274.7,24.3,D,0
51.1735,3.8171,302.4,1.6,1.2,2006-01-29,0129,Aqua,MODIS,49,6.2,270.4,21.3,N,2
49.641,5.7181,301,1.1,1,2006-01-29,1056,Terra,MODIS,43,6.2,276.6,8.9,D,0
51.1693,3.8038,306.5,1,1,2006-01-29,1056,Terra,MODIS,48,6.2,275.3,11.6,D,0
50.6964,5.6621,304,1.1,1,2006-01-29,1239,Aqua,MODIS,50,6.2,275.5,11.5,D,0
49.6456,5.7116,300.3,1.1,1,2006-01-29,1239,Aqua,MODIS,34,6.2,278.9,8.2,D,0
51.1703,3.804,306.9,1,1,2006-01-29,1240,Aqua,MODIS,0,6.2,278.3,11,D,0
51.1614,3.8071,303,1,1,2006-01-29,1240,Aqua,MODIS,45,6.2,276.8,8.6,D,2
