latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9137,2.643,309.3,1.3,1.1,2006-01-01,0115,Aqua,MODIS,22,6.2,290.9,13.1,N,0
11.2523,3.2195,309.9,1.2,1.1,2006-01-01,0115,Aqua,MODIS,79,6.2,293,12.2,N,0
11.9031,2.6478,309.6,1.3,1.1,2006-01-01,0115,Aqua,MODIS,27,6.2,290.8,13.7,N,0
12.2955,2.675,322.7,1.5,1.2,2006-01-01,1042,Terra,MODIS,41,6.2,306.7,12.7,D,0
12.2846,2.6532,330.5,1.5,1.2,2006-01-01,1042,Terra,MODIS,72,6.2,310.6,28,D,0
10.979,2.6872,320,1.6,1.2,2006-01-01,1042,Terra,MODIS,45,6.2,307.4,10.7,D,0
10.1535,3.2351,317.6,1.8,1.3,2006-01-01,1042,Terra,MODIS,45,6.2,301.9,12.4,D,0
11.7084,2.7404,323.2,1.6,1.2,2006-01-01,1042,Terra,MODIS,53,6.2,310.3,12.6,D,0
10.3884,2.7731,321.8,1.7,1.3,2006-01-01,1042,Terra,MODIS,64,6.2,306,18.7,D,0
10.8266,3.3303,321.2,1.8,1.3,2006-01-01,1042,Terra,MODIS,61,6.2,306.2,21.3,D,0
9.7884,2.0556,325.9,1.5,1.2,2006-01-01,1042,Terra,MODIS,71,6.2,307.3,21.7,D,0
11.6563,3.3296,320.4,1.7,1.3,2006-01-01,1042,Terra,MODIS,55,6.2,306.5,16.9,D,0
11.3858,1.401,327.3,1.3,1.1,2006-01-01,1042,Terra,MODIS,72,6.2,310.8,17.7,D,0
11.8944,2.6482,326,1.5,1.2,2006-01-01,1042,Terra,MODIS,33,6.2,309.2,19.6,D,0
11.25,3.2138,318.3,1.7,1.3,2006-01-01,1042,Terra,MODIS,40,6.2,307.4,12.8,D,0
10.9766,2.7016,322.4,1.6,1.2,2006-01-01,1042,Terra,MODIS,62,6.2,307.5,15.7,D,0
9.791,2.0618,322.8,1.5,1.2,2006-01-01,1042,Terra,MODIS,58,6.2,308.7,14.1,D,0
10.9789,3.1815,318.3,1.7,1.3,2006-01-01,1042,Terra,MODIS,39,6.2,304.4,16.2,D,0
10.9767,2.6958,325.7,1.6,1.2,2006-01-01,1042,Terra,MODIS,70,6.2,307.5,24,D,0
10.7867,1.8792,324,1.4,1.2,2006-01-01,1042,Terra,MODIS,66,6.2,308,16.2,D,0
12.2868,2.6395,342.6,1.5,1.2,2006-01-01,1042,Terra,MODIS,89,6.2,307.6,61.5,D,0
12.2893,2.6458,358.2,1.5,1.2,2006-01-01,1042,Terra,MODIS,99,6.2,308.7,124.2,D,0
10.7511,1.9658,323.2,1.4,1.2,2006-01-01,1042,Terra,MODIS,64,6.2,308.6,16,D,0
10.6882,3.1961,323.6,1.8,1.3,2006-01-01,1042,Terra,MODIS,67,6.2,305.3,24.9,D,0
11.7564,3.3527,320.5,1.7,1.3,2006-01-01,1042,Terra,MODIS,56,6.2,307.6,14.1,D,0
11.9755,3.0728,320.7,1.6,1.3,2006-01-01,1042,Terra,MODIS,45,6.2,308.5,12.2,D,0
11.3929,2.9009,321.4,1.6,1.3,2006-01-01,1042,Terra,MODIS,59,6.2,308.9,11.7,D,0
9.9408,2.8391,323.8,1.7,1.3,2006-01-01,1042,Terra,MODIS,69,6.2,303.3,24.8,D,0
