latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.8364,91.2577,303.6,1,1,2006-01-01,0711,Aqua,MODIS,24,6.2,293,4.4,D,0
27.4403,89.6414,380.4,1.4,1.2,2006-01-03,0659,Aqua,MODIS,100,6.2,302,244.3,D,0
27.438,89.6289,366.2,1.4,1.2,2006-01-03,0659,Aqua,MODIS,100,6.2,301.7,164.4,D,0
27.4273,89.6288,314,1.4,1.2,2006-01-03,0659,Aqua,MODIS,58,6.2,297.9,17.3,D,0
26.794,90.6686,309.4,1.2,1.1,2006-01-03,0659,Aqua,MODIS,63,6.2,296.5,10.4,D,0
27.8446,90.4962,308.3,1.2,1.1,2006-01-03,0659,Aqua,MODIS,47,6.2,291.9,12.4,D,0
26.7813,90.84,307.2,1.2,1.1,2006-01-03,0659,Aqua,MODIS,47,6.2,295.6,6.8,D,0
27.4335,89.6475,333.6,1.4,1.2,2006-01-03,0659,Aqua,MODIS,89,6.2,298.7,48.6,D,0
27.4313,89.6345,354.7,1.4,1.2,2006-01-03,0659,Aqua,MODIS,98,6.2,304.5,112.6,D,0
27.4296,89.6418,324.1,1.4,1.2,2006-01-03,0659,Aqua,MODIS,83,6.2,298.1,31.2,D,0
26.8377,91.2259,304.4,1.1,1,2006-01-04,0433,Terra,MODIS,53,6.2,291.4,6.4,D,0
26.8363,91.2362,302.4,1.1,1,2006-01-04,0433,Terra,MODIS,42,6.2,291.8,5,D,0
27.855,90.4736,311.1,2.4,1.5,2006-01-04,0742,Aqua,MODIS,53,6.2,286.1,31.4,D,0
27.8515,90.4628,302.5,2.4,1.5,2006-01-04,0742,Aqua,MODIS,32,6.2,285.2,16,D,0
27.8539,90.4907,313.6,2.4,1.5,2006-01-04,0742,Aqua,MODIS,74,6.2,288.4,43.8,D,0
27.4365,89.6277,301.8,1,1,2006-01-04,1949,Aqua,MODIS,45,6.2,273.7,9.9,N,0
27.6275,90.2832,304.4,2.5,1.5,2006-01-05,0516,Terra,MODIS,59,6.2,280.1,34.7,D,0
27.6217,90.2781,312.3,2,1.4,2006-01-05,0647,Aqua,MODIS,72,6.2,282.7,35.9,D,0
27.3842,89.1489,311.8,2.4,1.5,2006-01-05,0647,Aqua,MODIS,72,6.2,286.4,42.2,D,0
27.0637,91.7082,316.5,1.1,1.1,2006-01-05,1614,Terra,MODIS,93,6.2,282.1,22.7,N,0
27.3913,89.126,303.6,2.2,1.4,2006-01-06,0421,Terra,MODIS,50,6.2,288.6,15.4,D,0
27.3893,89.1435,302.3,2.2,1.4,2006-01-06,0421,Terra,MODIS,38,6.2,289.3,15,D,0
27.7268,90.3393,316.2,1.8,1.3,2006-01-06,0421,Terra,MODIS,76,6.2,286.5,35.2,D,0
27.7312,90.3349,310.1,1.8,1.3,2006-01-06,0421,Terra,MODIS,49,6.2,286.4,21.5,D,0
27.5654,90.3008,304.8,1.4,1.2,2006-01-06,0730,Aqua,MODIS,59,6.2,293.3,10,D,0
27.0673,91.696,301.1,1.7,1.3,2006-01-06,0730,Aqua,MODIS,27,6.2,286.6,10.3,D,0
27.0691,91.712,308.1,1.7,1.3,2006-01-06,0730,Aqua,MODIS,65,6.2,286.9,19.4,D,0
26.7861,90.8862,312.1,1.5,1.2,2006-01-06,0730,Aqua,MODIS,53,6.2,297.7,13.7,D,0
26.7826,90.8769,311.6,1.5,1.2,2006-01-06,0730,Aqua,MODIS,66,6.2,297.3,13.1,D,0
26.7844,90.8921,310.9,1.5,1.2,2006-01-06,0730,Aqua,MODIS,59,6.2,297.6,12.2,D,0
27.0655,91.7077,313.6,1.7,1.3,2006-01-06,0730,Aqua,MODIS,74,6.2,289,29.9,D,0
27.389,89.1453,331.9,1.2,1.1,2006-01-06,0730,Aqua,MODIS,88,6.2,290.8,41,D,0
27.3807,89.1591,310.3,1.2,1.1,2006-01-06,0730,Aqua,MODIS,61,6.2,290.2,12.9,D,0
27.3583,89.5551,325.3,1.3,1.1,2006-01-06,0730,Aqua,MODIS,79,6.2,294.8,28.8,D,0
27.3601,89.5696,331.9,1.3,1.1,2006-01-06,0730,Aqua,MODIS,88,6.2,299.3,40.7,D,0
27.7716,90.3218,319.6,1.4,1.2,2006-01-06,0730,Aqua,MODIS,77,6.2,290.9,25.6,D,0
27.7593,90.3071,357,1.4,1.2,2006-01-06,0730,Aqua,MODIS,98,6.2,292,127.6,D,0
27.7612,90.3242,465.2,1.4,1.2,2006-01-06,0730,Aqua,MODIS,100,6.2,321.7,1567.7,D,0
27.7626,90.3367,359.3,1.4,1.2,2006-01-06,0730,Aqua,MODIS,99,6.2,285.7,137.7,D,0
27.7507,90.3258,340.1,1.4,1.2,2006-01-06,0730,Aqua,MODIS,92,6.2,293.4,70.6,D,0
27.7522,90.3393,316.8,1.4,1.2,2006-01-06,0730,Aqua,MODIS,57,6.2,289.9,21.6,D,0
27.724,90.3366,307.1,1.4,1.2,2006-01-06,0730,Aqua,MODIS,51,6.2,287.9,13,D,0
27.6203,90.3146,310.9,1.4,1.2,2006-01-06,0730,Aqua,MODIS,62,6.2,293.1,17.1,D,0
27.6101,90.3188,304.5,1.4,1.2,2006-01-06,0730,Aqua,MODIS,30,6.2,289.5,9.3,D,0
27.5638,90.2862,311.6,1.4,1.2,2006-01-06,0730,Aqua,MODIS,71,6.2,292.1,17.2,D,0
26.7863,90.9342,304.2,2.6,1.6,2006-01-08,0409,Terra,MODIS,56,6.2,292.3,19.6,D,0
26.781,90.9274,302.8,2.6,1.6,2006-01-08,0409,Terra,MODIS,46,6.2,292.8,16.1,D,0
27.0414,89.0987,328.2,1,1,2006-01-08,0718,Aqua,MODIS,74,6.2,288.2,28.5,D,0
27.3794,89.1512,328.2,1,1,2006-01-08,0718,Aqua,MODIS,85,6.2,293.9,25.9,D,0
