latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.0506,17.7319,306.7,1,1,2006-01-25,0944,Terra,MODIS,56,6.2,276.2,12.1,D,0
44.0754,16.6383,306.1,1.2,1.1,2006-01-26,1207,Aqua,MODIS,63,6.2,276.3,14.2,D,0
44.0726,16.6457,300.6,1.2,1.1,2006-01-26,1207,Aqua,MODIS,37,6.2,276.3,9.3,D,0
43.8583,16.8777,314.8,1,1,2006-02-06,1148,Aqua,MODIS,57,6.2,272,17.9,D,0
43.0758,17.64,303.9,2.3,1.5,2006-02-07,0913,Terra,MODIS,57,6.2,275.8,32.7,D,0
45.0033,17.9118,301.3,1,1,2006-02-15,1143,Aqua,MODIS,46,6.2,281.2,7.1,D,0
45.2102,15.947,303.6,1.1,1,2006-02-17,0950,Terra,MODIS,57,6.2,286.1,7.1,D,0
44.9878,18.5925,303.3,1.6,1.2,2006-02-19,1118,Aqua,MODIS,56,6.2,288.3,11,D,0
44.9886,18.5971,307.1,1.6,1.2,2006-02-19,1118,Aqua,MODIS,65,6.2,288.3,14.8,D,0
44.609,17.6709,306.3,1.8,1.3,2006-02-20,1020,Terra,MODIS,57,6.2,286.6,20,D,0
44.8466,16.0966,306.6,1.5,1.2,2006-02-20,1021,Terra,MODIS,51,6.2,286.5,14.2,D,0
44.2184,17.1562,303.9,1.1,1,2006-02-20,1201,Aqua,MODIS,57,6.2,286.3,7.3,D,0
44.6573,16.7109,321.3,1.1,1,2006-02-20,1201,Aqua,MODIS,81,6.2,289.3,19.9,D,0
44.3816,18.3711,342.2,1.2,1.1,2006-02-20,1201,Aqua,MODIS,93,6.2,293.7,58.8,D,0
44.3836,18.3802,323.1,1.2,1.1,2006-02-20,1201,Aqua,MODIS,70,6.2,291.4,26.5,D,0
44.382,18.3658,322.9,1.2,1.1,2006-02-20,1201,Aqua,MODIS,62,6.2,293.5,26.2,D,0
45.0127,18.2774,303.3,1.2,1.1,2006-02-20,1201,Aqua,MODIS,55,6.2,291.6,5.5,D,0
44.8914,18.4736,302.4,1.2,1.1,2006-02-20,1201,Aqua,MODIS,42,6.2,290.6,5.5,D,0
45.0856,17.4252,305.6,1.1,1.1,2006-02-20,1201,Aqua,MODIS,42,6.2,286.4,8.6,D,0
44.6317,16.6416,309,1.1,1,2006-02-20,1201,Aqua,MODIS,59,6.2,284.9,10.2,D,0
45.0688,18.0638,308.3,1.2,1.1,2006-02-20,1201,Aqua,MODIS,66,6.2,289.3,10.2,D,0
44.698,16.5092,302.1,1.1,1,2006-02-20,1201,Aqua,MODIS,28,6.2,289,5.7,D,0
44.2594,19.3234,302.8,1.6,1.2,2006-03-26,1009,Terra,MODIS,48,6.2,291.3,7.2,D,0
44.2139,17.9071,304.5,1.3,1.1,2006-03-26,1009,Terra,MODIS,59,6.2,292.3,5.8,D,0
44.8651,17.8325,318.2,1.3,1.1,2006-03-26,1009,Terra,MODIS,77,6.2,293.9,19.8,D,0
44.875,18.742,313.6,1.4,1.2,2006-03-26,1009,Terra,MODIS,73,6.2,293.7,15.9,D,0
44.923,18.6675,304.5,1.4,1.2,2006-03-26,1009,Terra,MODIS,56,6.2,292.6,6.8,D,0
44.5867,17.4851,312.1,1.3,1.1,2006-03-26,1009,Terra,MODIS,72,6.2,294.5,12.1,D,0
44.871,18.7339,309.2,1.4,1.2,2006-03-26,1009,Terra,MODIS,66,6.2,293.6,9.9,D,0
45.0315,17.8905,306.4,1.3,1.1,2006-03-26,1009,Terra,MODIS,60,6.2,293.3,6.5,D,0
44.0688,17.4969,308.5,1,1,2006-03-26,1149,Aqua,MODIS,67,6.2,294.4,5.6,D,0
44.0815,16.7778,312.6,1,1,2006-03-26,1149,Aqua,MODIS,42,6.2,293.9,10.8,D,0
44.7391,16.7121,329,1,1,2006-03-26,1149,Aqua,MODIS,86,6.2,295.2,24.3,D,0
44.0317,16.6361,310,1,1,2006-03-26,1149,Aqua,MODIS,60,6.2,293.6,7.8,D,0
44.7372,16.6995,319.4,1,1,2006-03-26,1149,Aqua,MODIS,79,6.2,295.6,13.8,D,0
44.8155,16.2477,303,1,1,2006-03-26,1149,Aqua,MODIS,53,6.2,280.6,4.9,D,0
44.7261,18.8885,334.5,1,1,2006-03-26,1149,Aqua,MODIS,88,6.2,297.3,31.8,D,0
44.7655,18.9046,309.4,1,1,2006-03-26,1149,Aqua,MODIS,62,6.2,295.7,5.5,D,0
45.0308,17.8839,314.6,1,1,2006-03-26,1149,Aqua,MODIS,60,6.2,295.8,8.5,D,0
44.871,18.7321,308.6,1,1,2006-03-26,1149,Aqua,MODIS,59,6.2,295.2,4.9,D,0
44.9179,18.6667,306.7,1,1,2006-03-26,1149,Aqua,MODIS,48,6.2,289.7,4.7,D,0
44.9353,18.3933,305,1,1,2006-03-26,1149,Aqua,MODIS,46,6.2,288.2,3.7,D,0
44.6582,15.9554,317.2,1,1,2006-03-26,1149,Aqua,MODIS,73,6.2,278.8,16.4,D,0
44.1556,19.3837,310.4,1,1,2006-03-26,1149,Aqua,MODIS,69,6.2,294.8,6.8,D,0
44.067,17.4846,308.7,1,1,2006-03-26,1149,Aqua,MODIS,68,6.2,295.1,5.8,D,0
44.8328,18.8881,311.3,2,1.4,2006-03-27,0913,Terra,MODIS,63,6.2,287.3,24.7,D,0
44.8304,18.8819,307.8,2,1.4,2006-03-27,0913,Terra,MODIS,43,6.2,290.1,17.4,D,0
44.0726,19.4507,306.8,1.8,1.3,2006-03-27,0914,Terra,MODIS,48,6.2,293.7,11.8,D,0
44.0686,19.4333,305.8,1.8,1.3,2006-03-27,0914,Terra,MODIS,48,6.2,293.7,11.6,D,0
44.0899,19.2459,312.6,1.9,1.3,2006-03-27,0914,Terra,MODIS,72,6.2,292.3,21.3,D,0
44.083,19.2503,308.1,1.9,1.3,2006-03-27,0914,Terra,MODIS,61,6.2,292.1,13.7,D,0
